,emoji flag,threshold,coverage,top emotion flag,Baseline Prevalence,0-baseline Accuracy,Random baseline Accuracy,Accuracy,Precision,Recall,F1
anger,0,0.0,1.0,0,0.3932892033782172,60.67107966217758,50.079890435973525,63.61561287377311,60.031104199066874,22.40278583865351,32.62890955198647
fear,0,0.0,1.0,0,0.17804154302670394,82.19584569732937,50.21684546907099,71.92421821501941,30.46875,45.0,36.33540372670807
sadness,0,0.0,1.0,0,0.37388724035607657,62.611275964391695,48.98425017119379,65.57863501483679,57.70142180094787,29.731379731379732,39.242546333601936
disgust,0,0.0,1.0,0,0.19516092216388686,80.48390778361104,49.76032869207943,75.27961652590733,26.829268292682926,15.43859649122807,19.599109131403118
joy,0,0.0,1.0,0,0.26866012325952554,73.13398767404702,51.358137411549876,71.17096553298333,46.3743676222597,46.728971962616825,46.55099449851884
anger-disgust,0,0.0,1.0,0,0.4147454918968198,58.52545081031728,49.94293540287605,61.8808491212052,58.69822485207101,27.297743533296643,37.265214124718256
anger,0,0.1111111111111111,0.2602185350060704,0,0.3932892033782172,60.67107966217758,49.39511527048619,63.61561287377311,60.031104199066874,22.40278583865351,32.62890955198647
fear,0,0.1111111111111111,0.3865771812080537,0,0.17804154302670394,82.19584569732937,50.445103857566764,71.92421821501941,30.46875,45.0,36.33540372670807
sadness,0,0.1111111111111111,0.3158682634730539,0,0.37388724035607657,62.611275964391695,49.6918511755307,65.57863501483679,57.70142180094787,29.731379731379732,39.242546333601936
disgust,0,0.1111111111111111,0.2120689655172414,0,0.19516092216388686,80.48390778361104,50.23967130792057,75.27961652590733,26.829268292682926,15.43859649122807,19.599109131403118
joy,0,0.1111111111111111,0.39349701393497016,0,0.26866012325952554,73.13398767404702,51.01574982880621,71.17096553298333,46.3743676222597,46.728971962616825,46.55099449851884
anger-disgust,0,0.1111111111111111,0.19287833827893175,0,0.4147454918968198,58.52545081031728,51.60922163889523,61.8808491212052,58.69822485207101,27.297743533296643,37.265214124718256
anger,0,0.2222222222222222,0.22136786726021854,0,0.3932892033782172,60.67107966217758,50.03423875827437,64.25473636156129,64.3510054844607,20.429483459082995,31.013215859030836
fear,0,0.2222222222222222,0.3553691275167785,0,0.17804154302670394,82.19584569732937,48.89294681579548,72.67747089705547,30.311614730878187,41.15384615384615,34.91027732463296
sadness,0,0.2222222222222222,0.27956586826347307,0,0.37388724035607657,62.611275964391695,50.49075553526592,65.784067564483,59.30388219544846,27.045177045177045,37.14884696016771
disgust,0,0.2222222222222222,0.17025862068965517,0,0.19516092216388686,80.48390778361104,49.463592787034926,76.9459027619265,30.379746835443036,14.035087719298245,19.199999999999996
joy,0,0.2222222222222222,0.3722627737226277,0,0.26866012325952554,73.13398767404702,50.03423875827437,71.67313398767405,47.14795008912656,44.94477485131691,46.020008699434534
anger-disgust,0,0.2222222222222222,0.19173704633645286,0,0.4147454918968198,58.52545081031728,50.3081488244693,61.90367496005478,58.80952380952381,27.187671986791415,37.184794881445235
anger,0,0.3333333333333333,0.1622824767300688,0,0.3932892033782172,60.67107966217758,50.9244464734079,63.387354485277335,64.83790523690773,15.089959373186304,24.48210922787194
fear,0,0.3333333333333333,0.2929530201342282,0,0.17804154302670394,82.19584569732937,49.96576124172563,74.36658297192422,30.355097365406642,33.97435897435897,32.06291591046582
sadness,0,0.3333333333333333,0.22679640718562874,0,0.37388724035607657,62.611275964391695,49.09837936544168,65.30472494864186,59.73597359735974,22.1001221001221,32.263814616755795
disgust,0,0.3333333333333333,0.11594827586206896,0,0.19516092216388686,80.48390778361104,50.21684546907099,78.22414973750286,31.598513011152416,9.941520467836257,15.124555160142348
joy,0,0.3333333333333333,0.3487060384870604,0,0.26866012325952554,73.13398767404702,50.58205889066423,72.15247660351518,47.95432921027593,42.820730671197964,45.24236983842011
anger-disgust,0,0.3333333333333333,0.1753024423647569,0,0.4147454918968198,58.52545081031728,49.18968272083999,61.994978315453096,59.895833333333336,25.31645569620253,35.58994197292069
anger,0,0.4444444444444444,0.09550789154188588,0,0.3932892033782172,60.67107966217758,50.37662634101803,62.58845012554212,67.79661016949153,9.286128845037725,16.33486472690148
fear,0,0.4444444444444444,0.18355704697986577,0,0.17804154302670394,82.19584569732937,50.05706459712395,77.33394202236933,30.53016453382084,21.41025641025641,25.169555388093443
sadness,0,0.4444444444444444,0.13959580838323354,0,0.37388724035607657,62.611275964391695,50.87879479570874,64.91668568819904,63.53887399463807,14.468864468864469,23.570363003480857
disgust,0,0.4444444444444444,0.06465517241379311,0,0.19516092216388686,80.48390778361104,49.80598036977859,78.97740241953892,28.0,4.912280701754386,8.358208955223882
joy,0,0.4444444444444444,0.29362972793629727,0,0.26866012325952554,73.13398767404702,50.513581374115496,73.29376854599407,50.3954802259887,37.892948173322004,43.25897187196896
anger-disgust,0,0.4444444444444444,0.11549874457886328,0,0.4147454918968198,58.52545081031728,49.34946359278703,62.086281670851406,65.41501976284584,18.2168409466153,28.49763237193285
anger,0,0.5555555555555556,0.039660056657223795,0,0.3932892033782172,60.67107966217758,49.052727687742525,61.401506505364075,66.3265306122449,3.772489843296576,7.138934651290499
fear,0,0.5555555555555556,0.04194630872483222,0,0.17804154302670394,82.19584569732937,50.03423875827437,82.62953663547135,57.6,9.23076923076923,15.911602209944748
sadness,0,0.5555555555555556,0.07148203592814371,0,0.37388724035607657,62.611275964391695,49.94293540287605,64.1406071673134,67.53926701570681,7.875457875457876,14.10606889010388
disgust,0,0.5555555555555556,0.020689655172413793,0,0.19516092216388686,80.48390778361104,49.62337365898197,79.79913261812372,18.75,1.0526315789473684,1.9933554817275745
joy,0,0.5555555555555556,0.13835434638354346,0,0.26866012325952554,73.13398767404702,49.80598036977859,75.07418397626112,60.19184652278177,21.325403568394222,31.4930991217064
anger-disgust,0,0.5555555555555556,0.05683633873544853,0,0.4147454918968198,58.52545081031728,50.60488472951381,60.51129879023054,67.46987951807229,9.246009906439186,16.263310745401743
anger,0,0.6666666666666666,0.03925536220153784,0,0.3932892033782172,60.67107966217758,49.76032869207943,61.3786806665145,65.97938144329896,3.7144515380150898,7.032967032967034
fear,0,0.6666666666666666,0.040268456375838924,0,0.17804154302670394,82.19584569732937,49.21250855968957,82.56105911892261,56.666666666666664,8.717948717948717,15.111111111111109
sadness,0,0.6666666666666666,0.06998502994011976,0,0.37388724035607657,62.611275964391695,51.038575667655785,64.04930381191508,66.84491978609626,7.631257631257632,13.698630136986303
disgust,0,0.6666666666666666,0.020689655172413793,0,0.19516092216388686,80.48390778361104,50.19401963022141,79.79913261812372,18.75,1.0526315789473684,1.9933554817275745
joy,0,0.6666666666666666,0.13039150630391505,0,0.26866012325952554,73.13398767404702,50.445103857566764,74.75462223236704,59.033078880407125,19.711129991503824,29.554140127388532
anger-disgust,0,0.6666666666666666,0.05501027162748231,0,0.4147454918968198,58.52545081031728,48.98425017119379,60.465647112531386,67.63485477178423,8.970831040176115,15.840621963070946
anger,0,0.7777777777777777,0.03520841764467827,0,0.3932892033782172,60.67107966217758,49.85163204747774,61.28737731111618,65.51724137931035,3.3081834010446896,6.298342541436464
fear,0,0.7777777777777777,0.032550335570469796,0,0.17804154302670394,82.19584569732937,50.33097466331888,82.40127824697558,54.63917525773196,6.794871794871795,12.086659064994299
sadness,0,0.7777777777777777,0.061377245508982034,0,0.37388724035607657,62.611275964391695,49.02990184889295,63.70691622917142,64.63414634146342,6.471306471306471,11.76470588235294
disgust,0,0.7777777777777777,0.01896551724137931,0,0.19516092216388686,80.48390778361104,50.14836795252226,79.89043597352203,20.454545454545453,1.0526315789473684,2.0022246941045605
joy,0,0.7777777777777777,0.09522229595222297,0,0.26866012325952554,73.13398767404702,50.65053640721297,73.84158867838393,55.400696864111495,13.5089209855565,21.721311475409834
anger-disgust,0,0.7777777777777777,0.0390321844327779,0,0.4147454918968198,58.52545081031728,49.85163204747774,59.689568591645745,64.91228070175438,6.1089708310401765,11.167002012072434
anger,0,0.8888888888888888,0.03520841764467827,0,0.3932892033782172,60.67107966217758,49.828806208628166,61.28737731111618,65.51724137931035,3.3081834010446896,6.298342541436464
fear,0,0.8888888888888888,0.032550335570469796,0,0.17804154302670394,82.19584569732937,50.7190139237617,82.40127824697558,54.63917525773196,6.794871794871795,12.086659064994299
sadness,0,0.8888888888888888,0.061377245508982034,0,0.37388724035607657,62.611275964391695,49.98858708057521,63.70691622917142,64.63414634146342,6.471306471306471,11.76470588235294
disgust,0,0.8888888888888888,0.01896551724137931,0,0.19516092216388686,80.48390778361104,51.974435060488474,79.89043597352203,20.454545454545453,1.0526315789473684,2.0022246941045605
joy,0,0.8888888888888888,0.09455872594558726,0,0.26866012325952554,73.13398767404702,49.577721981282814,73.84158867838393,55.43859649122807,13.423959218351742,21.614227086183313
