model,sample_size,resample,epochs,lr,batch_size,threshold,accuracy,macro_f1,emotion
GloVe,1.0,0,20,0.00052,4,0.61,0.8437856328392246,0.8330904569733762,anger
GloVe,1.0,0,18,0.00048,14,0.5,0.9110604332953248,0.7890266469282013,fear
GloVe,1.0,0,19,0.00043,8,0.52,0.8004561003420753,0.764668450468823,sadness
GloVe,1.0,0,17,0.00047,8,0.5,0.8608893956670467,0.685407992849246,disgust
GloVe,1.0,0,20,0.00044,8,0.5,0.8973774230330672,0.8638912647610639,joy
GloVe,1.0,0,19,0.00043,12,0.5,0.8392246294184721,0.8323169863515245,anger-disgust
muse,1.0,0,6,5e-05,4,0.6,0.814139110604333,0.8095593985343037,anger
muse,1.0,0,6,5e-05,4,0.54,0.895096921322691,0.7998432166388822,fear
muse,1.0,1,8,5e-05,4,0.52,0.7844925883694412,0.7622948351151935,sadness
muse,1.0,0,16,0.00014,4,0.5,0.8472063854047891,0.458641975308642,disgust
muse,1.0,0,10,5e-05,4,0.54,0.8962371721778791,0.8587049086000088,joy
muse,1.0,0,4,5e-05,4,0.54,0.8118586088939567,0.8083897749617655,anger-disgust
bert2,1.0,0,13,5e-05,12,0.5,0.6339794754846066,0.3879972086531751,anger
bert2,1.0,0,12,0.0001,8,0.5,0.8426453819840365,0.4573019801980198,fear
bert2,1.0,0,16,1e-05,16,0.5,0.6522234891676169,0.3947550034506556,sadness
bert2,1.0,0,16,0.0001,16,0.5,0.6522234891676169,0.3947550034506556,sadness
bert2,1.0,0,14,5e-05,8,0.5,0.8312428734321551,0.4539227895392279,disgust
bert2,1.0,0,14,6.000000000000001e-05,8,0.5,0.7491448118586089,0.4282920469361147,joy
bert2,1.0,0,14,5e-05,16,0.5,0.6259977194982896,0.3849929873772791,anger-disgust
