date,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,امشي الى1,"قطار سريع,قافلة",محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة
2018-01-01,0,0,0,0,46,0,0,22,9,0,2,11,8,0,0,12,15,0,17,0,6,45,7
2018-02-01,0,0,0,0,67,0,0,14,0,0,0,12,11,0,0,0,27,0,33,0,0,52,10
2018-03-01,0,0,0,0,45,0,0,23,6,0,1,11,10,0,0,7,24,0,36,0,4,53,8
2018-04-01,0,0,0,0,45,0,0,35,5,0,1,15,12,0,0,6,22,0,28,0,3,55,6
2018-05-01,0,0,0,0,66,0,0,57,5,0,1,10,15,0,0,7,32,0,13,0,3,56,9
2018-06-01,0,0,0,0,47,0,0,61,8,0,2,10,13,0,0,10,33,0,17,0,5,36,5
2018-07-01,0,0,0,0,0,0,0,40,9,0,2,10,9,0,0,11,34,0,16,0,6,43,7
2018-08-01,0,0,0,0,75,0,0,32,10,0,2,13,11,0,0,12,38,0,18,0,6,44,10
2018-09-01,0,0,0,0,100,0,0,33,10,0,2,12,10,0,0,12,26,0,17,0,6,51,7
2018-10-01,0,19,0,0,25,0,0,49,12,0,3,11,11,0,0,16,31,0,31,0,8,63,6
2018-11-01,0,41,0,0,0,0,0,67,5,0,1,11,9,0,0,6,19,0,25,0,3,51,4
2018-12-01,0,0,0,0,41,0,0,49,5,0,1,10,12,0,0,7,24,0,22,0,3,65,6
2019-01-01,0,0,0,0,44,0,0,36,5,0,1,11,10,0,0,6,21,0,22,0,3,62,9
2019-02-01,0,0,0,0,50,0,0,56,4,0,1,10,10,0,0,5,26,0,23,0,3,54,9
2019-03-01,0,0,0,0,42,0,0,36,4,0,1,9,10,0,0,5,25,0,18,0,3,54,8
2019-04-01,0,20,0,0,52,0,0,43,0,0,0,11,11,0,0,0,30,0,26,0,0,58,5
2019-05-01,0,0,0,0,69,0,0,31,6,0,1,100,15,0,0,7,30,0,24,0,4,64,5
2019-06-01,0,16,0,0,42,0,0,38,3,0,1,31,11,0,0,3,34,0,28,0,2,28,2
2019-07-01,0,27,0,0,50,0,0,28,8,0,2,23,13,0,0,10,35,0,13,0,5,34,10
2019-08-01,0,41,0,0,26,0,0,37,5,0,1,19,12,0,0,7,41,0,30,0,3,29,6
2019-09-01,0,0,0,0,17,0,0,27,10,0,2,15,14,0,0,12,33,0,22,0,6,37,6
2019-10-01,0,0,0,0,0,0,0,20,0,0,0,15,9,0,0,0,31,0,27,0,0,77,6
2019-11-01,0,0,0,0,36,0,0,20,5,0,1,16,10,0,0,6,16,0,26,0,3,60,6
2019-12-01,0,0,0,0,27,0,0,26,8,0,2,13,10,0,0,10,16,0,34,0,5,59,8
2020-01-01,0,0,0,0,53,0,0,22,4,0,1,16,10,0,0,5,32,0,31,0,3,63,6
2020-02-01,0,0,0,0,45,0,0,22,0,0,0,16,11,0,0,0,15,0,24,0,0,63,9
2020-03-01,0,0,0,0,19,0,0,22,2,0,0,18,12,0,0,2,17,0,17,0,1,70,10
2020-04-01,0,37,0,0,37,0,0,31,8,0,2,15,17,0,0,10,12,0,29,0,5,100,8
2020-05-01,0,0,0,0,30,0,0,31,7,0,1,13,20,0,0,8,17,0,21,0,4,67,7
2020-06-01,0,53,0,0,21,0,0,39,5,0,1,16,12,0,0,6,8,0,63,0,3,85,5
2020-07-01,0,0,0,0,26,0,0,34,7,0,1,14,16,0,0,9,15,0,42,0,5,80,12
2020-08-01,0,16,0,0,49,0,0,22,5,0,1,16,13,0,0,6,20,0,26,0,3,73,15
2020-09-01,0,33,0,0,50,0,0,25,4,0,1,12,14,0,0,5,14,0,32,0,2,69,10
2020-10-01,0,12,0,0,64,0,0,38,2,0,0,16,13,0,0,2,16,0,35,0,1,80,10
2020-11-01,0,0,0,0,45,0,0,29,3,0,1,14,17,0,0,3,23,0,31,0,2,76,11
2020-12-01,0,31,0,0,51,0,0,31,7,0,1,13,16,0,0,9,12,0,21,0,5,74,12
2021-01-01,0,18,0,0,47,0,0,25,2,0,0,14,17,0,0,3,17,0,20,0,1,75,10
2021-02-01,0,17,0,0,42,0,0,25,2,0,0,12,21,0,0,2,24,0,34,0,1,87,6
2021-03-01,0,26,0,0,12,0,0,100,0,0,0,12,31,0,0,0,24,0,29,0,0,86,9
2021-04-01,0,35,0,0,43,0,0,48,0,0,0,11,29,0,0,0,30,0,31,0,0,69,9
2021-05-01,0,30,0,0,42,0,0,36,5,0,1,15,22,0,0,6,33,0,38,0,3,70,7
2021-06-01,0,12,0,0,35,0,0,33,3,0,1,14,19,0,0,4,31,0,38,0,2,68,9
2021-07-01,0,0,0,0,0,0,0,35,2,0,0,13,22,0,0,3,48,0,26,0,1,51,10
2021-08-01,0,22,0,0,53,0,0,33,13,0,3,10,23,0,0,16,42,0,30,0,8,44,11
2021-09-01,0,18,0,0,45,0,0,42,3,0,1,11,19,0,0,4,44,0,29,0,2,41,14
2021-10-01,0,11,0,0,63,0,0,44,3,0,1,13,17,0,0,4,39,0,24,0,2,50,9
2021-11-01,0,28,0,0,23,0,0,37,9,0,2,13,16,0,0,11,31,0,38,0,6,54,10
2021-12-01,0,23,0,0,28,0,0,32,4,0,1,11,13,0,0,5,26,0,32,0,3,48,11
2022-01-01,0,42,0,0,31,0,0,37,1,0,0,8,19,0,0,2,21,0,38,0,1,44,8
2022-02-01,0,46,0,0,23,0,0,46,3,0,1,11,22,0,0,4,25,0,40,0,2,53,10
2022-03-01,0,10,0,0,78,0,0,56,5,0,1,12,19,0,0,6,26,0,38,0,3,43,10
2022-04-01,0,32,0,0,74,0,0,45,5,0,1,8,28,0,0,6,31,0,38,0,3,37,8
2022-05-01,0,23,0,0,64,0,0,36,4,0,1,11,23,0,0,5,49,0,31,0,2,41,5
2022-06-01,0,30,0,0,68,0,0,56,0,0,0,12,20,0,0,0,51,0,37,0,0,47,11
2022-07-01,0,0,0,0,65,0,0,55,7,0,1,10,23,0,0,8,52,0,31,0,4,37,13
2022-08-01,0,16,0,0,52,0,0,46,9,0,2,8,24,0,0,11,44,0,31,0,6,44,15
2022-09-01,0,11,0,0,47,0,0,40,5,0,1,7,21,0,0,6,42,0,28,0,3,53,10
2022-10-01,0,13,0,0,59,0,0,36,5,0,1,9,18,0,0,6,31,0,32,0,3,43,11
2022-11-01,0,13,0,0,36,0,0,30,2,0,0,8,15,0,0,3,71,0,35,0,1,34,8
2022-12-01,0,0,0,0,64,0,0,33,4,0,1,8,18,0,0,5,100,0,31,0,2,32,9
2023-01-01,0,24,0,0,43,0,0,35,4,0,1,9,18,0,0,5,76,0,26,0,3,32,7
2023-02-01,0,11,0,0,59,0,0,33,4,0,1,9,23,0,0,5,31,0,25,0,3,40,8
2023-03-01,0,17,0,0,59,0,0,36,5,0,1,7,22,0,0,6,36,0,36,0,3,33,12
2023-04-01,0,42,0,0,45,0,0,37,6,0,1,9,31,0,0,8,33,0,31,0,4,28,10
2023-05-01,0,21,0,0,23,0,0,44,2,0,0,10,24,0,0,3,42,0,35,0,2,38,11
