date,ISO,topic,مكان السكن,مكان آمن,لاجئ,حق اللجوء السياسي,اسعاف,مكان السكن1,الطريق الآمن,طريق آمن,ممر آمن,يجب أن أغادر,مكان السكن2,مخرج,ساعدني في الخروج,كيف تغادر غدا,الهروب من سوريا,مكان السكن3,كيف الهروب من سوريا,كيف تغادر سوريا,مغادرة سوريا,الانتقال إلى إسرائيل,مكان السكن4,الانتقال إلى لبنان,الانتقال إلى الأردن,الانتقال إلى العراق,الانتقال إلى تركيا
2018-01-01,SY,generic_terms,0,0,14,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,SY,generic_terms,0,0,0,0,30,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,SY,generic_terms,0,0,23,0,16,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,SY,generic_terms,0,0,0,0,40,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,SY,generic_terms,0,0,0,0,30,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,SY,generic_terms,0,0,0,0,13,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,SY,generic_terms,0,0,18,0,28,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,SY,generic_terms,0,0,0,0,35,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,SY,generic_terms,0,0,0,0,24,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,SY,generic_terms,0,0,0,0,26,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-01,SY,generic_terms,0,0,24,0,29,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,SY,generic_terms,0,0,11,0,26,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,SY,generic_terms,0,0,0,0,27,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,SY,generic_terms,0,0,15,0,81,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,SY,generic_terms,0,0,9,0,25,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-01,SY,generic_terms,0,0,0,0,30,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,SY,generic_terms,0,0,12,0,36,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,SY,generic_terms,0,0,12,0,27,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,SY,generic_terms,0,0,0,0,24,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,SY,generic_terms,0,0,13,0,37,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,SY,generic_terms,0,0,10,0,25,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,SY,generic_terms,0,0,0,0,31,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,SY,generic_terms,0,0,23,0,45,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,SY,generic_terms,0,0,0,0,58,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,SY,generic_terms,0,0,12,0,31,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,SY,generic_terms,0,0,0,0,100,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,SY,generic_terms,0,0,16,0,29,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,SY,generic_terms,0,0,7,0,29,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,SY,generic_terms,0,0,0,0,34,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,SY,generic_terms,0,0,30,0,44,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,SY,generic_terms,0,0,9,0,29,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,SY,generic_terms,0,0,8,0,6,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,SY,generic_terms,0,0,7,0,27,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,SY,generic_terms,0,0,6,0,32,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,SY,generic_terms,0,0,15,0,40,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,SY,generic_terms,0,0,0,0,23,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,SY,generic_terms,0,0,0,0,22,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,SY,generic_terms,0,0,0,0,32,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,SY,generic_terms,0,0,12,0,54,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,SY,generic_terms,0,0,11,0,28,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,SY,generic_terms,0,0,14,0,25,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,SY,generic_terms,0,0,10,0,31,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,SY,generic_terms,0,0,0,0,46,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,SY,generic_terms,0,0,24,0,13,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,SY,generic_terms,0,0,31,0,27,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,SY,generic_terms,0,0,12,0,35,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,SY,generic_terms,0,0,0,0,24,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,SY,generic_terms,0,0,0,0,34,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,SY,generic_terms,0,0,0,0,39,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,SY,generic_terms,0,0,9,0,32,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SY,generic_terms,0,0,5,0,50,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,SY,generic_terms,0,0,12,0,24,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,SY,generic_terms,0,0,12,0,26,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,SY,generic_terms,0,0,20,0,22,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,SY,generic_terms,0,0,12,0,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,SY,generic_terms,0,0,13,0,29,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,SY,generic_terms,0,0,23,0,26,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,SY,generic_terms,0,0,9,0,25,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,SY,generic_terms,0,0,0,0,22,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,SY,generic_terms,0,0,0,0,49,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,SY,generic_terms,0,0,5,0,26,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,SY,generic_terms,0,0,0,0,53,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,SY,generic_terms,0,0,12,0,52,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,SY,generic_terms,0,0,9,0,11,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,SY,generic_terms,0,0,12,0,30,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
