date,ISO,topic,السكن,مكان السكن,منطقة آمنة,حدود,اجتياز,فتح معبر حدودي,أقرب معبر حدودي,معبر حدودي آمن,منازل في إسرائيل,منازل في لبنان,منازل في الأردن,منازل في العراق,منازل في تركيا
2018-01-01,LY,geography,17,0,0,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,LY,geography,14,0,0,51,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,LY,geography,14,0,0,99,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,LY,geography,7,0,0,100,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,LY,geography,0,0,0,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,LY,geography,27,0,0,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,LY,geography,0,0,0,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,LY,geography,12,0,0,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,LY,geography,12,0,0,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,LY,geography,18,0,0,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,LY,geography,16,0,0,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,LY,geography,0,0,0,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,LY,geography,6,0,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,LY,geography,8,0,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,LY,geography,15,0,0,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,LY,geography,0,0,0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,LY,geography,7,0,0,74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,LY,geography,21,0,0,75,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,LY,geography,14,0,0,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,LY,geography,0,0,0,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,LY,geography,0,0,0,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,LY,geography,19,0,0,53,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,LY,geography,22,0,0,53,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
