date,ISO,topic,السكن,مكان السكن,منطقة آمنة,حدود,اجتياز,السكن1,فتح معبر حدودي,أقرب معبر حدودي,معبر حدودي آمن,منازل في إسرائيل,فتح معبر حدودي2,منازل في لبنان,منازل في الأردن,منازل في العراق,منازل في تركيا,فتح معبر حدودي3,الطريق إلى إسرائيل,الطريق إلى لبنان,الطريق إلى الأردن,الطريق إلى العراق,فتح معبر حدودي4,الطريق إلى تركيا
2018-01-01,SY,geography,26,0,0,68,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,SY,geography,29,0,0,70,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,SY,geography,39,0,0,98,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,SY,geography,18,0,0,77,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,SY,geography,23,0,0,78,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,SY,geography,16,0,0,64,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,SY,geography,29,0,0,84,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,SY,geography,20,0,0,75,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,SY,geography,33,0,0,83,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,SY,geography,43,0,0,56,5,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-01,SY,geography,25,0,0,59,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,SY,geography,23,0,0,72,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,SY,geography,23,0,0,64,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,SY,geography,26,0,0,90,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,SY,geography,26,0,0,68,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-01,SY,geography,16,0,0,76,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,SY,geography,18,0,0,79,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,SY,geography,11,0,0,65,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,SY,geography,18,0,0,55,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,SY,geography,19,0,0,68,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,SY,geography,36,0,0,72,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,SY,geography,49,0,0,73,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,SY,geography,40,0,0,60,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,SY,geography,26,0,0,75,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,SY,geography,24,0,0,73,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,SY,geography,7,0,0,70,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,SY,geography,13,0,0,75,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,SY,geography,14,0,0,89,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,SY,geography,16,0,0,76,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,SY,geography,27,0,0,88,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,SY,geography,19,0,0,80,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,SY,geography,21,0,0,65,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,SY,geography,36,0,0,82,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,SY,geography,38,0,0,100,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,SY,geography,35,0,0,71,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,SY,geography,34,0,0,63,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,SY,geography,24,0,0,58,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,SY,geography,45,0,0,61,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,SY,geography,42,0,0,59,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,SY,geography,21,0,0,60,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,SY,geography,25,0,0,64,6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,SY,geography,28,0,0,71,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,SY,geography,33,0,0,77,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,SY,geography,36,0,0,87,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,SY,geography,35,0,0,80,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,SY,geography,31,0,0,57,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,SY,geography,38,0,0,92,6,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,SY,geography,30,0,0,66,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,SY,geography,32,0,0,57,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,SY,geography,26,0,0,95,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SY,geography,32,0,0,75,7,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,SY,geography,32,0,0,71,2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,SY,geography,29,0,0,79,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,SY,geography,22,0,0,82,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,SY,geography,24,0,0,85,9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,SY,geography,18,0,0,88,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,SY,geography,32,0,0,93,5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,SY,geography,36,0,0,91,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,SY,geography,26,0,0,75,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,SY,geography,29,0,0,70,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,SY,geography,27,0,0,81,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,SY,geography,25,0,0,98,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,SY,geography,25,0,0,75,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,SY,geography,21,0,0,74,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,SY,geography,25,0,0,90,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
