date,السكن,مكان السكن,الطريق إلى,منطقة آمنة,حدود,حدود1,اجتياز,فتح معبر حدودي,أقرب معبر حدودي,معبر حدودي آمن,معبر حدودي آمن2,ليئارسإيف لزانم,نانبليف لزانم,ندرألايف لزانم,قارعلايف لزانم,قارعلايف لزانم3,ايكرتيف لزانم
2018-01-01,21,0,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,30,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,39,0,4,0,95,95,8,0,0,0,0,0,0,0,0,0,0
2018-04-01,7,0,0,0,74,74,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,19,0,4,0,79,79,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,17,0,7,0,63,63,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,32,0,3,0,78,78,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,21,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,29,0,0,0,83,83,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,38,0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0
2018-11-01,30,0,8,0,64,64,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,19,0,0,0,66,66,19,0,0,0,0,0,0,0,0,0,0
2019-01-01,18,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,18,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,27,0,7,0,68,68,0,0,0,0,0,0,0,0,0,0,0
2019-04-01,18,0,0,0,72,72,4,0,0,0,0,0,0,0,0,0,0
2019-05-01,12,0,3,0,79,79,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,11,0,0,0,64,64,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,16,0,0,0,43,43,3,0,0,0,0,0,0,0,0,0,0
2019-08-01,27,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,35,0,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,48,0,8,0,63,63,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,36,0,0,0,56,56,7,0,0,0,0,0,0,0,0,0,0
2019-12-01,24,0,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,18,0,0,0,74,74,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,18,0,4,0,75,75,7,0,0,0,0,0,0,0,0,0,0
2020-03-01,23,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,14,0,4,0,88,88,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,20,0,4,0,75,75,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,26,0,7,0,79,79,4,0,0,0,0,0,0,0,0,0,0
2020-07-01,9,0,10,0,83,83,4,0,0,0,0,0,0,0,0,0,0
2020-08-01,18,0,4,0,61,61,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,32,0,9,0,75,75,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,37,0,4,0,100,100,3,0,0,0,0,0,0,0,0,0,0
2020-11-01,28,0,5,0,65,65,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,41,0,6,0,64,64,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,23,0,0,0,63,63,3,0,0,0,0,0,0,0,0,0,0
2021-02-01,34,0,6,0,61,61,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,27,0,5,0,57,57,4,0,0,0,0,0,0,0,0,0,0
2021-04-01,22,0,5,0,60,60,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,22,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,32,0,7,0,68,68,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,34,0,6,0,81,81,6,0,0,0,0,0,0,0,0,0,0
2021-08-01,37,0,4,0,80,80,4,0,0,0,0,0,0,0,0,0,0
2021-09-01,30,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,28,0,2,0,55,55,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,29,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,25,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,33,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,25,0,0,0,95,95,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,24,0,4,0,72,72,3,0,0,0,0,0,0,0,0,0,0
2022-04-01,28,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,27,0,4,0,76,76,2,0,0,0,0,0,0,0,0,0,0
2022-06-01,19,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,25,0,8,0,82,82,2,0,0,0,0,0,0,0,0,0,0
2022-08-01,16,0,6,0,85,85,3,0,0,0,0,0,0,0,0,0,0
2022-09-01,33,0,6,0,95,95,9,0,0,0,0,0,0,0,0,0,0
2022-10-01,34,0,3,0,86,86,4,0,0,0,0,0,0,0,0,0,0
2022-11-01,29,0,3,0,71,71,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,34,0,4,0,70,70,9,0,0,0,0,0,0,0,0,0,0
2023-01-01,27,0,6,0,79,79,2,0,0,0,0,0,0,0,0,0,0
2023-02-01,24,0,4,0,93,93,2,0,0,0,0,0,0,0,0,0,0
2023-03-01,19,0,5,0,72,72,2,0,0,0,0,0,0,0,0,0,0
2023-04-01,23,0,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,26,0,5,0,89,89,3,0,0,0,0,0,0,0,0,0,0
