date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,إنقاذ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,إنقاذ3,وثائق,قنصلية,سفارة,حماية,سفارة4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,DZ,safe_places,100,0,11,5,0,53,2,0,0,0,0,2,0,0,73,0,43,5,15,85,57,0,0,0,0,0,0
2018-02-01,DZ,safe_places,93,0,9,4,0,44,2,0,0,0,0,3,0,0,66,0,37,8,20,77,79,0,0,0,0,0,0
2018-03-01,DZ,safe_places,82,0,11,4,0,53,2,2,0,1,3,2,0,0,56,2,33,7,16,61,62,0,0,0,0,0,0
2018-04-01,DZ,safe_places,87,0,9,4,0,44,0,4,0,2,7,9,0,0,59,5,36,8,17,74,65,0,0,0,0,0,0
2018-05-01,DZ,safe_places,93,0,13,3,0,61,0,1,0,3,2,0,0,0,82,2,32,8,23,73,91,0,0,0,0,0,0
2018-06-01,DZ,safe_places,84,0,9,3,0,44,0,1,0,5,2,0,0,0,76,2,28,5,21,39,81,0,0,0,0,0,0
2018-07-01,DZ,safe_places,81,0,10,2,0,47,3,2,0,6,4,0,0,0,76,3,38,5,19,42,74,0,0,0,0,0,0
2018-08-01,DZ,safe_places,82,0,12,3,0,59,2,3,0,7,5,0,0,0,66,4,33,8,23,38,88,0,0,0,0,0,0
2018-09-01,DZ,safe_places,94,0,8,4,0,39,0,1,0,4,2,0,0,0,73,1,65,8,22,43,84,0,0,0,0,0,0
2018-10-01,DZ,safe_places,97,0,9,5,0,41,4,1,0,2,2,1,0,0,53,1,48,7,18,68,70,0,0,0,0,0,0
2018-11-01,DZ,safe_places,93,0,10,4,0,47,2,0,0,4,0,0,0,0,56,0,41,8,17,95,67,0,0,0,0,0,0
2018-12-01,DZ,safe_places,89,0,10,5,0,50,2,7,0,21,12,4,0,0,55,9,36,8,18,68,70,0,0,0,0,0,0
2019-01-01,DZ,safe_places,87,0,10,5,1,46,1,1,0,13,1,3,0,0,56,1,44,6,17,86,66,0,0,0,0,0,0
2019-02-01,DZ,safe_places,85,0,9,4,0,43,1,0,0,6,0,0,0,0,64,0,46,4,19,75,73,0,0,0,0,0,0
2019-03-01,DZ,safe_places,75,0,9,4,0,44,1,3,0,5,5,0,0,0,43,4,26,7,14,49,54,0,0,0,0,0,0
2019-04-01,DZ,safe_places,79,0,9,3,0,42,0,4,0,5,6,4,0,0,49,5,37,6,15,62,57,0,0,0,0,0,0
2019-05-01,DZ,safe_places,93,0,14,3,0,67,0,2,0,1,3,0,0,0,49,2,34,5,13,62,50,0,0,0,0,0,0
2019-06-01,DZ,safe_places,72,0,8,3,0,37,1,3,0,1,4,0,0,0,56,3,32,6,18,46,71,0,0,0,0,0,0
2019-07-01,DZ,safe_places,68,0,9,2,0,43,0,0,0,2,0,0,0,0,64,0,32,3,22,33,85,0,0,0,0,0,0
2019-08-01,DZ,safe_places,73,0,9,3,0,43,0,0,0,2,0,0,0,0,67,0,40,9,20,45,78,0,0,0,0,0,0
2019-09-01,DZ,safe_places,92,0,9,5,0,44,0,1,0,1,2,8,0,0,57,1,67,9,23,46,89,0,0,0,0,0,0
2019-10-01,DZ,safe_places,95,0,8,5,0,38,1,1,0,0,2,0,0,0,58,1,48,6,23,71,88,0,0,0,0,0,0
2019-11-01,DZ,safe_places,91,0,8,6,0,41,1,0,0,1,0,0,0,0,43,0,38,10,17,67,67,0,0,0,0,0,0
2019-12-01,DZ,safe_places,77,0,9,4,0,42,1,0,0,2,0,2,0,0,48,0,31,8,14,55,53,0,0,0,0,0,0
2020-01-01,DZ,safe_places,78,0,11,6,0,55,1,3,0,3,5,2,0,0,72,4,42,7,18,82,69,0,0,0,0,0,0
2020-02-01,DZ,safe_places,81,0,9,5,0,45,0,2,0,1,3,0,0,0,53,2,43,6,14,77,54,0,0,0,0,0,0
