date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,مأوى3,وثائق,قنصلية,سفارة,حماية,قنصلية4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,EG,safe_places,79,0,2,0,0,38,0,1,0,1,2,3,0,0,27,2,7,3,60,59,61,0,0,0,0,0,0
2018-02-01,EG,safe_places,79,0,2,0,0,38,0,0,0,1,4,1,0,0,36,1,11,5,74,70,97,0,0,0,0,0,0
2018-03-01,EG,safe_places,73,0,2,0,0,35,0,1,0,1,4,2,0,0,34,1,7,0,65,65,0,0,0,0,0,0,0
2018-04-01,EG,safe_places,67,0,2,0,0,35,0,0,0,3,10,0,0,0,35,0,7,3,62,71,62,0,0,0,0,0,0
2018-05-01,EG,safe_places,91,0,2,0,0,33,0,0,0,5,18,0,0,0,25,0,4,4,71,68,80,0,0,0,0,0,0
2018-06-01,EG,safe_places,76,0,2,0,0,37,1,0,0,7,27,1,0,0,38,1,4,4,63,64,82,0,0,0,0,0,0
2018-07-01,EG,safe_places,64,0,2,0,0,37,0,1,0,5,18,2,0,0,41,2,8,5,81,69,100,0,0,0,0,0,0
2018-08-01,EG,safe_places,64,0,2,0,0,34,0,0,0,7,26,0,0,0,36,0,4,1,63,62,23,0,0,0,0,0,0
2018-09-01,EG,safe_places,66,0,2,0,0,33,0,0,0,6,25,1,0,0,40,1,6,3,67,70,52,0,0,0,0,0,0
2018-10-01,EG,safe_places,66,0,2,0,0,34,0,0,0,4,14,2,0,0,35,2,7,5,65,60,99,0,0,0,0,0,0
2018-11-01,EG,safe_places,66,0,2,0,0,35,0,0,0,5,21,2,0,0,36,1,7,4,57,68,73,0,0,0,0,0,0
2018-12-01,EG,safe_places,67,0,1,0,0,31,0,0,0,16,64,2,0,0,44,2,3,2,51,69,34,0,0,0,0,0,0
2019-01-01,EG,safe_places,64,0,2,0,0,33,0,1,0,13,52,4,0,0,39,4,4,4,54,60,75,0,0,0,0,0,0
2019-02-01,EG,safe_places,62,0,1,0,0,30,0,0,0,9,34,1,0,0,43,1,6,3,50,72,58,0,0,0,0,0,0
