date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,ملجأ4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,IL,safe_places,100,0,5,1,1,43,0,0,0,0,0,0,0,0,28,0,17,0,37,91,0,0,0,0,0,0,0
2018-02-01,IL,safe_places,96,0,4,1,0,29,0,1,0,2,13,0,0,0,20,12,0,0,29,64,13,0,0,0,0,0,0
2018-03-01,IL,safe_places,86,0,3,1,0,26,0,0,0,0,0,0,0,0,0,0,24,0,37,67,0,0,0,0,0,0,0
2018-04-01,IL,safe_places,71,0,3,1,0,25,0,0,0,3,26,21,0,0,12,23,0,0,0,60,26,0,0,0,0,0,0
2018-05-01,IL,safe_places,91,0,4,1,0,29,0,3,0,6,47,22,0,0,30,42,0,10,29,39,47,0,0,0,0,0,0
2018-06-01,IL,safe_places,68,0,3,2,0,25,0,0,0,4,29,0,0,0,46,27,0,0,31,39,29,0,0,0,0,0,0
2018-07-01,IL,safe_places,60,0,3,1,0,25,0,2,0,4,32,0,0,0,29,28,15,0,37,16,32,0,0,0,0,0,0
2018-08-01,IL,safe_places,60,0,4,0,0,30,0,3,0,0,0,0,0,0,36,0,0,21,28,36,0,0,0,0,0,0,0
2018-09-01,IL,safe_places,77,0,3,1,0,26,0,1,0,4,29,0,0,0,30,26,0,0,38,47,29,0,0,0,0,0,0
2018-10-01,IL,safe_places,73,0,2,1,0,18,0,0,0,5,37,0,0,0,24,34,14,0,31,54,37,0,0,0,0,0,0
2018-11-01,IL,safe_places,88,0,3,2,0,27,0,2,0,4,35,0,0,0,14,31,0,0,0,81,35,0,0,0,0,0,0
2018-12-01,IL,safe_places,83,0,3,1,0,23,0,0,0,12,100,41,0,0,38,90,20,0,17,94,100,0,0,0,0,0,0
2019-01-01,IL,safe_places,70,0,3,1,0,27,0,0,0,11,91,21,0,0,31,82,28,0,41,51,91,0,0,0,0,0,0
2019-02-01,IL,safe_places,77,0,3,1,0,25,0,0,0,7,59,0,0,0,24,53,0,0,39,57,59,0,0,0,0,0,0
2019-03-01,IL,safe_places,73,0,3,1,0,28,0,0,0,1,12,0,0,0,16,11,0,0,16,75,12,0,0,0,0,0,0
2019-04-01,IL,safe_places,64,0,3,1,0,24,0,0,0,5,43,0,0,0,32,39,18,0,40,65,43,0,0,0,0,0,0
2019-05-01,IL,safe_places,78,0,3,2,0,25,0,0,0,2,15,0,0,0,12,13,0,0,0,57,15,0,0,0,0,0,0
2019-06-01,IL,safe_places,56,0,4,1,0,29,0,0,0,2,15,0,0,0,40,13,0,0,18,66,15,0,0,0,0,0,0
2019-07-01,IL,safe_places,55,0,4,1,0,35,0,0,0,1,11,16,0,0,28,10,18,0,15,36,11,0,0,0,0,0,0
2019-08-01,IL,safe_places,51,0,4,1,1,30,0,0,0,3,23,0,0,0,26,20,0,0,0,42,23,0,0,0,0,0,0
