date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,ملجأ4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,IQ,safe_places,77,0,3,1,0,43,0,0,0,0,0,5,0,0,26,0,3,10,18,66,0,0,0,0,0,0,0
2018-02-01,IQ,safe_places,71,0,3,1,0,52,0,2,0,8,22,0,0,0,18,14,18,5,22,62,32,0,0,0,0,0,0
2018-03-01,IQ,safe_places,72,0,3,1,0,42,0,1,0,2,7,9,0,0,23,4,10,8,21,94,10,0,0,0,0,0,0
2018-04-01,IQ,safe_places,66,0,3,1,0,46,0,0,0,8,23,7,0,0,0,15,7,6,29,62,34,0,0,0,0,0,0
2018-05-01,IQ,safe_places,92,0,3,1,0,49,0,1,0,21,60,0,0,0,21,38,0,7,29,58,87,0,0,0,0,0,0
2018-06-01,IQ,safe_places,71,0,3,1,0,49,0,0,0,17,49,0,0,0,26,30,3,9,20,59,70,0,0,0,0,0,0
2018-07-01,IQ,safe_places,67,0,3,1,0,57,0,0,0,23,66,0,0,0,50,41,12,21,27,43,95,0,0,0,0,0,0
2018-08-01,IQ,safe_places,64,0,4,1,0,65,0,2,0,17,49,0,0,0,24,31,7,14,21,41,71,0,0,0,0,0,0
2018-09-01,IQ,safe_places,59,0,3,1,0,45,2,0,0,13,38,0,0,0,33,24,5,10,20,47,55,0,0,0,0,0,0
2018-10-01,IQ,safe_places,59,0,3,1,0,53,0,0,0,8,22,0,0,0,34,14,10,9,23,59,32,0,0,0,0,0,0
2018-11-01,IQ,safe_places,63,0,2,1,0,31,0,2,0,11,32,11,0,0,18,20,15,14,24,55,47,0,0,0,0,0,0
2018-12-01,IQ,safe_places,66,0,2,1,0,35,0,0,0,24,69,5,0,0,35,43,11,7,19,72,100,0,0,0,0,0,0
