date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,وثائق,قنصلية,سفارة,حماية,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,يجب المغادرة
2018-01-01,JO,safe_places,54,0,2,0,0,0.08695652173913043,0.11594202898550725,0.0,0.0,0.05797101449275362,0.0,0.0,0.5024154589371981,0.1391304347826087,0.034782608695652174,0.6434782608695653,0.7304347826086957,0.0,0.0,0.0,0.0,0.0
2018-02-01,JO,safe_places,47,0,1,1,0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,39.0,50.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,JO,safe_places,40,0,1,1,0,0.043478260869565216,0.0,0.0,0.0,0.037267080745341616,0.0,0.0,0.2546583850931677,0.043478260869565216,0.03260869565217391,0.5108695652173912,0.5217391304347826,0.0,0.0,0.0,0.0,0.0
2018-04-01,JO,safe_places,36,0,1,0,0,0.043478260869565216,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.2028985507246377,0.05434782608695652,0.0,0.4782608695652174,0.5978260869565217,0.0,0.0,0.0,0.0,0.0
2018-05-01,JO,safe_places,59,0,2,0,0,0.0,0.08,0.0,0.24,12.0,0.0,0.0,29.0,3.0,0.0,42.0,67.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,JO,safe_places,44,0,2,0,0,0.07272727272727272,0.07272727272727272,0.0,0.39999999999999997,0.0,0.0,0.0,0.6303030303030303,0.0,0.0,1.284848484848485,0.9212121212121213,0.0,0.0,0.0,0.0,0.0
2018-07-01,JO,safe_places,35,0,1,0,0,0.0,0.021739130434782608,0.0,0.08695652173913043,0.0,0.0,0.0,61.0,2.0,4.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,JO,safe_places,35,0,2,0,0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,56.0,8.0,6.0,47.0,53.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,JO,safe_places,41,0,2,1,0,0.0,0.0,0.0,0.2857142857142857,5.0,0.0,0.0,46.0,0.0,0.0,48.0,59.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,JO,safe_places,38,0,1,0,0,0.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.0,63.0,6.0,0.0,49.0,63.0,0.0,0.0,0.0,0.0,0.0
