date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,إعفاء2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,إعفاء3,وثائق,قنصلية,سفارة,حماية,وثائق4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,JO,safe_places,54,0,2,0,0,69,3,4,0,0,9,6,0,0,52,5,8,2,37,42,17,0,0,0,0,0,0
2018-02-01,JO,safe_places,47,0,1,1,0,47,0,2,0,0,0,0,0,0,50,0,4,0,39,50,10,0,0,0,0,0,0
2018-03-01,JO,safe_places,40,0,1,1,0,46,2,0,0,0,7,6,0,0,41,4,4,3,47,48,8,0,0,0,0,0,0
2018-04-01,JO,safe_places,36,0,1,0,0,46,2,0,0,3,6,0,0,0,28,4,5,0,44,55,11,0,0,0,0,0,0
2018-05-01,JO,safe_places,59,0,2,0,0,50,0,2,0,6,0,12,0,0,29,0,3,0,42,67,5,0,0,0,0,0,0
2018-06-01,JO,safe_places,44,0,2,0,0,55,2,2,0,11,6,0,0,0,52,3,0,0,53,38,0,0,0,0,0,0,0
2018-07-01,JO,safe_places,35,0,1,0,0,46,0,1,0,4,0,0,0,0,61,0,2,4,49,46,5,0,0,0,0,0,0
2018-08-01,JO,safe_places,35,0,2,0,0,51,0,0,0,6,0,0,0,0,56,0,8,6,47,53,16,0,0,0,0,0,0
2018-09-01,JO,safe_places,41,0,2,1,0,49,0,0,0,7,0,5,0,0,46,0,0,0,48,59,0,0,0,0,0,0,0
2018-10-01,JO,safe_places,38,0,1,0,0,43,0,0,0,5,0,0,0,0,63,0,6,0,49,63,13,0,0,0,0,0,0
2018-11-01,JO,safe_places,44,0,2,1,0,53,0,2,0,4,0,0,0,0,36,0,3,0,33,44,6,0,0,0,0,0,0
