date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,وثائق4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,KW,safe_places,53,0,4,1,0,35,1,0,0,3,6,2,0,0,19,5,3,4,56,48,27,0,0,0,0,0,0
2018-02-01,KW,safe_places,50,0,3,1,0,33,0,0,0,3,6,0,0,0,44,6,3,0,51,72,24,0,0,0,0,0,0
2018-03-01,KW,safe_places,54,0,3,1,0,30,0,0,0,3,6,0,0,0,33,6,5,0,64,42,45,0,0,0,0,0,0
2018-04-01,KW,safe_places,53,0,4,1,0,35,0,0,0,5,11,0,0,0,29,10,4,0,59,43,35,0,0,0,0,0,0
2018-05-01,KW,safe_places,75,0,3,1,0,33,0,0,0,10,21,0,0,0,43,18,3,8,49,40,28,0,0,0,0,0,0
2018-06-01,KW,safe_places,59,0,5,1,0,48,0,0,0,4,8,0,0,0,34,7,4,0,54,62,39,0,0,0,0,0,0
2018-07-01,KW,safe_places,47,0,5,0,0,45,1,0,0,3,6,8,0,0,39,6,0,0,74,44,0,0,0,0,0,0,0
2018-08-01,KW,safe_places,48,0,5,1,0,43,0,0,0,9,19,3,0,0,43,17,3,7,57,42,28,0,0,0,0,0,0
2018-09-01,KW,safe_places,48,0,3,1,0,31,0,0,0,4,9,0,0,0,28,8,2,3,44,56,18,0,0,0,0,0,0
2018-10-01,KW,safe_places,50,0,3,1,0,31,0,0,0,4,9,0,0,0,27,8,5,0,41,56,44,0,0,0,0,0,0
2018-11-01,KW,safe_places,51,0,2,1,0,20,0,1,0,2,4,8,0,0,16,4,3,2,32,55,27,0,0,0,0,0,0
2018-12-01,KW,safe_places,48,0,3,1,0,30,0,1,0,11,23,0,0,0,21,21,5,0,45,37,40,0,0,0,0,0,0
2019-01-01,KW,safe_places,48,0,3,1,0,30,0,0,0,10,21,0,0,0,17,18,0,6,48,44,0,0,0,0,0,0,0
2019-02-01,KW,safe_places,46,0,3,1,0,28,0,0,0,8,18,2,0,0,11,16,5,4,51,54,44,0,0,0,0,0,0
2019-03-01,KW,safe_places,44,0,3,1,0,29,0,5,0,2,4,0,0,0,21,4,0,4,40,54,0,0,0,0,0,0,0
2019-04-01,KW,safe_places,47,0,4,1,0,36,0,1,0,2,5,0,0,0,18,4,0,5,38,40,0,0,0,0,0,0,0
2019-05-01,KW,safe_places,78,0,3,1,0,30,0,1,0,1,2,0,0,0,7,2,0,0,47,35,0,0,0,0,0,0,0
2019-06-01,KW,safe_places,45,0,4,1,0,39,0,0,0,3,7,3,0,0,18,6,3,9,58,66,23,0,0,0,0,0,0
2019-07-01,KW,safe_places,44,0,5,1,0,47,0,4,0,3,7,5,0,0,27,6,5,0,66,67,39,0,0,0,0,0,0
2019-08-01,KW,safe_places,45,0,5,0,0,48,0,0,0,2,4,0,0,0,10,4,3,0,54,53,22,0,0,0,0,0,0
2019-09-01,KW,safe_places,44,0,3,1,0,25,2,2,0,2,5,0,0,0,16,4,0,5,43,72,0,0,0,0,0,0,0
2019-10-01,KW,safe_places,46,0,3,1,0,28,1,0,0,2,5,0,0,0,16,4,3,3,36,72,28,0,0,0,0,0,0
2019-11-01,KW,safe_places,46,0,3,1,0,30,0,0,0,3,6,0,0,0,19,6,11,3,38,74,94,0,0,0,0,0,0
2019-12-01,KW,safe_places,42,0,3,1,0,29,0,0,0,2,5,0,0,0,17,5,0,3,55,49,0,0,0,0,0,0,0
2020-01-01,KW,safe_places,44,0,4,0,0,34,0,0,0,0,0,4,0,0,18,0,4,5,45,41,39,0,0,0,0,0,0
2020-02-01,KW,safe_places,43,0,4,0,0,34,0,1,0,3,7,0,0,0,13,6,0,6,52,53,0,0,0,0,0,0,0
