date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,وثائق,قنصلية,سفارة,حماية,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,يجب المغادرة
2018-01-01,LB,safe_places,66,0,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,61.0,38.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,LB,safe_places,59,0,4,1,1,0.0,0.0,0.0,0.5957446808510638,0.5957446808510638,0.0,0.0,1.5886524822695034,0.2978723404255319,0.0,3.723404255319149,2.5319148936170213,0.0,0.0,0.0,0.0,0.0
2018-03-01,LB,safe_places,53,0,3,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.6000000000000001,11.4,5.4,0.0,0.0,0.0,0.0,0.0
2018-04-01,LB,safe_places,46,0,3,1,1,0.0,0.0,0.0,0.375,0.0,0.0,0.0,1.6875,0.0,0.0,41.0,34.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,LB,safe_places,59,0,3,1,2,0.0,0.0,0.0,0.4285714285714286,0.0,0.0,0.0,1.7142857142857144,10.0,4.0,51.0,34.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,LB,safe_places,46,0,4,1,1,0.0,0.0,0.0,0.48,0.0,0.0,0.0,1.92,0.0,0.0,46.0,33.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,LB,safe_places,43,0,3,1,1,0.0,0.0,0.0,0.5121951219512195,0.34146341463414637,0.0,0.0,1.3658536585365855,0.0,0.29268292682926833,3.073170731707317,1.4146341463414636,0.0,0.0,0.0,0.0,0.0
2018-08-01,LB,safe_places,42,0,2,0,1,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,42.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,LB,safe_places,48,0,3,1,1,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,2.454545454545454,0.0,7.0,47.0,36.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,LB,safe_places,51,0,3,1,1,0.2195121951219512,0.2195121951219512,0.0,0.2926829268292683,0.0,0.0,0.0,1.3170731707317072,6.0,0.0,39.0,45.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,LB,safe_places,51,0,3,1,1,0.0,0.2647058823529412,0.0,0.0,3.0,0.0,0.0,6.0,0.0,2.625,18.75,12.75,0.0,0.0,0.0,0.0,0.0
2018-12-01,LB,safe_places,52,0,3,2,1,0.0,0.0,0.0,0.7941176470588236,0.1985294117647059,0.0,0.0,1.3897058823529413,0.0,0.0,3.0441176470588234,2.514705882352941,0.0,0.0,0.0,0.0,0.0
2019-01-01,LB,safe_places,53,0,3,1,1,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,1.894736842105263,0.0,0.0,46.0,35.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,LB,safe_places,52,0,4,3,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,2.8000000000000003,20.0,12.8,0.0,0.0,0.0,0.0,0.0
2019-03-01,LB,safe_places,48,0,3,1,2,0.0,1.1142857142857143,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,53.0,41.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,LB,safe_places,48,0,4,2,1,0.0,0.37209302325581395,0.0,0.46511627906976744,0.0,0.0,0.0,2.0930232558139537,4.0,5.0,54.0,27.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,LB,safe_places,63,0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,45.0,26.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,LB,safe_places,39,0,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,43.0,33.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,LB,safe_places,40,0,2,1,2,0.0,0.2222222222222222,0.0,0.2962962962962963,0.0,0.0,0.0,1.9259259259259258,0.0,0.0,61.0,36.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,LB,safe_places,38,0,3,2,1,0.36585365853658536,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,71.0,37.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,LB,safe_places,47,0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,70.0,45.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,LB,safe_places,43,0,3,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.75,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,LB,safe_places,50,0,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,65.0,30.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,LB,safe_places,52,0,3,2,1,0.0,0.15789473684210525,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,19.428571428571427,10.285714285714285,0.0,0.0,0.0,0.0,0.0
2020-01-01,LB,safe_places,52,0,3,1,1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,69.0,35.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,LB,safe_places,50,0,4,2,1,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,2.3636363636363638,0.0,0.0,60.0,51.0,0.0,0.0,0.0,0.0,0.0
