date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,مأوى3,وثائق,قنصلية,سفارة,حماية,قنصلية4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,LB,safe_places,66,0,4,2,0,45,0,0,0,0,0,0,0,0,9,0,4,6,61,38,59,0,0,0,0,0,0
2018-02-01,LB,safe_places,59,0,4,1,1,47,0,0,0,7,3,3,0,0,8,8,4,0,50,34,0,0,0,0,0,0,0
2018-03-01,LB,safe_places,53,0,3,1,1,41,0,0,0,0,0,1,0,0,7,5,0,3,57,27,32,0,0,0,0,0,0
2018-04-01,LB,safe_places,46,0,3,1,1,40,0,0,0,5,2,0,0,0,9,0,0,0,41,34,0,0,0,0,0,0,0
2018-05-01,LB,safe_places,59,0,3,1,2,35,0,0,0,5,2,0,0,0,8,0,10,4,51,34,38,0,0,0,0,0,0
2018-06-01,LB,safe_places,46,0,4,1,1,50,0,0,0,6,3,0,0,0,12,0,0,0,46,33,0,0,0,0,0,0,0
2018-07-01,LB,safe_places,43,0,3,1,1,41,0,0,0,7,3,2,0,0,8,7,0,6,63,29,61,0,0,0,0,0,0
2018-08-01,LB,safe_places,42,0,2,0,1,26,0,3,0,0,0,0,0,0,5,0,0,0,50,42,0,0,0,0,0,0,0
2018-09-01,LB,safe_places,48,0,3,1,1,33,0,0,0,3,1,0,0,0,9,0,0,7,47,36,71,0,0,0,0,0,0
2018-10-01,LB,safe_places,51,0,3,1,1,41,3,3,0,4,2,0,0,0,9,0,6,0,39,45,0,0,0,0,0,0,0
2018-11-01,LB,safe_places,51,0,3,1,1,34,0,3,0,0,0,3,0,0,6,8,0,7,50,34,76,0,0,0,0,0,0
2018-12-01,LB,safe_places,52,0,3,2,1,34,0,0,0,9,4,1,0,0,7,3,0,0,46,38,0,0,0,0,0,0,0
2019-01-01,LB,safe_places,53,0,3,1,1,38,0,0,0,6,3,0,0,0,12,0,0,0,46,35,0,0,0,0,0,0,0
2019-02-01,LB,safe_places,52,0,4,3,1,44,0,0,0,0,0,2,0,0,7,5,0,7,50,32,72,0,0,0,0,0,0
2019-03-01,LB,safe_places,48,0,3,1,2,35,0,13,0,0,0,0,0,0,10,0,0,6,53,41,63,0,0,0,0,0,0
2019-04-01,LB,safe_places,48,0,4,2,1,43,0,4,0,5,2,0,0,0,9,0,4,5,54,27,53,0,0,0,0,0,0
2019-05-01,LB,safe_places,63,0,2,2,1,22,0,0,0,0,0,0,0,0,6,0,0,0,45,26,0,0,0,0,0,0,0
2019-06-01,LB,safe_places,39,0,3,2,1,32,0,0,0,0,0,0,0,0,12,0,6,0,43,33,0,0,0,0,0,0,0
2019-07-01,LB,safe_places,40,0,2,1,2,27,0,3,0,4,2,0,0,0,13,0,0,0,61,36,0,0,0,0,0,0,0
2019-08-01,LB,safe_places,38,0,3,2,1,41,5,2,0,0,0,0,0,0,7,0,0,0,71,37,0,0,0,0,0,0,0
2019-09-01,LB,safe_places,47,0,3,1,1,39,0,0,0,0,0,0,0,0,7,0,3,4,70,45,41,0,0,0,0,0,0
2019-10-01,LB,safe_places,43,0,3,2,1,36,0,0,0,0,0,1,0,0,7,4,3,0,44,40,0,0,0,0,0,0,0
