date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,إنقاذ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,إنقاذ3,وثائق,قنصلية,سفارة,حماية,وثائق4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,LY,safe_places,68,0,2,1,0,48,0,0,0,0,0,0,0,0,91,0,4,0,15,37,35,0,0,0,0,0,0
2018-02-01,LY,safe_places,64,0,2,1,0,47,0,0,0,0,0,0,0,0,74,0,0,0,15,30,0,0,0,0,0,0,0
2018-03-01,LY,safe_places,65,0,2,0,0,46,0,9,0,0,37,0,0,0,57,7,3,0,18,45,24,0,0,0,0,0,0
2018-04-01,LY,safe_places,62,0,3,0,0,58,0,0,0,5,0,0,0,0,72,0,5,3,16,31,45,0,0,0,0,0,0
2018-05-01,LY,safe_places,100,0,2,1,0,53,0,0,0,0,0,0,0,0,0,0,3,3,3,23,24,0,0,0,0,0,0
2018-06-01,LY,safe_places,67,0,2,0,0,37,0,0,0,0,0,46,0,0,34,0,5,0,6,33,43,0,0,0,0,0,0
2018-07-01,LY,safe_places,50,0,3,0,0,55,0,8,0,0,30,0,0,0,32,6,8,0,0,20,71,0,0,0,0,0,0
2018-08-01,LY,safe_places,49,0,2,0,0,40,0,0,0,0,0,12,0,0,40,0,0,21,16,19,0,0,0,0,0,0,0
2018-09-01,LY,safe_places,54,0,2,0,0,48,0,0,0,3,0,0,0,0,0,0,8,0,11,50,72,0,0,0,0,0,0
2018-10-01,LY,safe_places,51,0,2,0,0,50,0,0,0,0,0,0,0,0,41,0,5,0,9,20,43,0,0,0,0,0,0
2018-11-01,LY,safe_places,53,0,3,0,0,56,6,5,0,0,21,0,0,0,46,4,5,0,6,23,50,0,0,0,0,0,0
2018-12-01,LY,safe_places,52,0,2,1,0,52,0,7,0,5,26,26,0,0,41,5,4,0,11,23,41,0,0,0,0,0,0
2019-01-01,LY,safe_places,55,0,2,0,0,48,5,5,0,0,18,24,0,0,29,3,6,0,7,25,53,0,0,0,0,0,0
2019-02-01,LY,safe_places,48,0,2,0,0,46,0,7,0,4,29,0,0,0,43,5,0,6,8,20,0,0,0,0,0,0,0
2019-03-01,LY,safe_places,51,0,3,0,0,57,0,0,0,0,0,0,0,0,100,0,3,0,10,35,30,0,0,0,0,0,0
2019-04-01,LY,safe_places,53,0,1,0,0,28,0,0,0,7,0,0,0,0,46,0,0,0,8,100,0,0,0,0,0,0,0
2019-05-01,LY,safe_places,93,0,3,1,0,55,0,0,0,0,0,0,0,0,21,0,0,0,17,98,0,0,0,0,0,0,0
2019-06-01,LY,safe_places,40,0,2,1,0,51,0,0,0,0,0,0,0,0,69,0,3,0,4,94,25,0,0,0,0,0,0
2019-07-01,LY,safe_places,37,0,2,1,0,39,0,4,0,0,14,0,0,0,33,3,0,0,5,73,0,0,0,0,0,0,0
2019-08-01,LY,safe_places,41,0,2,0,0,49,7,3,0,0,13,0,0,0,18,2,0,4,11,61,0,0,0,0,0,0,0
2019-09-01,LY,safe_places,42,0,2,0,0,45,4,11,0,9,44,0,0,0,52,8,2,0,13,77,23,0,0,0,0,0,0
2019-10-01,LY,safe_places,42,0,3,0,0,55,0,5,0,4,21,27,0,0,29,4,0,0,6,57,0,0,0,0,0,0,0
2019-11-01,LY,safe_places,41,0,2,0,0,38,0,0,0,0,0,37,0,0,37,0,7,0,16,46,64,0,0,0,0,0,0
2019-12-01,LY,safe_places,40,0,2,1,0,35,0,0,0,0,0,25,0,0,41,0,11,0,10,61,100,0,0,0,0,0,0
2020-01-01,LY,safe_places,39,0,2,0,0,43,3,5,0,0,19,0,0,0,37,4,0,0,16,56,0,0,0,0,0,0,0
2020-02-01,LY,safe_places,41,0,2,0,0,39,0,0,0,0,0,0,0,0,41,0,5,5,4,32,47,0,0,0,0,0,0
2020-03-01,LY,safe_places,53,0,3,1,0,62,0,2,0,3,9,0,0,0,24,2,0,0,4,40,0,0,0,0,0,0,0
2020-04-01,LY,safe_places,93,0,2,1,0,42,4,0,0,0,0,0,0,0,0,0,6,0,0,45,54,0,0,0,0,0,0
2020-05-01,LY,safe_places,71,0,2,1,0,37,0,0,0,0,0,0,0,0,0,0,4,0,4,38,41,0,0,0,0,0,0
2020-06-01,LY,safe_places,42,0,2,0,0,37,0,0,0,7,0,0,0,0,35,0,0,0,9,53,0,0,0,0,0,0,0
2020-07-01,LY,safe_places,42,0,2,0,0,41,0,0,0,0,0,0,0,0,21,0,0,0,5,35,0,0,0,0,0,0,0
2020-08-01,LY,safe_places,37,0,3,0,0,61,0,3,0,0,11,18,0,0,0,2,0,0,5,32,0,0,0,0,0,0,0
2020-09-01,LY,safe_places,39,0,3,0,0,54,3,0,0,0,0,56,0,0,20,0,0,0,7,24,0,0,0,0,0,0,0
2020-10-01,LY,safe_places,39,0,3,0,0,57,3,4,0,0,16,0,0,0,0,3,0,0,6,22,0,0,0,0,0,0,0
2020-11-01,LY,safe_places,40,0,2,0,0,45,0,0,0,4,0,0,0,0,48,0,0,0,3,23,0,0,0,0,0,0,0
2020-12-01,LY,safe_places,40,0,2,1,0,50,0,0,0,0,0,0,0,0,32,0,0,2,6,33,0,0,0,0,0,0,0
2021-01-01,LY,safe_places,38,0,2,0,0,54,3,0,0,0,0,0,0,0,58,0,0,0,6,27,0,0,0,0,0,0,0
2021-02-01,LY,safe_places,34,0,3,0,0,60,0,5,0,0,19,0,0,0,31,3,0,0,8,24,0,0,0,0,0,0,0
2021-03-01,LY,safe_places,34,0,3,0,0,64,2,0,0,0,0,13,0,0,35,0,4,0,10,21,40,0,0,0,0,0,0
2021-04-01,LY,safe_places,56,0,3,1,0,71,7,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0
2021-05-01,LY,safe_places,33,0,4,0,0,80,0,0,0,3,0,13,0,0,42,0,0,0,6,16,0,0,0,0,0,0,0
2021-06-01,LY,safe_places,27,0,2,0,0,54,0,4,0,0,17,0,0,0,75,3,2,0,8,21,18,0,0,0,0,0,0
2021-07-01,LY,safe_places,28,0,1,0,0,32,0,3,0,0,13,22,0,0,35,2,0,0,5,11,0,0,0,0,0,0,0
2021-08-01,LY,safe_places,26,0,3,0,0,65,7,0,0,0,0,39,0,0,24,0,0,0,4,15,0,0,0,0,0,0,0
2021-09-01,LY,safe_places,27,0,4,0,0,89,0,0,0,0,0,0,0,0,17,0,0,0,9,12,0,0,0,0,0,0,0
2021-10-01,LY,safe_places,25,0,4,1,0,79,3,2,0,0,9,0,0,0,20,2,3,0,8,13,31,0,0,0,0,0,0
2021-11-01,LY,safe_places,26,0,4,0,0,87,0,0,0,6,0,11,0,0,48,0,5,0,8,17,44,0,0,0,0,0,0
