date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,إعفاء2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,إعفاء3,وثائق,قنصلية,سفارة,حماية,قنصلية4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,MA,safe_places,90,0,17,4,1,46,1,0,0,1,1,1,0,0,41,1,30,10,9,14,54,0,0,0,0,0,0
2018-02-01,MA,safe_places,81,0,14,6,1,37,0,0,0,0,0,2,0,0,42,0,27,7,7,16,38,0,0,0,0,0,0
2018-03-01,MA,safe_places,78,0,12,5,1,33,2,2,0,3,2,0,0,0,32,1,28,8,6,21,45,0,0,0,0,0,0
2018-04-01,MA,safe_places,70,0,12,6,0,33,2,4,0,2,3,0,0,0,31,2,27,6,6,27,33,0,0,0,0,0,0
2018-05-01,MA,safe_places,82,0,14,4,0,38,0,0,0,1,0,2,0,0,49,0,28,8,10,29,43,0,0,0,0,0,0
2018-06-01,MA,safe_places,75,0,15,4,0,40,1,0,0,3,1,0,0,0,32,1,26,8,10,13,44,0,0,0,0,0,0
2018-07-01,MA,safe_places,70,0,12,5,0,33,3,0,0,4,4,0,0,0,40,2,38,8,8,11,46,0,0,0,0,0,0
2018-08-01,MA,safe_places,65,0,15,3,0,41,3,1,0,3,4,0,0,0,37,2,35,11,8,12,60,0,0,0,0,0,0
2018-09-01,MA,safe_places,82,0,14,3,0,38,4,0,0,2,6,0,0,0,48,3,69,11,12,18,59,0,0,0,0,0,0
2018-10-01,MA,safe_places,82,0,12,4,0,33,1,0,0,2,1,2,0,0,41,1,39,9,10,48,51,0,0,0,0,0,0
2018-11-01,MA,safe_places,76,0,12,5,0,33,3,1,0,3,4,0,0,0,36,2,33,9,8,22,47,0,0,0,0,0,0
2018-12-01,MA,safe_places,78,0,14,6,1,38,1,2,0,7,2,1,0,0,48,1,38,7,9,36,38,0,0,0,0,0,0
2019-01-01,MA,safe_places,77,0,14,5,0,39,0,0,0,3,0,2,0,0,60,0,38,7,7,19,36,0,0,0,0,0,0
2019-02-01,MA,safe_places,73,0,11,4,0,29,1,2,0,3,2,1,0,0,46,1,37,10,6,21,55,0,0,0,0,0,0
2019-03-01,MA,safe_places,71,0,13,5,1,37,2,0,0,4,2,0,0,0,44,1,31,9,6,22,49,0,0,0,0,0,0
2019-04-01,MA,safe_places,66,0,13,5,0,37,0,1,0,4,0,4,0,0,42,0,39,11,8,25,58,0,0,0,0,0,0
2019-05-01,MA,safe_places,85,0,16,5,0,44,1,2,0,0,2,4,0,0,36,1,33,9,13,26,50,0,0,0,0,0,0
2019-06-01,MA,safe_places,75,0,13,4,1,34,0,1,0,2,0,0,0,0,41,0,36,9,9,15,51,0,0,0,0,0,0
2019-07-01,MA,safe_places,63,0,13,5,0,36,1,0,0,1,2,3,0,0,41,1,48,8,8,10,43,0,0,0,0,0,0
2019-08-01,MA,safe_places,59,0,14,3,0,37,0,1,0,0,0,0,0,0,47,0,51,12,11,8,65,0,0,0,0,0,0
2019-09-01,MA,safe_places,81,0,15,4,0,40,0,4,0,0,0,2,0,0,65,0,76,12,8,18,67,0,0,0,0,0,0
2019-10-01,MA,safe_places,77,0,13,6,0,36,2,1,0,2,2,1,0,0,81,1,60,9,11,42,52,0,0,0,0,0,0
2019-11-01,MA,safe_places,73,0,17,3,0,47,1,0,0,0,1,0,0,0,38,1,46,11,8,19,61,0,0,0,0,0,0
2019-12-01,MA,safe_places,78,0,13,5,0,37,2,1,0,0,2,0,0,0,35,1,35,10,8,38,56,0,0,0,0,0,0
2020-01-01,MA,safe_places,74,0,16,6,1,43,2,0,0,1,2,1,0,0,51,2,38,14,9,22,75,0,0,0,0,0,0
2020-02-01,MA,safe_places,69,0,15,6,0,42,2,3,0,1,3,3,0,0,46,2,45,12,11,22,66,0,0,0,0,0,0
2020-03-01,MA,safe_places,58,0,13,7,0,36,2,0,0,3,3,2,0,0,18,2,23,7,7,22,36,0,0,0,0,0,0
2020-04-01,MA,safe_places,66,0,17,12,0,47,4,2,0,2,5,3,0,0,12,3,10,5,6,22,30,0,0,0,0,0,0
2020-05-01,MA,safe_places,77,0,18,12,0,50,3,2,0,1,5,2,0,0,14,3,19,8,5,22,43,0,0,0,0,0,0
2020-06-01,MA,safe_places,81,0,16,7,0,45,3,0,0,0,4,1,0,0,21,2,41,11,8,18,58,0,0,0,0,0,0
2020-07-01,MA,safe_places,72,0,14,7,0,38,2,0,0,0,3,2,0,0,28,2,48,8,6,15,42,0,0,0,0,0,0
2020-08-01,MA,safe_places,67,0,15,5,0,42,3,0,0,0,4,3,0,0,29,2,78,9,10,13,50,0,0,0,0,0,0
2020-09-01,MA,safe_places,72,0,14,5,0,39,2,0,0,1,2,0,0,0,33,1,78,9,7,16,49,0,0,0,0,0,0
2020-10-01,MA,safe_places,76,0,12,6,0,34,1,1,0,1,2,0,0,0,47,1,79,12,8,35,67,0,0,0,0,0,0
2020-11-01,MA,safe_places,74,0,16,6,1,43,2,0,0,0,2,1,0,0,35,1,75,15,7,31,84,0,0,0,0,0,0
2020-12-01,MA,safe_places,70,0,17,8,0,46,3,0,0,0,4,1,0,0,31,3,51,15,7,21,84,0,0,0,0,0,0
2021-01-01,MA,safe_places,79,0,18,5,0,48,3,1,0,1,4,1,0,0,27,2,45,9,6,18,49,0,0,0,0,0,0
2021-02-01,MA,safe_places,68,0,19,5,1,52,1,3,0,1,2,1,0,0,24,1,50,9,7,22,52,0,0,0,0,0,0
2021-03-01,MA,safe_places,68,0,19,7,0,52,1,2,0,1,1,2,0,0,33,1,45,12,8,22,66,0,0,0,0,0,0
2021-04-01,MA,safe_places,65,0,21,6,0,57,2,1,0,1,3,6,0,0,30,2,41,8,7,36,41,0,0,0,0,0,0
2021-05-01,MA,safe_places,69,0,21,7,0,58,2,1,0,0,2,2,0,0,31,1,42,9,7,28,51,0,0,0,0,0,0
2021-06-01,MA,safe_places,63,0,18,7,0,48,2,1,0,1,2,2,0,0,49,1,48,11,6,18,62,0,0,0,0,0,0
2021-07-01,MA,safe_places,64,0,19,6,0,51,2,2,0,0,2,0,0,0,43,1,48,8,6,11,42,0,0,0,0,0,0
2021-08-01,MA,safe_places,69,0,20,7,0,55,0,0,0,2,0,1,0,0,69,0,62,14,9,10,75,0,0,0,0,0,0
2021-09-01,MA,safe_places,63,0,23,5,0,62,1,0,0,2,2,0,0,0,83,1,71,17,13,13,92,0,0,0,0,0,0
2021-10-01,MA,safe_places,71,0,19,6,0,51,3,1,0,0,5,2,0,0,95,3,77,13,8,39,71,0,0,0,0,0,0
2021-11-01,MA,safe_places,72,0,25,7,0,68,2,2,0,1,2,2,0,0,56,1,59,12,8,32,64,0,0,0,0,0,0
2021-12-01,MA,safe_places,71,0,27,9,1,73,4,3,0,0,5,4,0,0,37,3,42,9,4,27,48,0,0,0,0,0,0
2022-01-01,MA,safe_places,91,0,35,9,1,96,2,1,0,2,2,2,0,0,42,1,45,10,7,23,56,0,0,0,0,0,0
2022-02-01,MA,safe_places,81,0,34,7,1,93,2,9,0,1,3,0,0,0,42,2,53,12,13,25,65,0,0,0,0,0,0
2022-03-01,MA,safe_places,100,0,37,8,0,100,2,2,0,2,3,2,0,0,52,2,47,12,11,32,68,0,0,0,0,0,0
2022-04-01,MA,safe_places,99,0,31,7,0,84,3,1,0,2,4,4,0,0,55,3,43,11,6,41,58,0,0,0,0,0,0
2022-05-01,MA,safe_places,86,0,30,8,0,81,2,2,0,0,2,7,0,0,70,1,53,13,8,49,72,0,0,0,0,0,0
2022-06-01,MA,safe_places,81,0,26,7,0,71,1,1,0,1,1,4,0,0,71,1,49,14,11,27,79,0,0,0,0,0,0
2022-07-01,MA,safe_places,72,0,30,5,1,82,1,1,0,1,1,2,0,0,64,1,56,13,11,12,72,0,0,0,0,0,0
