date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,وثائق4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,OM,safe_places,79,0,5,1,0,64,0,0,0,5,29,0,0,0,48,7,7,5,26,36,46,0,0,0,0,0,0
2018-02-01,OM,safe_places,79,0,4,2,0,58,0,0,0,0,0,0,0,0,16,0,0,0,27,62,0,0,0,0,0,0,0
2018-03-01,OM,safe_places,77,0,3,2,0,33,4,0,0,0,0,0,0,0,0,0,11,0,22,47,70,0,0,0,0,0,0
2018-04-01,OM,safe_places,78,0,5,1,0,61,0,0,0,4,25,58,0,0,0,6,8,0,52,69,49,0,0,0,0,0,0
2018-05-01,OM,safe_places,100,0,3,1,0,42,0,0,0,0,0,0,0,0,27,0,0,0,54,38,0,0,0,0,0,0,0
2018-06-01,OM,safe_places,79,0,5,1,0,71,6,3,0,0,0,0,0,0,0,0,9,0,28,44,58,0,0,0,0,0,0
2018-07-01,OM,safe_places,57,0,5,0,0,69,0,4,0,0,0,0,0,0,23,0,5,0,42,67,31,0,0,0,0,0,0
2018-08-01,OM,safe_places,61,0,5,1,0,68,0,0,0,0,0,0,0,0,37,0,0,0,19,34,0,0,0,0,0,0,0
2018-09-01,OM,safe_places,66,0,5,1,0,59,0,3,0,3,21,0,0,0,0,5,6,0,53,56,34,0,0,0,0,0,0
2018-10-01,OM,safe_places,67,0,3,1,0,39,0,0,0,9,56,40,0,0,46,13,7,6,28,59,42,0,0,0,0,0,0
2018-11-01,OM,safe_places,68,0,3,2,0,38,4,0,0,7,43,0,0,0,48,10,16,0,40,55,100,0,0,0,0,0,0
2018-12-01,OM,safe_places,69,0,3,1,0,36,6,0,0,15,94,0,0,0,45,22,0,0,38,44,0,0,0,0,0,0,0
2019-01-01,OM,safe_places,58,0,4,1,0,53,0,4,0,14,86,60,0,0,17,20,0,0,20,53,0,0,0,0,0,0,0
2019-02-01,OM,safe_places,61,0,4,2,0,57,0,0,0,7,44,19,0,0,0,10,0,5,42,45,0,0,0,0,0,0,0
2019-03-01,OM,safe_places,63,0,3,1,0,41,0,0,0,8,50,0,0,0,63,11,0,0,23,52,0,0,0,0,0,0,0
2019-04-01,OM,safe_places,59,0,4,2,0,52,0,0,0,0,0,0,0,0,27,0,7,0,28,48,40,0,0,0,0,0,0
2019-05-01,OM,safe_places,98,0,4,2,0,48,4,0,0,3,16,54,0,0,35,4,0,8,30,37,0,0,0,0,0,0,0
2019-06-01,OM,safe_places,53,0,5,1,0,63,3,0,0,0,0,0,0,0,93,0,0,0,43,44,0,0,0,0,0,0,0
2019-07-01,OM,safe_places,52,0,5,1,0,66,0,0,0,3,20,0,0,0,45,4,0,4,32,52,0,0,0,0,0,0,0
2019-08-01,OM,safe_places,53,0,4,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,30,45,0,0,0,0,0,0,0
2019-09-01,OM,safe_places,53,0,4,2,0,55,0,4,0,0,0,0,0,0,38,0,0,12,31,60,0,0,0,0,0,0,0
2019-10-01,OM,safe_places,53,0,4,2,0,50,0,0,0,0,0,0,0,0,0,0,9,5,29,48,57,0,0,0,0,0,0
2019-11-01,OM,safe_places,52,0,4,1,0,55,2,0,0,9,55,27,0,0,0,13,7,6,27,47,45,0,0,0,0,0,0
2019-12-01,OM,safe_places,51,0,4,1,0,51,0,0,0,0,0,0,0,0,21,0,0,0,36,40,0,0,0,0,0,0,0
2020-01-01,OM,safe_places,48,0,4,1,0,56,0,2,0,0,0,0,0,0,43,0,0,3,27,53,0,0,0,0,0,0,0
2020-02-01,OM,safe_places,51,0,3,1,0,40,3,0,0,2,16,20,0,0,0,4,0,6,29,48,0,0,0,0,0,0,0
2020-03-01,OM,safe_places,66,0,3,1,0,37,0,0,0,0,0,0,0,0,0,0,10,0,28,62,61,0,0,0,0,0,0
2020-04-01,OM,safe_places,98,0,4,1,0,52,4,0,0,0,0,10,0,0,17,0,5,3,9,69,33,0,0,0,0,0,0
2020-05-01,OM,safe_places,89,0,4,1,0,57,0,0,0,2,12,0,0,0,43,3,2,0,25,62,15,0,0,0,0,0,0
2020-06-01,OM,safe_places,68,0,4,1,0,56,0,0,0,0,0,11,0,0,29,0,5,2,25,51,34,0,0,0,0,0,0
2020-07-01,OM,safe_places,72,0,3,1,0,40,0,2,0,0,0,0,0,0,32,0,10,6,54,71,64,0,0,0,0,0,0
2020-08-01,OM,safe_places,57,0,5,1,0,59,0,0,0,3,17,0,0,0,0,4,3,0,59,66,19,0,0,0,0,0,0
2020-09-01,OM,safe_places,58,0,4,2,0,52,0,0,0,0,0,0,0,0,0,0,5,0,40,59,29,0,0,0,0,0,0
2020-10-01,OM,safe_places,59,0,4,1,0,46,0,2,0,0,0,30,0,0,26,0,4,9,37,56,24,0,0,0,0,0,0
2020-11-01,OM,safe_places,45,0,3,1,0,44,3,0,0,0,0,14,0,0,31,0,5,8,33,54,32,0,0,0,0,0,0
2020-12-01,OM,safe_places,50,0,5,1,0,58,0,0,0,3,16,0,0,0,21,4,6,0,32,57,37,0,0,0,0,0,0
2021-01-01,OM,safe_places,51,0,4,1,0,53,0,0,0,0,0,0,0,0,48,0,5,4,36,62,30,0,0,0,0,0,0
2021-02-01,OM,safe_places,50,0,5,1,0,59,0,3,0,0,0,57,0,0,27,0,0,8,27,56,0,0,0,0,0,0,0
2021-03-01,OM,safe_places,50,0,4,1,0,54,0,0,0,0,0,0,0,0,22,0,7,0,27,61,43,0,0,0,0,0,0
2021-04-01,OM,safe_places,66,0,4,2,0,57,0,0,0,0,0,0,0,0,29,0,0,0,23,67,0,0,0,0,0,0,0
2021-05-01,OM,safe_places,57,0,4,1,0,56,0,2,0,0,0,0,0,0,20,0,4,0,32,79,23,0,0,0,0,0,0
2021-06-01,OM,safe_places,46,0,5,1,0,64,0,0,0,5,33,16,0,0,14,8,0,0,29,97,0,0,0,0,0,0,0
2021-07-01,OM,safe_places,46,0,5,1,0,69,0,2,0,0,0,0,0,0,55,0,0,0,35,80,0,0,0,0,0,0,0
2021-08-01,OM,safe_places,45,0,5,1,0,59,0,0,0,0,0,0,0,0,100,0,0,0,45,71,0,0,0,0,0,0,0
2021-09-01,OM,safe_places,41,0,5,2,0,58,0,0,0,0,0,27,0,0,88,0,14,0,31,65,84,0,0,0,0,0,0
2021-10-01,OM,safe_places,40,0,6,1,0,73,0,4,0,2,12,0,0,0,68,3,9,0,35,79,54,0,0,0,0,0,0
2021-11-01,OM,safe_places,43,0,4,1,0,57,2,0,0,5,31,30,0,0,23,7,0,0,35,73,0,0,0,0,0,0,0
2021-12-01,OM,safe_places,47,0,6,2,0,77,0,0,0,2,13,0,0,0,33,3,0,12,48,60,0,0,0,0,0,0,0
2022-01-01,OM,safe_places,42,0,5,1,0,67,0,6,0,3,21,32,0,0,47,5,7,0,32,56,43,0,0,0,0,0,0
2022-02-01,OM,safe_places,41,0,6,1,0,71,0,17,0,3,21,0,0,0,42,5,7,0,32,70,43,0,0,0,0,0,0
2022-03-01,OM,safe_places,51,0,6,2,0,72,0,0,0,4,27,0,0,0,60,6,0,0,35,95,0,0,0,0,0,0,0
2022-04-01,OM,safe_places,73,0,6,1,0,75,3,5,0,2,14,0,0,0,37,3,4,0,29,89,24,0,0,0,0,0,0
2022-05-01,OM,safe_places,37,0,7,1,0,93,5,7,0,0,0,9,0,0,71,0,0,0,36,76,0,0,0,0,0,0,0
2022-06-01,OM,safe_places,40,0,7,2,0,89,2,4,0,0,0,37,0,0,48,0,3,4,41,79,16,0,0,0,0,0,0
2022-07-01,OM,safe_places,39,0,8,1,0,100,4,0,0,0,0,0,0,0,46,0,0,4,26,73,0,0,0,0,0,0,0
2022-08-01,OM,safe_places,37,0,7,1,0,90,4,0,0,3,22,0,0,0,60,5,0,0,40,80,0,0,0,0,0,0,0
2022-09-01,OM,safe_places,40,0,7,1,0,94,5,0,0,0,0,0,0,0,10,0,3,0,26,100,19,0,0,0,0,0,0
2022-10-01,OM,safe_places,47,0,5,1,0,58,0,3,0,0,0,30,0,0,64,0,5,0,38,81,32,0,0,0,0,0,0
2022-11-01,OM,safe_places,42,0,4,1,0,57,3,0,0,0,0,0,0,0,25,0,6,6,25,64,39,0,0,0,0,0,0
2022-12-01,OM,safe_places,38,0,6,1,0,74,2,0,0,0,0,0,0,0,66,0,0,0,29,61,0,0,0,0,0,0,0
2023-01-01,OM,safe_places,37,0,5,2,0,68,0,0,0,3,21,16,0,0,78,5,0,3,42,71,0,0,0,0,0,0,0
2023-02-01,OM,safe_places,42,0,6,1,0,81,2,4,0,4,22,0,0,0,44,5,7,0,34,66,41,0,0,0,0,0,0
2023-03-01,OM,safe_places,54,0,6,1,0,74,0,3,0,3,16,0,0,0,57,4,4,0,21,60,22,0,0,0,0,0,0
2023-04-01,OM,safe_places,50,0,7,1,0,88,4,0,0,2,13,11,0,0,43,3,3,2,32,64,19,0,0,0,0,0,0
2023-05-01,OM,safe_places,38,0,6,1,0,79,0,0,0,0,0,0,0,0,56,0,8,0,52,92,51,0,0,0,0,0,0
