date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,إعفاء2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,إعفاء3,وثائق,قنصلية,سفارة,حماية,وثائق4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,QA,safe_places,57,0,5,1,0,83,9,0,0,7,21,0,0,0,40,7,0,0,50,35,0,0,0,0,0,0,0
2018-02-01,QA,safe_places,57,0,4,1,0,62,5,0,0,0,12,0,0,0,0,4,5,0,62,37,25,0,0,0,0,0,0
2018-03-01,QA,safe_places,53,0,3,1,0,48,0,0,0,5,0,0,0,0,0,0,0,18,76,31,0,0,0,0,0,0,0
2018-04-01,QA,safe_places,59,0,3,0,0,49,0,0,0,0,0,0,0,0,29,0,6,7,45,29,30,0,0,0,0,0,0
2018-05-01,QA,safe_places,82,0,3,1,0,53,8,0,0,28,18,0,0,0,54,6,6,0,68,18,29,0,0,0,0,0,0
2018-06-01,QA,safe_places,65,0,6,0,0,94,5,0,0,8,11,0,0,0,48,4,0,5,78,26,0,0,0,0,0,0,0
2018-07-01,QA,safe_places,55,0,4,0,0,65,0,0,0,0,0,0,0,0,20,0,7,0,86,49,32,0,0,0,0,0,0
2018-08-01,QA,safe_places,49,0,3,1,0,48,10,0,0,0,24,0,0,0,38,8,0,15,69,33,0,0,0,0,0,0,0
2018-09-01,QA,safe_places,51,0,3,1,0,53,0,0,0,5,0,25,0,0,37,0,0,0,47,28,0,0,0,0,0,0,0
2018-10-01,QA,safe_places,57,0,3,0,0,56,0,0,0,5,0,33,0,0,40,0,0,30,66,33,0,0,0,0,0,0,0
2018-11-01,QA,safe_places,54,0,4,1,0,59,0,0,0,5,0,0,0,0,49,0,5,4,43,21,23,0,0,0,0,0,0
2018-12-01,QA,safe_places,51,0,4,1,0,59,0,7,0,9,0,0,0,0,0,0,6,0,50,26,28,0,0,0,0,0,0
2019-01-01,QA,safe_places,57,0,2,0,0,41,0,0,0,6,0,0,0,0,0,0,0,4,71,28,0,0,0,0,0,0,0
2019-02-01,QA,safe_places,51,0,4,2,0,63,0,0,0,9,0,0,0,0,38,0,4,0,44,22,21,0,0,0,0,0,0
2019-03-01,QA,safe_places,54,0,1,1,0,17,0,0,0,0,0,0,0,0,55,0,10,6,54,36,49,0,0,0,0,0,0
2019-04-01,QA,safe_places,48,0,3,1,0,42,0,0,0,0,0,12,0,0,14,0,0,0,56,29,0,0,0,0,0,0,0
2019-05-01,QA,safe_places,81,0,5,1,0,81,0,9,0,0,0,0,0,0,30,0,5,0,78,25,24,0,0,0,0,0,0
2019-06-01,QA,safe_places,47,0,3,0,0,57,0,0,0,6,0,0,0,0,62,0,0,0,64,27,0,0,0,0,0,0,0
2019-07-01,QA,safe_places,42,0,5,0,0,83,0,0,0,0,0,0,0,0,30,0,14,0,71,26,67,0,0,0,0,0,0
2019-08-01,QA,safe_places,45,0,4,0,0,69,0,0,0,0,0,0,0,0,53,0,0,0,33,17,0,0,0,0,0,0,0
2019-09-01,QA,safe_places,44,0,3,1,0,51,0,0,0,0,0,38,0,0,79,0,20,6,36,28,100,0,0,0,0,0,0
2019-10-01,QA,safe_places,45,0,3,1,0,55,5,0,0,5,12,22,0,0,33,4,0,9,46,40,0,0,0,0,0,0,0
2019-11-01,QA,safe_places,52,0,4,1,0,62,0,0,0,0,0,0,0,0,47,0,4,0,37,37,22,0,0,0,0,0,0
2019-12-01,QA,safe_places,46,0,2,0,0,41,0,0,0,4,0,0,0,0,30,0,3,0,49,37,15,0,0,0,0,0,0
2020-01-01,QA,safe_places,45,0,3,1,0,56,0,4,0,0,0,0,0,0,38,0,0,0,50,20,0,0,0,0,0,0,0
2020-02-01,QA,safe_places,46,0,3,0,0,53,0,0,0,0,0,0,0,0,27,0,0,0,46,29,0,0,0,0,0,0,0
2020-03-01,QA,safe_places,61,0,3,0,0,51,0,0,0,0,0,0,0,0,13,0,0,0,29,32,0,0,0,0,0,0,0
2020-04-01,QA,safe_places,100,0,2,1,0,35,0,0,0,0,0,0,0,0,12,0,4,7,21,34,20,0,0,0,0,0,0
2020-05-01,QA,safe_places,89,0,4,2,0,62,6,0,0,5,15,0,0,0,37,5,0,0,24,42,0,0,0,0,0,0,0
2020-06-01,QA,safe_places,67,0,3,1,0,46,0,0,0,0,0,0,0,0,39,0,0,7,49,29,0,0,0,0,0,0,0
2020-07-01,QA,safe_places,54,0,4,1,0,58,10,0,0,0,23,0,0,0,31,7,10,0,60,34,51,0,0,0,0,0,0
2020-08-01,QA,safe_places,48,0,3,1,0,43,0,0,0,0,0,0,0,0,65,0,0,5,52,47,0,0,0,0,0,0,0
2020-09-01,QA,safe_places,45,0,2,1,0,39,16,0,0,0,37,0,0,0,49,12,10,0,40,42,47,0,0,0,0,0,0
2020-10-01,QA,safe_places,43,0,3,1,0,51,0,0,0,4,0,34,0,0,9,0,0,3,39,33,0,0,0,0,0,0,0
2020-11-01,QA,safe_places,44,0,3,1,0,42,6,0,0,0,15,11,0,0,13,5,0,0,33,37,0,0,0,0,0,0,0
2020-12-01,QA,safe_places,41,0,5,1,0,79,0,7,0,0,0,0,0,0,24,0,6,0,46,38,28,0,0,0,0,0,0
2021-01-01,QA,safe_places,43,0,4,1,0,64,5,5,0,0,11,0,0,0,31,4,6,4,56,39,32,0,0,0,0,0,0
2021-02-01,QA,safe_places,44,0,4,1,0,74,0,0,0,0,0,0,0,0,60,0,4,8,43,42,20,0,0,0,0,0,0
2021-03-01,QA,safe_places,45,0,4,1,0,59,0,0,0,0,0,0,0,0,51,0,0,0,45,33,0,0,0,0,0,0,0
2021-04-01,QA,safe_places,63,0,5,2,0,77,0,0,0,0,0,0,0,0,37,0,0,0,38,41,0,0,0,0,0,0,0
2021-05-01,QA,safe_places,51,0,4,1,0,70,7,5,0,0,16,0,0,0,59,5,0,0,52,33,0,0,0,0,0,0,0
2021-06-01,QA,safe_places,35,0,4,1,0,68,0,0,0,0,0,0,0,0,81,0,8,5,86,44,41,0,0,0,0,0,0
2021-07-01,QA,safe_places,32,0,4,1,0,64,20,0,0,0,48,12,0,0,17,15,0,0,94,30,0,0,0,0,0,0,0
2021-08-01,QA,safe_places,35,0,4,1,0,63,0,0,0,0,0,15,0,0,52,0,5,0,78,32,24,0,0,0,0,0,0
2021-09-01,QA,safe_places,40,0,4,1,0,73,0,9,0,0,0,0,0,0,60,0,6,8,46,42,30,0,0,0,0,0,0
2021-10-01,QA,safe_places,42,0,5,1,0,85,0,4,0,11,0,10,0,0,41,0,4,9,66,45,21,0,0,0,0,0,0
2021-11-01,QA,safe_places,41,0,5,0,0,75,11,10,0,0,27,0,0,0,51,9,0,4,49,52,0,0,0,0,0,0,0
2021-12-01,QA,safe_places,38,0,5,1,0,87,0,0,0,7,0,0,0,0,34,0,0,0,56,29,0,0,0,0,0,0,0
2022-01-01,QA,safe_places,43,0,3,1,0,56,0,0,0,0,0,25,0,0,41,0,7,6,39,26,34,0,0,0,0,0,0
2022-02-01,QA,safe_places,41,0,5,2,0,83,0,0,0,7,0,22,0,0,61,0,7,0,65,50,37,0,0,0,0,0,0
2022-03-01,QA,safe_places,39,0,4,2,0,66,0,0,0,0,0,0,0,0,52,0,6,3,58,41,29,0,0,0,0,0,0
2022-04-01,QA,safe_places,58,0,5,1,0,81,4,0,0,0,9,0,0,0,65,3,6,0,47,38,28,0,0,0,0,0,0
2022-05-01,QA,safe_places,35,0,6,1,0,94,0,5,0,0,0,14,0,0,96,0,3,0,73,35,16,0,0,0,0,0,0
2022-06-01,QA,safe_places,33,0,3,1,0,56,0,0,0,0,0,0,0,0,34,0,6,0,100,38,28,0,0,0,0,0,0
2022-07-01,QA,safe_places,32,0,6,1,0,100,0,0,0,0,0,0,0,0,100,0,7,0,72,23,37,0,0,0,0,0,0
2022-08-01,QA,safe_places,36,0,4,1,0,74,8,0,0,9,19,0,0,0,47,6,0,0,57,43,0,0,0,0,0,0,0
2022-09-01,QA,safe_places,37,0,3,1,0,52,3,0,0,6,8,0,0,0,51,3,9,0,47,44,46,0,0,0,0,0,0
2022-10-01,QA,safe_places,35,0,3,1,0,56,0,0,0,0,0,0,0,0,51,0,8,0,46,46,39,0,0,0,0,0,0
2022-11-01,QA,safe_places,26,0,4,0,0,71,0,0,0,0,0,0,0,0,11,0,0,11,37,30,0,0,0,0,0,0,0
2022-12-01,QA,safe_places,28,0,5,1,0,86,0,0,0,0,0,0,0,0,39,0,8,4,47,25,38,0,0,0,0,0,0
2023-01-01,QA,safe_places,38,0,3,1,0,58,0,0,0,0,0,7,0,0,54,0,5,0,59,41,25,0,0,0,0,0,0
2023-02-01,QA,safe_places,38,0,4,1,0,67,12,3,0,0,28,0,0,0,59,9,0,0,53,30,0,0,0,0,0,0,0
2023-03-01,QA,safe_places,40,0,4,2,0,65,0,0,0,0,0,9,0,0,80,0,0,0,48,43,0,0,0,0,0,0,0
2023-04-01,QA,safe_places,46,0,6,1,0,94,0,0,0,0,0,0,0,0,51,0,4,0,61,36,21,0,0,0,0,0,0
2023-05-01,QA,safe_places,34,0,3,1,0,56,0,0,0,0,0,0,0,0,89,0,0,7,94,42,0,0,0,0,0,0,0
