date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,قنصلية4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,SD,safe_places,51,0,2,1,0,59,8,0,0,0,0,8,0,0,0,0,7,13,55,85,38,0,0,0,0,0,0
2018-02-01,SD,safe_places,48,0,2,0,0,57,4,0,0,0,0,0,0,0,0,0,0,0,64,77,0,0,0,0,0,0,0
2018-03-01,SD,safe_places,51,0,3,1,0,85,3,8,0,4,13,0,0,0,19,10,16,0,51,74,0,0,0,0,0,0,0
2018-04-01,SD,safe_places,49,0,2,1,0,61,7,0,0,0,0,0,0,0,13,0,0,0,62,51,0,0,0,0,0,0,0
2018-05-01,SD,safe_places,76,0,2,0,0,45,0,7,0,5,17,0,0,0,0,13,29,11,66,45,32,0,0,0,0,0,0
2018-06-01,SD,safe_places,61,0,3,0,0,75,0,0,0,0,0,0,0,0,27,0,0,8,42,21,24,0,0,0,0,0,0
2018-07-01,SD,safe_places,44,0,2,1,0,50,0,0,0,8,26,20,0,0,22,21,23,0,63,71,0,0,0,0,0,0,0
2018-08-01,SD,safe_places,47,0,2,0,0,56,4,0,0,6,18,0,0,0,16,14,0,7,81,44,19,0,0,0,0,0,0
2018-09-01,SD,safe_places,47,0,3,0,0,68,0,0,0,4,12,16,0,0,10,9,8,0,75,100,0,0,0,0,0,0,0
2018-10-01,SD,safe_places,46,0,2,0,0,56,7,0,0,0,0,0,0,0,9,0,0,15,75,65,44,0,0,0,0,0,0
2018-11-01,SD,safe_places,47,0,2,1,0,49,0,0,0,0,0,0,0,0,0,0,9,10,65,78,30,0,0,0,0,0,0
2018-12-01,SD,safe_places,48,0,2,0,0,63,4,0,0,0,0,0,0,0,10,0,15,0,65,60,0,0,0,0,0,0,0
2019-01-01,SD,safe_places,44,0,2,0,0,52,0,0,0,0,0,0,0,0,0,0,10,16,95,68,46,0,0,0,0,0,0
2019-02-01,SD,safe_places,48,0,2,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,44,77,0,0,0,0,0,0,0
2019-03-01,SD,safe_places,50,0,2,1,0,53,3,0,0,5,17,0,0,0,22,13,7,6,65,63,18,0,0,0,0,0,0
2019-04-01,SD,safe_places,39,0,2,1,0,47,6,0,0,0,0,0,0,0,14,0,0,0,55,46,0,0,0,0,0,0,0
2019-05-01,SD,safe_places,80,0,2,0,0,57,7,3,0,0,0,0,0,0,11,0,8,12,55,57,36,0,0,0,0,0,0
2019-06-01,SD,safe_places,53,0,2,0,2,55,0,0,0,0,0,100,0,0,0,0,52,0,86,66,0,0,0,0,0,0,0
2019-07-01,SD,safe_places,40,0,2,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,79,44,0,0,0,0,0,0,0
