date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,وثائق,قنصلية,سفارة,حماية,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,يجب المغادرة
2018-01-01,SY,safe_places,66,0,5,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,SY,safe_places,67,0,4,1,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,SY,safe_places,69,0,3,1,0,0.12,0.0,0.0,0.18,0.0,0.0,0.0,0.36,0.0,0.0,1.26,3.5999999999999996,0.0,0.0,0.0,0.0,0.0
2018-04-01,SY,safe_places,61,0,5,1,0,0.0,0.14084507042253522,0.0,0.28169014084507044,0.14084507042253522,0.0,0.0,0.4225352112676056,0.0,0.18779342723004697,0.5633802816901409,2.723004694835681,0.0,0.0,0.0,0.0,0.0
2018-05-01,SY,safe_places,74,0,4,1,0,0.0,0.0,0.0,0.7017543859649122,0.0,0.0,0.0,0.17543859649122806,0.15594541910331383,0.0,0.4678362573099415,1.3255360623781676,0.0,0.0,0.0,0.0,0.0
2018-06-01,SY,safe_places,62,0,4,1,0,0.27586206896551724,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.6206896551724138,0.0,0.15517241379310345,0.6206896551724138,2.094827586206897,0.0,0.0,0.0,0.0,0.0
2018-07-01,SY,safe_places,56,0,3,1,0,0.0,0.1875,0.0,0.375,0.0,0.0,0.0,0.5625,0.22499999999999998,0.22499999999999998,0.6,1.7249999999999999,0.0,0.0,0.0,0.0,0.0
2018-08-01,SY,safe_places,56,0,4,1,0,0.0,0.0,0.0,0.21052631578947367,0.21052631578947367,0.0,0.0,0.8421052631578947,0.3508771929824561,0.0,0.7017543859649122,1.543859649122807,0.0,0.0,0.0,0.0,0.0
2018-09-01,SY,safe_places,59,0,3,2,0,0.13953488372093023,0.0,0.0,0.27906976744186046,0.0,0.0,0.0,0.27906976744186046,0.0,0.0,0.627906976744186,1.9534883720930232,0.0,0.0,0.0,0.0,0.0
2018-10-01,SY,safe_places,70,0,3,1,0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.54,0.06,0.36,0.42,5.34,0.0,0.0,0.0,0.0,0.0
2018-11-01,SY,safe_places,71,0,3,1,0,0.0,0.0,0.0,0.34615384615384615,0.0,0.0,0.0,0.5192307692307692,0.2076923076923077,0.13846153846153847,0.6230769230769231,3.6692307692307695,0.0,0.0,0.0,0.0,0.0
2018-12-01,SY,safe_places,66,0,4,1,0,0.0,0.0,0.0,1.0793650793650793,0.4625850340136054,0.0,0.0,0.4625850340136054,0.21587301587301588,0.21587301587301588,0.6476190476190476,2.806349206349206,0.0,0.0,0.0,0.0,0.0
2019-01-01,SY,safe_places,56,0,5,2,0,0.0,0.0,0.0,0.8974358974358974,0.14957264957264957,0.0,0.0,0.29914529914529914,0.22435897435897434,0.14957264957264957,0.4487179487179487,3.141025641025641,0.0,0.0,0.0,0.0,0.0
2019-02-01,SY,safe_places,59,0,4,2,0,0.0,0.0,0.0,0.48484848484848486,0.6464646464646465,0.0,0.0,0.8080808080808082,0.0,0.0,0.5541125541125541,3.324675324675325,0.0,0.0,0.0,0.0,0.0
2019-03-01,SY,safe_places,58,0,3,1,0,0.0,0.0,0.0,0.2884615384615385,0.14423076923076925,0.0,0.0,0.4326923076923077,0.0,0.0,0.8653846153846154,3.245192307692308,0.0,0.0,0.0,0.0,0.0
2019-04-01,SY,safe_places,54,0,4,1,0,0.0,0.4,0.0,0.0,3.0,0.0,0.0,3.0,9.0,0.0,11.0,40.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,SY,safe_places,76,0,4,1,0,0.0,0.0,0.0,0.3389830508474576,0.0,0.0,0.0,0.5084745762711864,0.0,0.0,0.5423728813559322,1.9661016949152543,0.0,0.0,0.0,0.0,0.0
2019-06-01,SY,safe_places,54,0,3,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,SY,safe_places,50,0,3,1,0,0.0,0.0,0.0,0.13043478260869565,0.13043478260869565,0.0,0.0,0.6521739130434783,0.0,0.0,0.32608695652173914,1.3695652173913042,0.0,0.0,0.0,0.0,0.0
2019-08-01,SY,safe_places,48,0,4,1,0,0.0,0.22641509433962265,0.0,0.0,2.0,0.0,0.0,4.0,0.0,9.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,SY,safe_places,61,0,4,1,0,0.0,0.2909090909090909,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,SY,safe_places,66,0,3,1,0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,SY,safe_places,66,0,4,1,0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,43.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,SY,safe_places,54,0,5,1,0,0.1948051948051948,0.12987012987012986,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,SY,safe_places,55,0,5,2,0,0.0,0.0,0.0,0.4487179487179487,0.0,0.0,0.0,0.7478632478632479,0.0,0.14957264957264957,1.047008547008547,4.113247863247863,0.0,0.0,0.0,0.0,0.0
2020-02-01,SY,safe_places,57,0,4,2,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.0,0.5,4.142857142857142,0.0,0.0,0.0,0.0,0.0
2020-03-01,SY,safe_places,66,0,4,1,0,0.0,0.0,0.0,0.2033898305084746,0.0,0.0,0.0,0.8135593220338984,0.4067796610169492,0.0,0.7118644067796611,2.6440677966101696,0.0,0.0,0.0,0.0,0.0
2020-04-01,SY,safe_places,100,0,4,1,0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.3333333333333333,2.25,0.0,0.0,0.0,0.0,0.0
2020-05-01,SY,safe_places,87,0,5,2,0,0.12195121951219512,0.4268292682926829,0.0,0.18292682926829268,0.0,0.0,0.0,0.5487804878048781,0.18292682926829268,0.18292682926829268,0.7317073170731707,3.018292682926829,0.0,0.0,0.0,0.0,0.0
