date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,ملجأ4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,SY,safe_places,66,0,5,1,0,69,0,0,0,0,0,1,0,0,3,0,4,0,12,21,0,0,0,0,0,0,0
2018-02-01,SY,safe_places,67,0,4,1,0,67,0,0,0,0,0,2,0,0,1,0,3,0,2,46,0,0,0,0,0,0,0
2018-03-01,SY,safe_places,69,0,3,1,0,50,2,0,0,3,1,0,0,0,2,2,0,0,14,40,16,0,0,0,0,0,0
2018-04-01,SY,safe_places,61,0,5,1,0,71,0,2,0,4,2,1,0,0,3,3,0,2,6,29,23,0,0,0,0,0,0
2018-05-01,SY,safe_places,74,0,4,1,0,57,0,0,0,10,4,0,0,0,1,9,2,0,6,17,59,0,0,0,0,0,0
2018-06-01,SY,safe_places,62,0,4,1,0,58,4,0,0,9,4,0,0,0,4,8,0,2,8,27,51,0,0,0,0,0,0
2018-07-01,SY,safe_places,56,0,3,1,0,48,0,3,0,6,2,0,0,0,3,5,3,3,8,23,32,0,0,0,0,0,0
2018-08-01,SY,safe_places,56,0,4,1,0,57,0,0,0,3,1,1,0,0,4,3,5,0,10,22,20,0,0,0,0,0,0
2018-09-01,SY,safe_places,59,0,3,2,0,43,2,0,0,4,2,0,0,0,2,4,0,0,9,28,25,0,0,0,0,0,0
2018-10-01,SY,safe_places,70,0,3,1,0,50,0,0,0,3,1,0,0,0,3,3,1,6,7,89,17,0,0,0,0,0,0
2018-11-01,SY,safe_places,71,0,3,1,0,52,0,0,0,6,2,0,0,0,3,5,3,2,9,53,34,0,0,0,0,0,0
2018-12-01,SY,safe_places,66,0,4,1,0,63,0,0,0,17,7,3,0,0,3,15,3,3,9,39,100,0,0,0,0,0,0
2019-01-01,SY,safe_places,56,0,5,2,0,78,0,0,0,14,6,1,0,0,2,12,3,2,6,42,79,0,0,0,0,0,0
2019-02-01,SY,safe_places,59,0,4,2,0,66,0,0,0,8,3,4,0,0,5,7,0,0,8,48,48,0,0,0,0,0,0
2019-03-01,SY,safe_places,58,0,3,1,0,52,0,0,0,5,2,1,0,0,3,4,0,0,12,45,27,0,0,0,0,0,0
2019-04-01,SY,safe_places,54,0,4,1,0,60,0,6,0,0,0,3,0,0,3,0,9,0,11,40,0,0,0,0,0,0,0
2019-05-01,SY,safe_places,76,0,4,1,0,59,0,0,0,5,2,0,0,0,3,5,0,0,8,29,30,0,0,0,0,0,0
2019-06-01,SY,safe_places,54,0,3,1,0,53,0,0,0,0,0,1,0,0,3,0,2,2,9,26,0,0,0,0,0,0,0
2019-07-01,SY,safe_places,50,0,3,1,0,46,0,0,0,2,1,1,0,0,5,2,0,0,5,21,12,0,0,0,0,0,0
2019-08-01,SY,safe_places,48,0,4,1,0,53,0,3,0,0,0,2,0,0,4,0,0,9,6,33,0,0,0,0,0,0,0
2019-09-01,SY,safe_places,61,0,4,1,0,55,0,4,0,0,0,1,0,0,5,0,0,2,14,47,0,0,0,0,0,0,0
2019-10-01,SY,safe_places,66,0,3,1,0,50,3,0,0,0,0,0,0,0,2,0,0,0,8,100,0,0,0,0,0,0,0
2019-11-01,SY,safe_places,66,0,4,1,0,54,4,0,0,0,0,0,0,0,3,0,0,0,10,43,0,0,0,0,0,0,0
2019-12-01,SY,safe_places,54,0,5,1,0,77,3,2,0,0,0,0,0,0,4,0,0,4,8,35,0,0,0,0,0,0,0
2020-01-01,SY,safe_places,55,0,5,2,0,78,0,0,0,7,3,0,0,0,5,6,0,2,14,55,38,0,0,0,0,0,0
2020-02-01,SY,safe_places,57,0,4,2,0,56,0,0,0,2,1,0,0,0,3,2,3,0,7,58,13,0,0,0,0,0,0
2020-03-01,SY,safe_places,66,0,4,1,0,59,0,0,0,3,1,0,0,0,4,2,4,0,7,26,16,0,0,0,0,0,0
2020-04-01,SY,safe_places,100,0,4,1,0,64,0,0,0,4,2,0,0,0,2,3,0,0,4,27,22,0,0,0,0,0,0
2020-05-01,SY,safe_places,87,0,5,2,0,82,2,7,0,3,1,0,0,0,3,2,2,2,8,33,16,0,0,0,0,0,0
2020-06-01,SY,safe_places,61,0,5,1,0,80,0,0,0,5,2,0,0,0,3,5,2,0,2,31,31,0,0,0,0,0,0
2020-07-01,SY,safe_places,65,0,3,2,0,53,0,2,0,2,1,1,0,0,5,2,0,0,7,34,11,0,0,0,0,0,0
2020-08-01,SY,safe_places,59,0,3,1,0,44,0,3,0,10,4,1,0,0,4,9,0,1,15,24,59,0,0,0,0,0,0
2020-09-01,SY,safe_places,59,0,3,1,0,51,2,0,0,0,0,1,0,0,6,0,5,2,14,27,0,0,0,0,0,0,0
2020-10-01,SY,safe_places,65,0,3,1,0,53,0,2,0,0,0,0,0,0,4,0,3,0,18,50,0,0,0,0,0,0,0
2020-11-01,SY,safe_places,65,0,4,1,0,57,0,0,0,0,0,0,0,0,5,0,0,3,6,65,0,0,0,0,0,0,0
2020-12-01,SY,safe_places,65,0,4,1,0,57,3,0,0,2,1,0,0,0,3,2,4,0,8,32,11,0,0,0,0,0,0
2021-01-01,SY,safe_places,57,0,6,2,0,84,0,4,0,0,0,0,0,0,3,0,0,2,16,35,0,0,0,0,0,0,0
2021-02-01,SY,safe_places,63,0,5,2,0,82,2,0,0,9,4,0,0,0,4,8,0,0,12,54,51,0,0,0,0,0,0
2021-03-01,SY,safe_places,55,0,6,1,0,96,2,0,0,3,1,1,0,0,2,2,0,0,11,52,16,0,0,0,0,0,0
2021-04-01,SY,safe_places,63,0,5,1,0,73,0,1,0,6,2,0,0,0,3,5,0,0,10,37,33,0,0,0,0,0,0
2021-05-01,SY,safe_places,52,0,5,1,0,78,0,2,0,2,1,0,0,0,3,2,2,2,12,25,12,0,0,0,0,0,0
2021-06-01,SY,safe_places,49,0,4,1,0,64,0,0,0,3,1,1,0,0,5,2,2,0,15,30,16,0,0,0,0,0,0
2021-07-01,SY,safe_places,45,0,5,1,0,70,0,0,0,4,2,1,0,0,6,4,0,0,14,27,24,0,0,0,0,0,0
2021-08-01,SY,safe_places,47,0,5,1,0,69,2,1,0,9,3,2,0,0,10,8,7,0,21,29,50,0,0,0,0,0,0
