date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,رخصة الشغل1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,رخصة الشغل2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,رخصة الشغل3,وثائق,قنصلية,سفارة,حماية,رخصة الشغل4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,رخصة الشغل5,يجب المغادرة
2018-01-01,TD,safe_places,43,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,TD,safe_places,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,43,82,0,0,0,0,0,0,0
2018-03-01,TD,safe_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
2018-04-01,TD,safe_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
2018-05-01,TD,safe_places,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
2018-06-01,TD,safe_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,TD,safe_places,52,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,72,0,0,0,0,0,0,0
2018-08-01,TD,safe_places,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
2018-09-01,TD,safe_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
2018-10-01,TD,safe_places,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2018-11-01,TD,safe_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,TD,safe_places,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
2019-01-01,TD,safe_places,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,TD,safe_places,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,TD,safe_places,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
2019-04-01,TD,safe_places,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
2019-05-01,TD,safe_places,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,TD,safe_places,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,TD,safe_places,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,TD,safe_places,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
