date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,وثائق,قنصلية,سفارة,حماية,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,يجب المغادرة
2018-01-01,YE,safe_places,74,0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,YE,safe_places,75,0,3,0,0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,YE,safe_places,73,0,4,0,1,0.5,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.7500000000000001,0.3315789473684211,0.0,0.368421052631579,1.9157894736842107,0.0,0.0,0.0,0.0,0.0
2018-04-01,YE,safe_places,68,0,3,1,1,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,15.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,YE,safe_places,94,0,5,1,0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,11.0,0.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,YE,safe_places,66,0,3,2,1,0.0,0.6206896551724138,0.0,0.3103448275862069,0.0,0.0,0.0,0.3103448275862069,0.0,0.6982758620689655,0.34913793103448276,1.8620689655172415,0.0,0.0,0.0,0.0,0.0
2018-07-01,YE,safe_places,66,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,50.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,YE,safe_places,65,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,17.0,36.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,YE,safe_places,64,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,YE,safe_places,60,0,4,1,0,0.0,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.6231578947368421,0.49760765550239233,0.0,0.5741626794258373,2.449760765550239,0.0,0.0,0.0,0.0,0.0
