date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,وثائق4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2018-01-01,YE,safe_places,74,0,3,1,1,26,0,0,0,0,0,0,0,0,0,0,7,10,0,47,21,0,0,0,0,0,0
2018-02-01,YE,safe_places,75,0,3,0,0,25,0,0,0,0,0,26,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0
2018-03-01,YE,safe_places,73,0,4,0,1,40,5,0,0,7,42,0,0,0,45,19,9,0,10,52,26,0,0,0,0,0,0
2018-04-01,YE,safe_places,68,0,3,1,1,31,0,0,0,0,0,38,0,0,0,0,15,0,0,68,44,0,0,0,0,0,0
2018-05-01,YE,safe_places,94,0,5,1,0,52,0,0,0,0,0,27,0,0,0,0,11,0,8,32,33,0,0,0,0,0,0
2018-06-01,YE,safe_places,66,0,3,2,1,29,0,6,0,3,17,0,0,0,17,8,0,18,9,48,0,0,0,0,0,0,0
2018-07-01,YE,safe_places,66,0,3,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,19,50,0,0,0,0,0,0,0
2018-08-01,YE,safe_places,65,0,4,1,0,44,0,0,0,0,0,0,0,0,37,0,0,0,17,36,0,0,0,0,0,0,0
2018-09-01,YE,safe_places,64,0,4,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
2018-10-01,YE,safe_places,60,0,4,1,0,38,0,0,0,4,25,0,0,0,37,11,13,0,15,64,39,0,0,0,0,0,0
2018-11-01,YE,safe_places,68,0,4,0,1,42,0,0,0,3,17,0,0,0,0,7,0,0,0,54,0,0,0,0,0,0,0
2018-12-01,YE,safe_places,71,0,3,0,0,28,0,0,0,7,46,0,0,0,0,20,0,0,12,76,0,0,0,0,0,0,0
2019-01-01,YE,safe_places,72,0,3,2,0,34,0,0,0,6,41,0,0,0,0,18,9,0,0,74,27,0,0,0,0,0,0
2019-02-01,YE,safe_places,67,0,4,1,0,37,0,0,0,6,42,0,0,0,58,19,13,0,9,89,38,0,0,0,0,0,0
2019-03-01,YE,safe_places,65,0,3,1,0,28,0,0,0,0,0,0,0,0,0,0,10,0,20,67,28,0,0,0,0,0,0
2019-04-01,YE,safe_places,68,0,3,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
2019-05-01,YE,safe_places,99,0,5,1,1,54,0,4,0,5,31,0,0,0,21,13,34,0,0,67,100,0,0,0,0,0,0
2019-06-01,YE,safe_places,53,0,4,1,0,41,0,0,0,0,0,0,0,0,35,0,0,0,10,23,0,0,0,0,0,0,0
2019-07-01,YE,safe_places,52,0,5,1,0,45,0,0,0,3,22,0,0,0,0,10,21,29,28,37,62,0,0,0,0,0,0
2019-08-01,YE,safe_places,54,0,2,1,1,24,3,0,0,0,0,0,0,0,16,0,0,26,10,54,0,0,0,0,0,0,0
2019-09-01,YE,safe_places,53,0,3,1,0,27,0,7,0,0,0,0,0,0,61,0,0,20,25,60,0,0,0,0,0,0,0
2019-10-01,YE,safe_places,65,0,4,1,0,40,0,0,0,0,0,0,0,0,100,0,9,0,0,47,27,0,0,0,0,0,0
2019-11-01,YE,safe_places,65,0,3,1,1,33,0,0,0,0,0,0,0,0,52,0,0,0,25,91,0,0,0,0,0,0,0
2019-12-01,YE,safe_places,67,0,4,1,0,44,0,3,0,5,33,0,0,0,0,15,0,0,17,67,0,0,0,0,0,0,0
2020-01-01,YE,safe_places,60,0,4,0,0,39,3,0,0,4,26,0,0,0,25,12,8,9,0,57,24,0,0,0,0,0,0
2020-02-01,YE,safe_places,62,0,5,1,0,49,0,0,0,0,0,0,0,0,22,0,10,0,0,83,30,0,0,0,0,0,0
2020-03-01,YE,safe_places,65,0,4,1,0,41,0,0,0,0,0,0,0,0,0,0,13,0,19,78,39,0,0,0,0,0,0
2020-04-01,YE,safe_places,79,0,4,1,0,38,0,0,0,11,69,0,0,0,21,31,0,0,0,46,0,0,0,0,0,0,0
2020-05-01,YE,safe_places,79,0,5,1,1,52,0,0,0,0,0,18,0,0,0,0,11,10,0,44,33,0,0,0,0,0,0
2020-06-01,YE,safe_places,69,0,4,1,0,44,0,0,0,0,0,0,0,0,30,0,9,0,12,55,25,0,0,0,0,0,0
2020-07-01,YE,safe_places,67,0,3,1,0,31,0,0,0,0,0,0,0,0,0,0,10,0,0,33,28,0,0,0,0,0,0
2020-08-01,YE,safe_places,56,0,3,0,0,34,0,0,0,5,34,0,0,0,0,15,20,0,0,37,59,0,0,0,0,0,0
2020-09-01,YE,safe_places,62,0,4,1,0,39,0,0,0,6,39,0,0,0,0,17,0,0,15,39,0,0,0,0,0,0,0
2020-10-01,YE,safe_places,66,0,5,0,0,48,0,2,0,0,0,24,0,0,16,0,15,22,0,56,45,0,0,0,0,0,0
2020-11-01,YE,safe_places,63,0,4,2,1,44,2,0,0,0,0,17,0,0,63,0,13,18,11,56,37,0,0,0,0,0,0
2020-12-01,YE,safe_places,64,0,4,1,1,37,0,0,0,0,0,33,0,0,55,0,17,0,8,52,49,0,0,0,0,0,0
2021-01-01,YE,safe_places,68,0,5,1,1,51,0,2,0,0,0,0,0,0,72,0,0,0,12,49,0,0,0,0,0,0,0
2021-02-01,YE,safe_places,68,0,6,1,1,59,4,0,0,0,0,0,0,0,55,0,10,18,16,42,29,0,0,0,0,0,0
2021-03-01,YE,safe_places,59,0,6,1,0,57,0,0,0,0,0,0,0,0,21,0,6,0,11,36,18,0,0,0,0,0,0
2021-04-01,YE,safe_places,84,0,8,1,0,82,4,0,0,0,0,0,0,0,0,0,25,0,10,55,74,0,0,0,0,0,0
2021-05-01,YE,safe_places,56,0,6,0,0,63,0,5,0,0,0,0,0,0,70,0,0,0,11,34,0,0,0,0,0,0,0
2021-06-01,YE,safe_places,57,0,4,1,1,39,6,0,0,0,0,0,0,0,0,0,12,0,28,59,36,0,0,0,0,0,0
2021-07-01,YE,safe_places,49,0,3,1,0,34,0,7,0,0,0,0,0,0,0,0,7,0,18,66,22,0,0,0,0,0,0
2021-08-01,YE,safe_places,53,0,6,1,0,58,0,6,0,0,0,0,0,0,38,0,6,0,8,56,17,0,0,0,0,0,0
2021-09-01,YE,safe_places,57,0,6,1,0,62,0,4,0,7,47,0,0,0,37,21,9,0,7,36,27,0,0,0,0,0,0
2021-10-01,YE,safe_places,54,0,7,1,0,65,2,0,0,8,54,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0
2021-11-01,YE,safe_places,57,0,5,1,0,50,0,0,0,0,0,15,0,0,0,0,28,0,9,40,82,0,0,0,0,0,0
2021-12-01,YE,safe_places,60,0,5,1,0,45,0,2,0,4,27,0,0,0,20,12,10,11,0,34,29,0,0,0,0,0,0
2022-01-01,YE,safe_places,65,0,7,1,1,66,0,0,0,3,22,0,0,0,0,10,0,0,0,34,0,0,0,0,0,0,0
2022-02-01,YE,safe_places,62,0,8,1,0,79,0,5,0,3,20,0,0,0,79,9,14,0,16,59,40,0,0,0,0,0,0
2022-03-01,YE,safe_places,72,0,8,2,0,75,0,3,0,0,0,0,0,0,57,0,28,5,13,62,82,0,0,0,0,0,0
2022-04-01,YE,safe_places,100,0,10,2,0,100,0,0,0,2,14,0,0,0,30,6,23,15,9,66,68,0,0,0,0,0,0
2022-05-01,YE,safe_places,64,0,9,2,0,91,3,0,0,0,0,0,0,0,41,0,20,0,17,54,60,0,0,0,0,0,0
2022-06-01,YE,safe_places,72,0,8,2,0,79,3,0,0,0,0,0,0,0,55,0,20,0,9,66,57,0,0,0,0,0,0
2022-07-01,YE,safe_places,68,0,7,2,0,71,0,0,0,0,0,0,0,0,46,0,12,0,0,41,36,0,0,0,0,0,0
2022-08-01,YE,safe_places,68,0,8,3,0,77,2,0,0,0,0,18,0,0,19,0,23,5,16,73,68,0,0,0,0,0,0
2022-09-01,YE,safe_places,72,0,7,2,0,69,0,0,0,0,0,0,0,0,43,0,8,7,30,62,22,0,0,0,0,0,0
2022-10-01,YE,safe_places,69,0,6,2,0,62,0,0,0,0,0,21,0,0,51,0,22,7,12,100,65,0,0,0,0,0,0
2022-11-01,YE,safe_places,72,0,6,1,1,60,2,0,0,0,0,23,0,0,36,0,21,12,14,67,62,0,0,0,0,0,0
2022-12-01,YE,safe_places,66,0,6,1,0,58,0,0,0,0,0,0,0,0,53,0,15,0,11,72,44,0,0,0,0,0,0
2023-01-01,YE,safe_places,72,0,7,2,0,65,0,8,0,5,33,0,0,0,61,15,9,0,15,61,27,0,0,0,0,0,0
2023-02-01,YE,safe_places,75,0,8,2,1,85,0,5,0,3,17,0,0,0,24,7,19,0,0,74,57,0,0,0,0,0,0
2023-03-01,YE,safe_places,85,0,8,2,0,80,0,2,0,3,19,0,0,0,67,9,16,0,7,53,47,0,0,0,0,0,0
2023-04-01,YE,safe_places,76,0,10,2,0,98,3,5,0,5,30,0,0,0,71,13,6,10,14,50,19,0,0,0,0,0,0
2023-05-01,YE,safe_places,74,0,7,1,0,71,0,3,0,3,21,0,0,0,25,9,10,0,13,62,29,0,0,0,0,0,0
