date,ISO,topic,عمل,شغل,رخصة الشغل,رخصة العمل,عملة,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,وثائق,قنصلية
2018-01-01,IL,safe_places,98,3,0,0,5,0.8888888888888888,0.2222222222222222,0.0,0.0,0.0,0.0,19.0,0.0,0.0,45.0,14.0,0.0
2018-02-01,IL,safe_places,93,3,0,0,3,1.3448275862068966,0.20689655172413793,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,IL,safe_places,83,2,0,0,3,0.3913043478260869,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,49.0,19.0
2018-04-01,IL,safe_places,69,2,0,0,3,0.0,0.5172413793103449,0.0,0.0,0.0,29.0,0.0,0.0,0.0,53.0,0.0,21.0
2018-05-01,IL,safe_places,87,2,0,0,3,1.0,0.0,0.0,0.3333333333333333,0.0,0.7407407407407407,0.5185185185185185,0.0,0.0,40.0,18.0,0.0
2018-06-01,IL,safe_places,65,2,0,0,3,1.5,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,90.0,0.0,35.0
2018-07-01,IL,safe_places,58,3,0,0,3,0.6521739130434783,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,31.0,17.0,33.0
2018-08-01,IL,safe_places,58,2,0,0,3,0.5357142857142857,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,51.0,0.0,0.0
2018-09-01,IL,safe_places,74,2,0,0,3,1.2,0.48,0.0,0.0,0.0,37.0,0.0,0.0,0.0,58.0,24.0,0.0
2018-10-01,IL,safe_places,71,3,0,0,2,1.0476190476190474,0.19047619047619047,0.0,0.0,0.0,26.0,0.0,0.0,0.0,39.0,0.0,23.0
2018-11-01,IL,safe_places,85,2,0,0,3,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,15.0,0.0,0.0
2018-12-01,IL,safe_places,80,2,0,0,2,1.3684210526315788,0.0,0.0,0.10526315789473684,0.0,1.0526315789473684,0.09473684210526316,0.0,0.0,75.0,0.0,16.0
2019-01-01,IL,safe_places,68,2,0,0,3,0.8888888888888888,0.4444444444444444,0.0,0.3333333333333333,0.0,0.8412698412698412,0.4603174603174603,0.0,0.0,38.0,0.0,0.0
2019-02-01,IL,safe_places,76,3,0,0,3,1.0434782608695652,0.13043478260869565,0.0,0.0,0.0,65.0,0.0,0.0,0.0,14.0,0.0,0.0
2019-03-01,IL,safe_places,71,2,0,0,3,1.3199999999999998,0.36,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,16.0,29.0
2019-04-01,IL,safe_places,62,2,0,0,2,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,33.0,0.0,17.0
2019-05-01,IL,safe_places,76,2,0,0,3,1.56,0.24,0.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,15.0,15.0
2019-06-01,IL,safe_places,54,3,0,0,3,1.08,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,56.0,0.0,0.0
2019-07-01,IL,safe_places,53,2,0,0,4,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,IL,safe_places,49,2,0,0,4,0.6666666666666666,0.13333333333333333,0.0,0.26666666666666666,0.0,0.49230769230769234,0.22564102564102564,0.0,0.0,25.0,18.0,0.0
2019-09-01,IL,safe_places,60,3,0,0,4,0.8,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
2019-10-01,IL,safe_places,63,2,0,0,3,1.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
2019-11-01,IL,safe_places,60,2,0,0,3,0.9230769230769231,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,37.0,36.0,0.0
2019-12-01,IL,safe_places,66,1,0,0,3,0.7241379310344828,0.0,0.0,0.10344827586206896,0.0,0.09051724137931035,0.1939655172413793,0.0,0.0,0.0,29.0,0.0
2020-01-01,IL,safe_places,59,2,0,0,2,0.8,0.0,0.0,0.1,0.0,0.0,0.13,0.0,0.0,52.0,0.0,0.0
