date,عمل,شغل,رخصة الشغل,رخصة العمل,عملة,عملة1,مساعدة,الصليب الاحمر,إعفاء,إنقاذ
2018-01-01,69,5,0,0,4,62,15,0,0,5
2018-02-01,69,5,0,0,4,65,13,8,0,0
2018-03-01,71,3,0,0,3,50,16,4,0,0
2018-04-01,62,3,0,0,4,62,11,5,0,0
2018-05-01,76,2,0,0,4,54,7,4,0,0
2018-06-01,64,2,0,0,4,58,15,3,0,0
2018-07-01,59,3,0,0,3,48,14,3,0,0
2018-08-01,56,2,0,0,3,49,21,3,0,0
2018-09-01,62,3,0,0,3,41,21,3,0,0
2018-10-01,71,3,0,0,3,47,18,3,0,0
2018-11-01,72,5,0,0,4,51,14,0,0,2
2018-12-01,67,5,0,0,4,57,19,2,3,0
2019-01-01,57,5,0,0,5,70,22,7,3,0
2019-02-01,61,3,0,0,4,62,22,5,4,2
2019-03-01,59,3,0,0,4,52,17,0,0,3
2019-04-01,56,3,0,0,4,57,7,6,0,0
2019-05-01,77,2,0,0,4,57,12,5,0,2
2019-06-01,55,2,0,0,4,58,14,4,4,0
2019-07-01,51,3,0,0,3,43,16,4,4,0
2019-08-01,49,3,0,0,3,49,16,2,0,0
2019-09-01,62,3,0,0,4,52,22,2,0,4
2019-10-01,69,4,0,0,4,59,18,3,0,0
2019-11-01,68,4,0,0,3,50,16,4,0,5
2019-12-01,55,4,0,0,5,74,12,0,0,7
2020-01-01,57,4,0,0,5,78,35,5,0,0
2020-02-01,59,3,0,0,3,51,22,3,0,3
2020-03-01,67,3,0,0,4,60,15,0,1,1
2020-04-01,100,3,0,0,4,58,15,0,0,2
2020-05-01,83,2,0,0,5,75,24,5,2,0
2020-06-01,62,3,0,0,5,75,17,0,2,3
2020-07-01,66,2,0,0,4,55,19,0,0,0
2020-08-01,60,2,0,0,3,41,12,5,0,2
2020-09-01,62,2,0,0,3,43,18,0,0,0
2020-10-01,67,3,0,0,4,51,19,4,0,3
2020-11-01,65,3,0,0,4,58,14,0,0,0
2020-12-01,66,3,0,0,4,55,22,2,1,3
2021-01-01,59,4,0,0,6,80,20,4,0,0
2021-02-01,64,4,0,0,6,81,26,3,2,0
2021-03-01,57,3,0,0,6,91,18,2,0,2
2021-04-01,71,3,0,0,5,73,15,0,2,2
2021-05-01,53,2,0,0,5,77,16,0,0,2
2021-06-01,50,2,0,0,4,65,19,7,2,0
2021-07-01,46,2,0,0,5,66,17,2,0,0
2021-08-01,49,2,0,0,4,64,15,5,0,2
2021-09-01,49,3,0,0,4,65,21,1,0,4
2021-10-01,56,3,0,0,4,60,22,0,0,0
2021-11-01,52,3,0,0,5,70,13,0,0,0
2021-12-01,54,4,0,0,4,61,16,3,2,0
2022-01-01,51,3,0,0,6,84,14,0,0,2
2022-02-01,52,3,0,0,6,87,26,0,0,3
2022-03-01,51,3,0,0,6,88,25,3,0,0
2022-04-01,66,2,0,0,6,90,25,2,2,0
2022-05-01,45,3,0,0,7,100,22,0,0,2
2022-06-01,48,3,0,0,6,92,22,2,2,2
2022-07-01,41,3,0,0,6,81,20,2,2,3
2022-08-01,46,3,0,0,6,88,16,2,0,3
2022-09-01,49,3,0,0,7,96,15,0,0,2
2022-10-01,59,3,0,0,6,80,27,1,0,0
2022-11-01,48,3,0,0,6,85,19,4,1,2
2022-12-01,51,3,0,0,6,82,16,3,0,0
2023-01-01,46,3,0,0,6,87,23,0,0,3
2023-02-01,42,3,0,0,6,82,27,6,4,3
2023-03-01,51,2,0,0,6,83,27,3,2,0
2023-04-01,55,2,0,0,6,92,16,2,0,3
2023-05-01,46,3,0,0,6,87,17,1,0,0
