date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا
2018-01-01,DZ,travel,11,0,0,50,0,22.0,192.5,115.5,0.0,117.33333333333333,135.66666666666666,0.0,0.0,115.5,0.0,126.5,0.0,836.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,DZ,travel,16,0,0,52,0,10.666666666666666,154.66666666666666,133.33333333333331,0.0,112.0,172.0,0.0,0.0,200.0,0.0,264.0,0.0,544.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,DZ,travel,12,0,0,54,0,18.0,246.0,186.0,0.0,164.0,188.0,0.0,0.0,168.0,0.0,174.0,0.0,420.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,DZ,travel,51,0,0,42,0,11.333333333333334,238.0,198.33333333333334,0.0,141.23076923076923,211.84615384615384,0.0,0.0,145.71428571428572,0.0,247.71428571428572,0.0,524.5714285714286,225.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,DZ,travel,0,0,0,52,0,4.0,42.0,23.0,0.0,36.0,54.0,0.0,0.0,21.0,0.0,26.0,0.0,67.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,DZ,travel,0,0,0,67,0,0.0,25.0,29.0,0.0,35.0,50.0,0.0,0.0,24.0,0.0,14.0,0.0,47.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,DZ,travel,0,0,0,32,0,3.0,36.0,28.0,0.0,35.0,64.0,0.0,0.0,34.0,0.0,14.0,0.0,39.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,DZ,travel,0,0,0,48,0,2.0,40.0,38.0,0.0,45.0,65.0,0.0,0.0,33.0,0.0,13.0,0.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,DZ,travel,0,0,0,51,0,4.0,39.0,37.0,0.0,43.0,47.0,0.0,0.0,38.0,0.0,17.0,0.0,51.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,DZ,travel,6,0,0,43,0,30.0,204.0,168.0,0.0,162.0,216.0,0.0,0.0,174.0,0.0,156.0,0.0,450.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
