date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,مأوى1,قافلة,محطة,حافلة,أمتعة السفر,مأوى2,الفندق,نزل,شقة مستأجرة,حركة السير,مأوى3,تذكرة,فندق صغير,القيادة,أجرة الطيران,مأوى4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,مأوى5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا
2018-01-01,DZ,travel,11,0,0,50,0,2,4,35,21,0,3,32,37,0,0,2,21,0,23,0,1,76,35,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,DZ,travel,16,0,0,52,0,3,2,29,25,0,4,28,43,0,0,2,25,0,33,0,2,68,25,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,DZ,travel,12,0,0,54,0,2,3,41,31,0,3,41,47,0,0,2,28,0,29,0,2,70,35,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,DZ,travel,51,0,0,42,0,9,2,42,35,0,13,36,54,0,0,7,20,0,34,0,7,72,31,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,DZ,travel,0,0,0,52,0,0,4,42,23,0,0,36,54,0,0,0,21,0,26,0,0,67,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,DZ,travel,0,0,0,67,0,0,0,25,29,0,0,35,50,0,0,0,24,0,14,0,0,47,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,DZ,travel,0,0,0,32,0,0,3,36,28,0,0,35,64,0,0,0,34,0,14,0,0,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,DZ,travel,0,0,0,48,0,0,2,40,38,0,0,45,65,0,0,0,33,0,13,0,0,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,DZ,travel,0,0,0,51,0,0,4,39,37,0,0,43,47,0,0,0,38,0,17,0,0,51,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,DZ,travel,6,0,0,43,0,1,5,34,28,0,1,27,36,0,0,1,29,0,26,0,1,75,37,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
