date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قطار سريع1,قافلة,محطة,حافلة,أمتعة السفر,قطار سريع2,الفندق,نزل,شقة مستأجرة,حركة السير,قطار سريع3,تذكرة,فندق صغير,القيادة,أجرة الطيران,قطار سريع4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد,امشي الى الكاميرون,امشي الى جمهورية أفريقيا الوسطى,امشي الى الأردن11,امشي الى إثيوبيا,امشي الى جيبوتي
2018-01-01,EG,travel,23,0,0,91,0,0,0,24,1,0,0,40,36,0,0,0,27,0,16,0,0,66,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,EG,travel,12,0,0,59,7,0,1,26,0,0,1,33,41,0,0,0,25,0,19,0,1,71,5,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,EG,travel,16,0,0,100,18,0,0,25,1,0,1,37,37,0,0,0,20,0,18,0,2,80,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,EG,travel,0,0,0,68,8,0,0,22,1,0,1,36,43,0,0,1,21,0,15,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,EG,travel,0,0,0,60,0,0,1,23,0,0,0,27,48,0,0,0,39,0,16,0,0,61,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,EG,travel,6,0,0,51,0,0,0,26,1,0,0,41,41,0,0,0,41,0,18,0,0,55,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,EG,travel,17,0,0,67,12,0,0,34,1,0,1,40,39,0,0,0,40,0,24,0,1,58,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,EG,travel,0,0,0,67,10,0,0,28,1,0,1,39,38,0,0,0,39,0,17,0,1,57,5,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,EG,travel,13,0,0,54,0,0,0,27,1,0,0,38,39,0,0,0,32,0,20,0,0,62,4,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,EG,travel,18,0,0,48,0,0,1,25,1,0,0,37,36,0,0,0,27,0,20,0,0,69,4,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
