date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر
2018-01-01,IL,travel,0,0,0,52,0,7.0,13.0,0.0,0.0,11.0,33.0,0.0,0.0,3.96,0.0,26.4,0.0,112.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,IL,travel,0,0,0,20,0,0.0,68.0,16.0,0.0,44.0,54.0,0.0,0.0,19.36,0.0,46.64,0.0,192.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,IL,travel,0,0,0,24,0,0.0,51.0,0.0,0.0,30.0,30.0,0.0,0.0,6.956521739130435,0.0,36.08695652173913,0.0,84.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,IL,travel,36,0,0,36,0,0.0,42.0,0.0,0.0,21.0,22.0,0.0,0.0,7.4375,0.0,18.8125,0.0,102.9,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,IL,travel,38,0,0,33,0,0.0,51.0,0.0,0.0,0.0,35.0,0.0,0.0,19.0,0.0,27.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,IL,travel,0,0,0,28,0,12.0,92.0,0.0,0.0,17.0,29.0,0.0,0.0,0.0,0.0,17.0,0.0,74.375,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,IL,travel,0,0,0,0,0,0.0,54.0,0.0,0.0,8.0,31.0,0.0,0.0,16.0,0.0,22.22222222222222,0.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,IL,travel,0,0,0,35,0,0.0,39.0,0.0,0.0,16.0,28.0,0.0,0.0,9.513513513513514,0.0,16.0,0.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,IL,travel,0,0,0,55,0,0.0,61.0,22.0,0.0,34.0,88.0,0.0,0.0,35.743589743589745,0.0,28.76923076923077,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,IL,travel,0,0,0,47,0,0.0,72.0,0.0,0.0,19.0,40.0,0.0,0.0,9.5,0.0,21.59090909090909,0.0,133.0,8.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,IL,travel,0,0,0,100,0,0.0,69.0,19.0,0.0,46.44444444444444,97.11111111111111,0.0,0.0,13.004444444444445,0.0,54.80444444444444,0.0,346.22222222222223,8.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,IL,travel,72,0,0,0,0,0.0,58.0,0.0,0.0,25.0,39.0,0.0,0.0,10.526315789473683,0.0,36.40350877192982,0.0,120.83333333333334,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,IL,travel,38,0,0,30,0,0.0,75.0,0.0,0.0,15.0,23.0,0.0,0.0,8.142857142857142,0.0,17.142857142857142,0.0,91.875,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,IL,travel,0,0,0,0,0,0.0,90.0,0.0,0.0,17.0,41.0,0.0,0.0,10.736842105263158,0.0,24.605263157894736,0.0,131.75,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,IL,travel,0,0,0,39,0,8.0,60.0,11.0,0.0,0.0,59.400000000000006,0.0,0.0,20.0,0.0,49.0,0.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,IL,travel,0,0,0,0,0,14.0,67.0,14.0,0.0,30.0,50.0,0.0,0.0,12.0,0.0,48.857142857142854,0.0,198.75,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,IL,travel,0,0,0,0,0,18.0,55.0,0.0,0.0,21.0,41.0,0.0,0.0,5.142857142857142,0.0,16.285714285714285,0.0,79.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
