date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,الفندق4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,الفندق5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر
2018-01-01,IL,travel,0,0,0,52,0,0,7,13,0,0,0,11,33,0,0,25,9,0,60,0,5,51,2,0,0,37,0,0,0,0,0,0,0
2018-02-01,IL,travel,0,0,0,20,0,0,0,68,16,0,8,22,27,0,0,50,22,0,53,0,11,48,9,0,0,73,0,0,0,0,0,0,0
2018-03-01,IL,travel,0,0,0,24,0,0,0,51,0,0,0,30,30,0,0,69,16,0,83,0,15,42,7,0,0,100,0,0,0,0,0,0,0
2018-04-01,IL,travel,36,0,0,36,0,0,0,42,0,0,0,21,22,0,0,48,17,0,43,0,10,49,4,0,0,70,0,0,0,0,0,0,0
2018-05-01,IL,travel,38,0,0,33,0,0,0,51,0,0,0,0,35,0,0,0,19,0,27,0,0,49,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,IL,travel,0,0,0,28,0,0,12,92,0,0,0,17,29,0,0,40,0,0,40,0,8,35,2,0,0,58,0,0,0,0,0,0,0
2018-07-01,IL,travel,0,0,0,0,0,0,0,54,0,0,0,8,31,0,0,18,36,0,50,0,4,19,4,0,0,27,0,0,0,0,0,0,0
2018-08-01,IL,travel,0,0,0,35,0,0,0,39,0,0,0,16,28,0,0,37,22,0,37,0,8,19,5,0,0,53,0,0,0,0,0,0,0
2018-09-01,IL,travel,0,0,0,55,0,0,0,61,22,0,11,17,44,0,0,39,41,0,33,0,8,40,0,0,0,57,0,0,0,0,0,0,0
2018-10-01,IL,travel,0,0,0,47,0,0,0,72,0,0,0,19,40,0,0,44,22,0,50,0,9,63,4,0,0,64,0,0,0,0,0,0,0
2018-11-01,IL,travel,0,0,0,100,0,0,0,69,19,0,9,22,46,0,0,50,14,0,59,0,11,82,2,0,0,72,0,0,0,0,0,0,0
2018-12-01,IL,travel,72,0,0,0,0,0,0,58,0,0,0,25,39,0,0,57,24,0,83,0,12,58,3,0,0,84,0,0,0,0,0,0,0
2019-01-01,IL,travel,38,0,0,30,0,0,0,75,0,0,0,15,23,0,0,35,19,0,40,0,8,49,2,0,0,51,0,0,0,0,0,0,0
2019-02-01,IL,travel,0,0,0,0,0,0,0,90,0,0,0,17,41,0,0,38,24,0,55,0,8,62,2,0,0,55,0,0,0,0,0,0,0
2019-03-01,IL,travel,0,0,0,39,0,0,8,60,11,0,5,0,27,0,0,0,20,0,49,0,0,53,3,0,0,0,0,0,0,0,0,0,0
2019-04-01,IL,travel,0,0,0,0,0,0,14,67,14,0,7,15,25,0,0,35,14,0,57,0,8,53,5,0,0,51,0,0,0,0,0,0,0
2019-05-01,IL,travel,0,0,0,0,0,0,18,55,0,0,0,21,41,0,0,49,12,0,38,0,10,38,0,0,0,71,0,0,0,0,0,0,0
2019-06-01,IL,travel,0,0,0,0,0,0,0,44,0,0,0,20,29,0,0,47,29,0,47,0,10,28,4,0,0,68,0,0,0,0,0,0,0
2019-07-01,IL,travel,29,0,0,0,0,0,0,69,0,0,0,4,20,0,0,10,61,0,36,0,2,31,0,0,0,15,0,0,0,0,0,0,0
2019-08-01,IL,travel,0,0,0,77,0,0,0,43,0,0,0,17,15,0,0,40,35,0,32,0,8,19,3,0,0,58,0,0,0,0,0,0,0
2019-09-01,IL,travel,0,0,0,18,0,0,0,43,8,0,4,12,46,0,0,26,20,0,45,0,6,49,0,0,0,38,0,0,0,0,0,0,0
2019-10-01,IL,travel,78,0,0,53,0,0,0,55,6,0,3,21,22,0,0,47,35,0,46,0,10,69,0,0,0,68,0,0,0,0,0,0,0
2019-11-01,IL,travel,0,0,0,0,0,0,16,73,0,0,0,13,32,0,0,30,7,0,51,0,6,96,0,0,0,44,0,0,0,0,0,0,0
2019-12-01,IL,travel,21,0,0,0,0,0,0,51,0,0,0,18,36,0,0,40,22,0,98,0,9,60,0,0,0,58,0,0,0,0,0,0,0
2020-01-01,IL,travel,15,0,0,33,0,0,0,55,0,0,0,9,25,0,0,21,32,0,71,0,5,65,4,0,0,31,0,0,0,0,0,0,0
2020-02-01,IL,travel,0,0,0,50,0,0,14,54,0,0,0,5,37,0,0,12,20,0,46,0,2,64,2,0,0,17,0,0,0,0,0,0,0
2020-03-01,IL,travel,0,0,0,0,0,0,8,67,10,0,5,10,35,0,0,22,0,0,30,0,5,55,2,0,0,33,0,0,0,0,0,0,0
2020-04-01,IL,travel,0,0,0,49,0,0,0,52,0,0,0,11,58,0,0,25,8,0,46,0,5,63,0,0,0,36,0,0,0,0,0,0,0
2020-05-01,IL,travel,0,0,0,0,0,0,9,46,8,0,4,13,53,0,0,29,10,0,35,0,6,30,2,0,0,42,0,0,0,0,0,0,0
2020-06-01,IL,travel,0,0,0,53,0,0,0,49,0,0,0,18,28,0,0,42,15,0,46,0,9,33,1,0,0,61,0,0,0,0,0,0,0
2020-07-01,IL,travel,0,0,0,26,0,0,0,34,0,0,0,12,26,0,0,27,7,0,41,0,6,48,1,0,0,39,0,0,0,0,0,0,0
2020-08-01,IL,travel,0,0,0,42,0,0,0,57,0,0,0,12,25,0,0,28,21,0,43,0,6,40,0,0,0,41,0,0,0,0,0,0,0
2020-09-01,IL,travel,32,0,0,67,0,0,0,42,0,0,0,12,58,0,0,28,27,0,69,0,6,54,3,0,0,40,0,0,0,0,0,0,0
2020-10-01,IL,travel,0,0,0,25,0,0,0,47,0,0,0,17,100,0,0,38,24,0,42,0,8,57,7,0,0,55,0,0,0,0,0,0,0
2020-11-01,IL,travel,0,0,0,25,0,0,21,69,16,0,8,13,61,0,0,30,24,0,54,0,7,84,0,0,0,44,0,0,0,0,0,0,0
2020-12-01,IL,travel,17,0,0,76,0,0,8,68,0,0,0,5,75,0,0,12,0,0,90,0,3,100,5,0,0,18,0,0,0,0,0,0,0
2021-01-01,IL,travel,42,0,0,46,0,0,0,47,10,0,5,13,48,0,0,30,24,0,64,0,7,99,5,0,0,44,0,0,0,0,0,0,0
2021-02-01,IL,travel,19,0,0,22,0,0,0,51,0,0,0,17,47,0,0,40,24,0,90,0,9,76,2,0,0,58,0,0,0,0,0,0,0
2021-03-01,IL,travel,33,0,0,23,0,0,0,59,6,0,3,0,54,0,0,0,23,0,70,0,0,65,7,0,0,0,0,0,0,0,0,0,0
2021-04-01,IL,travel,60,0,0,0,0,0,15,55,8,0,4,16,59,0,0,35,19,0,43,0,8,60,4,0,0,52,0,0,0,0,0,0,0
2021-05-01,IL,travel,0,0,0,19,0,0,0,58,11,0,6,3,54,0,0,7,40,0,54,0,2,50,2,0,0,10,0,0,0,0,0,0,0
2021-06-01,IL,travel,0,0,0,0,0,0,0,50,0,0,0,13,51,0,0,30,42,0,48,0,6,57,2,0,0,43,0,0,0,0,0,0,0
2021-07-01,IL,travel,21,0,0,27,0,0,7,68,0,0,0,21,24,0,0,48,60,0,76,0,10,34,0,0,0,70,0,0,0,0,0,0,0
2021-08-01,IL,travel,27,0,0,36,0,0,0,41,0,0,0,19,40,0,0,43,57,0,59,0,9,21,4,0,0,62,0,0,0,0,0,0,0
2021-09-01,IL,travel,0,0,0,40,0,0,0,43,0,0,0,19,70,0,0,43,47,0,74,0,9,43,3,0,0,62,0,0,0,0,0,0,0
2021-10-01,IL,travel,28,0,0,0,0,0,7,68,0,0,0,16,49,0,0,37,44,0,76,0,8,64,3,0,0,54,0,0,0,0,0,0,0
2021-11-01,IL,travel,0,0,0,0,0,0,14,36,14,0,7,19,40,0,0,44,66,0,85,0,9,51,2,0,0,64,0,0,0,0,0,0,0
2021-12-01,IL,travel,0,0,0,0,0,0,0,57,0,0,0,23,42,0,0,53,48,0,96,0,11,38,6,0,0,76,0,0,0,0,0,0,0
2022-01-01,IL,travel,72,0,0,17,0,0,0,63,0,0,0,8,36,0,0,19,28,0,62,0,4,35,3,0,0,28,0,0,0,0,0,0,0
2022-02-01,IL,travel,0,0,0,60,0,0,0,54,8,0,4,13,46,0,0,30,27,0,94,0,6,36,3,0,0,44,0,0,0,0,0,0,0
2022-03-01,IL,travel,0,0,0,41,0,0,10,67,0,0,0,5,43,0,0,10,64,0,83,0,2,29,3,0,0,15,0,0,0,0,0,0,0
2022-04-01,IL,travel,0,0,0,21,0,0,4,55,6,0,3,11,89,0,0,24,40,0,40,0,5,16,4,0,0,35,0,0,0,0,0,0,0
2022-05-01,IL,travel,0,0,0,32,0,0,0,63,0,0,0,15,32,0,0,35,74,0,84,0,7,26,3,0,0,51,0,0,0,0,0,0,0
2022-06-01,IL,travel,25,0,0,23,0,0,14,61,0,0,0,10,46,0,0,23,74,0,87,0,5,36,4,0,0,34,0,0,0,0,0,0,0
2022-07-01,IL,travel,0,0,0,61,0,0,0,55,0,0,0,18,43,0,0,42,100,0,57,0,9,19,2,0,0,61,0,0,0,0,0,0,0
2022-08-01,IL,travel,0,0,0,0,0,0,0,57,18,0,9,15,40,0,0,35,84,0,77,0,7,23,8,0,0,51,0,0,0,0,0,0,0
2022-09-01,IL,travel,0,0,0,15,0,0,5,41,0,0,0,29,47,0,0,66,66,0,53,0,14,25,4,0,0,96,0,0,0,0,0,0,0
2022-10-01,IL,travel,0,0,0,38,0,0,0,38,0,0,0,5,41,0,0,12,53,0,40,0,3,29,5,0,0,17,0,0,0,0,0,0,0
2022-11-01,IL,travel,0,0,0,25,0,0,0,100,7,0,3,9,38,0,0,21,70,0,43,0,5,46,8,0,0,31,0,0,0,0,0,0,0
2022-12-01,IL,travel,0,0,0,39,0,0,0,95,0,0,0,12,33,0,0,27,67,0,35,0,6,18,0,0,0,39,0,0,0,0,0,0,0
2023-01-01,IL,travel,0,0,0,14,0,0,6,53,6,0,3,7,25,0,0,17,24,0,45,0,4,23,0,0,0,24,0,0,0,0,0,0,0
2023-02-01,IL,travel,21,0,0,22,0,0,0,46,0,0,0,10,28,0,0,23,7,0,9,0,5,23,2,0,0,34,0,0,0,0,0,0,0
2023-03-01,IL,travel,0,0,0,0,0,0,0,26,0,0,0,9,44,0,0,21,19,0,37,0,4,23,2,0,0,30,0,0,0,0,0,0,0
2023-04-01,IL,travel,0,0,0,0,0,0,0,46,0,0,0,20,39,0,0,46,29,0,33,0,10,16,1,0,0,67,0,0,0,0,0,0,0
2023-05-01,IL,travel,0,0,0,33,0,0,0,42,4,0,2,0,30,0,0,0,50,0,41,0,0,24,1,0,0,0,0,0,0,0,0,0,0
