date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت
2018-01-01,IQ,travel,22,0,0,86,0,0,3,23,8,0,2,9,8,0,0,10,19,0,18,0,5,47,7,0,0,49,0,0,0,0,0,0,0,0,0
2018-02-01,IQ,travel,0,0,0,67,0,0,0,18,4,0,1,12,11,0,0,5,29,0,33,0,3,50,7,0,0,50,0,0,0,0,0,0,0,0,0
2018-03-01,IQ,travel,38,0,0,65,0,0,0,22,6,0,1,10,9,0,0,8,26,0,37,0,4,57,7,0,0,51,0,0,0,0,0,0,0,0,0
2018-04-01,IQ,travel,29,0,0,44,0,0,2,36,13,0,3,15,12,0,0,17,25,0,40,0,8,53,8,0,0,56,0,0,0,0,0,0,0,0,0
2018-05-01,IQ,travel,0,0,0,52,0,0,3,56,6,0,1,10,15,0,0,7,32,0,17,0,4,50,6,0,0,43,0,0,0,0,0,0,0,0,0
2018-06-01,IQ,travel,0,0,0,63,0,0,3,62,6,0,1,11,12,0,0,8,44,0,22,0,4,36,5,0,0,37,0,0,0,0,0,0,0,0,0
2018-07-01,IQ,travel,0,0,0,76,0,0,3,45,7,0,1,9,10,0,0,9,37,0,24,0,4,44,8,0,0,53,0,0,0,0,0,0,0,0,0
2018-08-01,IQ,travel,0,0,0,100,0,0,8,32,8,0,2,12,11,0,0,10,36,0,23,0,5,39,10,0,0,68,0,0,0,0,0,0,0,0,0
2018-09-01,IQ,travel,0,0,0,73,0,0,4,37,5,0,1,13,10,0,0,6,29,0,21,0,3,48,7,0,0,47,0,0,0,0,0,0,0,0,0
2018-10-01,IQ,travel,0,0,0,69,0,0,7,50,10,0,2,11,10,0,0,14,34,0,36,0,7,58,6,0,0,43,0,0,0,0,0,0,0,0,0
2018-11-01,IQ,travel,49,0,0,40,0,0,4,70,10,0,2,11,11,0,0,13,18,0,34,0,6,51,10,0,0,66,0,0,0,0,0,0,0,0,0
2018-12-01,IQ,travel,22,0,0,50,0,0,0,53,6,0,1,9,12,0,0,8,22,0,23,0,4,66,4,0,0,29,0,0,0,0,0,0,0,0,0
2019-01-01,IQ,travel,0,0,0,30,0,0,0,35,7,0,1,11,10,0,0,9,24,0,27,0,4,57,8,0,0,56,0,0,0,0,0,0,0,0,0
2019-02-01,IQ,travel,0,0,0,56,0,0,8,44,5,0,1,10,9,0,0,6,17,0,22,0,3,51,9,0,0,61,0,0,0,0,0,0,0,0,0
2019-03-01,IQ,travel,21,0,0,56,0,0,0,36,7,0,1,9,10,0,0,9,26,0,22,0,4,60,8,0,0,56,0,0,0,0,0,0,0,0,0
2019-04-01,IQ,travel,54,0,0,61,0,0,9,42,10,0,2,9,11,0,0,13,40,0,35,0,6,57,3,0,0,21,0,0,0,0,0,0,0,0,0
2019-05-01,IQ,travel,18,0,0,54,0,0,0,26,4,0,1,100,15,0,0,5,30,0,26,0,3,69,3,0,0,22,0,0,0,0,0,0,0,0,0
2019-06-01,IQ,travel,0,0,0,40,0,0,0,41,3,0,1,30,11,0,0,4,32,0,25,0,2,30,4,0,0,28,0,0,0,0,0,0,0,0,0
2019-07-01,IQ,travel,0,0,0,53,0,0,2,31,7,0,1,22,13,0,0,9,38,0,12,0,5,35,10,0,0,66,0,0,0,0,0,0,0,0,0
2019-08-01,IQ,travel,24,0,0,17,0,0,6,37,8,0,2,19,11,0,0,11,46,0,35,0,5,29,4,0,0,31,0,0,0,0,0,0,0,0,0
2019-09-01,IQ,travel,19,0,0,35,0,0,4,34,13,0,3,15,14,0,0,16,28,0,24,0,8,38,10,0,0,66,0,0,0,0,0,0,0,0,0
2019-10-01,IQ,travel,0,0,0,52,0,0,0,24,4,0,1,17,9,0,0,5,24,0,26,0,2,78,7,0,0,47,0,0,0,0,0,0,0,0,0
2019-11-01,IQ,travel,0,0,0,29,0,0,0,25,12,0,2,12,9,0,0,16,24,0,23,0,8,61,6,0,0,41,0,0,0,0,0,0,0,0,0
2019-12-01,IQ,travel,0,0,0,25,0,0,2,21,6,0,1,13,9,0,0,7,18,0,35,0,4,58,4,0,0,31,0,0,0,0,0,0,0,0,0
2020-01-01,IQ,travel,0,0,0,63,0,0,0,33,0,0,0,15,9,0,0,0,27,0,29,0,0,60,3,0,0,21,0,0,0,0,0,0,0,0,0
2020-02-01,IQ,travel,28,0,0,47,0,0,0,19,5,0,1,16,11,0,0,6,23,0,34,0,3,61,8,0,0,55,0,0,0,0,0,0,0,0,0
2020-03-01,IQ,travel,0,0,0,35,0,0,3,25,0,0,0,18,12,0,0,0,10,0,22,0,0,72,9,0,0,60,0,0,0,0,0,0,0,0,0
2020-04-01,IQ,travel,27,0,0,42,0,0,0,28,9,0,2,15,16,0,0,11,11,0,37,0,5,100,8,0,0,57,0,0,0,0,0,0,0,0,0
