date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,الفندق4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية
2018-01-01,JO,travel,20,0,0,82,0,0,0,53,10,0,5,21,38,0,0,32,18,0,54,0,32,63,6,0,0,36,0,0,0,0,0,0,0,0
2018-02-01,JO,travel,0,0,0,70,0,0,0,47,10,0,5,13,41,0,0,20,30,0,54,0,20,37,9,0,0,56,0,0,0,0,0,0,0,0
2018-03-01,JO,travel,21,0,0,48,0,0,3,49,8,0,4,16,29,0,0,24,23,0,51,0,24,45,2,0,0,12,0,0,0,0,0,0,0,0
2018-04-01,JO,travel,0,0,0,44,0,0,5,59,0,0,0,21,31,0,0,31,19,0,63,0,32,64,16,0,0,100,0,0,0,0,0,0,0,0
2018-05-01,JO,travel,46,0,0,40,0,0,6,68,5,0,2,12,44,0,0,18,25,0,44,0,18,44,6,0,0,36,0,0,0,0,0,0,0,0
2018-06-01,JO,travel,0,0,0,77,0,0,5,68,12,0,5,18,29,0,0,26,37,0,43,0,27,29,10,0,0,59,0,0,0,0,0,0,0,0
2018-07-01,JO,travel,0,0,0,56,0,0,6,56,12,0,5,18,26,0,0,26,42,0,61,0,27,43,8,0,0,49,0,0,0,0,0,0,0,0
2018-08-01,JO,travel,0,0,0,53,0,0,0,63,10,0,5,16,27,0,0,24,42,0,83,0,25,30,8,0,0,52,0,0,0,0,0,0,0,0
2018-09-01,JO,travel,17,0,0,43,0,0,4,65,13,0,6,18,34,0,0,26,45,0,86,0,27,51,10,0,0,65,0,0,0,0,0,0,0,0
2018-10-01,JO,travel,0,0,0,77,0,0,11,70,17,0,7,14,25,0,0,21,23,0,77,0,22,55,5,0,0,32,0,0,0,0,0,0,0,0
