date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,الفندق4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت
2018-01-01,KW,travel,14,0,0,0,0,0,2,16,2,0,6,10,41,0,0,2,11,0,9,0,9,51,3,0,0,25,0,0,0,0,0,0,0,0,0
2018-02-01,KW,travel,0,0,0,41,0,0,0,13,0,0,0,19,57,0,0,4,12,0,10,0,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,KW,travel,0,0,0,0,0,0,0,14,3,0,7,30,47,0,0,7,8,0,15,0,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,KW,travel,0,0,0,100,0,0,0,17,1,0,4,12,46,0,0,3,11,0,14,0,11,41,3,0,0,19,0,0,0,0,0,0,0,0,0
2018-05-01,KW,travel,0,0,0,47,0,0,1,70,0,0,0,19,60,0,0,4,12,0,12,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,KW,travel,0,0,0,80,0,0,0,100,0,0,0,23,44,0,0,5,16,0,9,0,22,35,2,0,0,17,0,0,0,0,0,0,0,0,0
2018-07-01,KW,travel,45,0,0,41,0,0,0,33,0,0,0,27,54,0,0,6,18,0,14,0,25,28,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,KW,travel,19,0,0,17,0,0,1,34,0,0,0,16,36,0,0,4,11,0,13,0,15,42,4,0,0,27,0,0,0,0,0,0,0,0,0
2018-09-01,KW,travel,0,0,0,29,0,0,0,25,0,0,0,16,63,0,0,4,10,0,9,0,15,39,6,0,0,43,0,0,0,0,0,0,0,0,0
2018-10-01,KW,travel,0,0,0,17,0,0,0,24,3,0,7,20,44,0,0,5,10,0,12,0,18,43,2,0,0,17,0,0,0,0,0,0,0,0,0
2018-11-01,KW,travel,45,0,0,59,0,0,0,36,2,0,4,22,50,0,0,5,6,0,9,0,20,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,KW,travel,0,0,0,0,0,0,0,22,2,0,7,16,46,0,0,4,9,0,13,0,15,40,3,0,0,20,0,0,0,0,0,0,0,0,0
2019-01-01,KW,travel,0,0,0,80,0,0,0,27,0,0,0,18,51,0,0,4,11,0,8,0,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,KW,travel,14,0,0,0,0,0,0,45,0,0,0,24,48,0,0,5,12,0,12,0,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,KW,travel,0,0,0,20,0,0,0,28,0,0,0,27,45,0,0,6,9,0,15,0,25,45,10,0,0,70,0,0,0,0,0,0,0,0,0
2019-04-01,KW,travel,0,0,0,67,0,0,2,28,0,0,0,29,48,0,0,7,13,0,14,0,26,46,6,0,0,47,0,0,0,0,0,0,0,0,0
2019-05-01,KW,travel,0,0,0,22,0,0,0,13,4,0,10,14,80,0,0,3,13,0,11,0,13,37,5,0,0,33,0,0,0,0,0,0,0,0,0
