date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,تذكرة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر
2018-01-01,LB,travel,21,0,0,33,0,0,0,22,4,0,7,23,45,0,0,50,72,0,70,0,29,66,9,0,0,39,0,0,0,0,0,0,0
2018-02-01,LB,travel,48,0,0,33,0,0,0,31,0,0,0,13,33,0,0,29,27,0,34,0,11,42,12,0,0,50,0,0,0,0,0,0,0
2018-03-01,LB,travel,0,0,0,42,0,0,0,25,3,0,4,8,41,0,0,18,43,0,92,0,17,40,4,0,0,16,0,0,0,0,0,0,0
2018-04-01,LB,travel,0,0,0,60,0,0,0,12,7,0,11,23,36,0,0,50,37,0,38,0,15,51,7,0,0,28,0,0,0,0,0,0,0
2018-05-01,LB,travel,31,0,0,40,0,0,0,33,5,0,8,14,60,0,0,31,15,0,47,0,6,52,6,0,0,26,0,0,0,0,0,0,0
2018-06-01,LB,travel,0,0,0,0,0,0,4,20,0,0,0,18,66,0,0,39,41,0,46,0,16,20,4,0,0,15,0,0,0,0,0,0,0
2018-07-01,LB,travel,0,0,0,72,0,0,0,26,0,0,0,21,50,0,0,47,13,0,78,0,5,20,15,0,0,63,0,0,0,0,0,0,0
2018-08-01,LB,travel,23,0,0,0,0,0,0,29,0,0,0,29,67,0,0,63,79,0,67,0,31,21,11,0,0,46,0,0,0,0,0,0,0
2018-09-01,LB,travel,47,0,0,26,0,0,4,14,3,0,4,23,55,0,0,50,17,0,74,0,7,38,15,0,0,62,0,0,0,0,0,0,0
2018-10-01,LB,travel,0,0,0,0,0,0,0,21,0,0,0,23,41,0,0,51,16,0,28,0,6,49,0,0,0,0,0,0,0,0,0,0,0
2018-11-01,LB,travel,28,0,0,40,0,0,0,28,4,0,6,17,61,0,0,37,37,0,61,0,15,47,11,0,0,45,0,0,0,0,0,0,0
2018-12-01,LB,travel,33,0,0,28,0,0,20,24,0,0,0,20,55,0,0,43,44,0,57,0,17,50,12,0,0,50,0,0,0,0,0,0,0
2019-01-01,LB,travel,43,0,0,0,0,0,0,27,7,0,12,23,52,0,0,51,30,0,56,0,12,51,8,0,0,34,0,0,0,0,0,0,0
2019-02-01,LB,travel,65,0,0,0,0,0,4,31,7,0,12,27,35,0,0,60,55,0,66,0,22,43,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,LB,travel,0,0,0,38,0,0,0,20,0,0,0,23,43,0,0,52,54,0,55,0,22,44,5,0,0,20,0,0,0,0,0,0,0
2019-04-01,LB,travel,0,0,0,0,0,0,0,22,4,0,6,20,50,0,0,45,57,0,60,0,23,57,7,0,0,30,0,0,0,0,0,0,0
2019-05-01,LB,travel,19,0,0,0,0,0,0,16,0,0,0,30,56,0,0,65,23,0,50,0,9,36,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,LB,travel,0,0,0,100,0,0,3,15,4,0,7,35,49,0,0,76,69,0,32,0,28,47,10,0,0,44,0,0,0,0,0,0,0
