date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى السودان,امشي الى تشاد
2018-01-01,LY,travel,0,0,0,61,0,14.0,39.0,0.0,0.0,37.0,64.0,0.0,0.0,31.0,0.0,22.0,0.0,81.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,LY,travel,0,0,0,0,0,0.0,26.0,0.0,0.0,31.0,47.0,0.0,0.0,0.0,0.0,42.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,LY,travel,0,0,0,31,0,0.0,37.0,11.0,0.0,55.0,74.25,0.0,0.0,15.0,0.0,42.0,0.0,99.00000000000001,13.444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,LY,travel,0,0,0,27,0,9.0,34.0,25.0,0.0,34.72222222222222,69.44444444444444,0.0,0.0,35.0,0.0,34.0,0.0,98.75,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,LY,travel,0,0,0,0,0,0.0,27.0,20.0,0.0,28.0,97.33333333333333,0.0,0.0,26.0,0.0,46.0,0.0,65.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,LY,travel,73,0,0,0,0,13.0,85.0,9.0,0.0,25.714285714285715,81.0,0.0,0.0,39.0,0.0,58.0,0.0,50.625,14.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,LY,travel,0,0,0,72,0,10.0,54.0,23.0,0.0,47.4375,66.125,0.0,0.0,20.0,0.0,42.0,0.0,53.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,LY,travel,19,0,0,0,0,0.0,33.0,16.0,0.0,74.18181818181819,69.81818181818181,0.0,0.0,38.0,0.0,36.0,0.0,80.0,33.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,LY,travel,0,0,0,0,0,0.0,34.0,12.0,0.0,42.666666666666664,40.0,0.0,0.0,0.0,0.0,27.0,0.0,52.8,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,LY,travel,0,0,0,55,0,7.0,45.0,21.0,0.0,11.2,81.19999999999999,0.0,0.0,30.0,0.0,49.0,0.0,107.47058823529412,16.058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
