date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد
2018-01-01,LY,travel,0,0,0,61,0,0,14,39,0,0,0,37,64,0,0,0,31,0,22,0,0,81,17,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,LY,travel,0,0,0,0,0,0,0,26,0,0,0,31,47,0,0,0,0,0,42,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,LY,travel,0,0,0,31,0,0,0,37,11,0,8,40,54,0,0,11,15,0,42,0,9,81,11,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,LY,travel,0,0,0,27,0,0,9,34,25,0,18,25,50,0,0,25,35,0,34,0,20,79,19,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,LY,travel,0,0,0,0,0,0,0,27,20,0,15,21,73,0,0,20,26,0,46,0,16,52,14,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,LY,travel,73,0,0,0,0,0,13,85,9,0,7,20,63,0,0,9,39,0,58,0,8,45,13,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,LY,travel,0,0,0,72,0,0,10,54,23,0,16,33,46,0,0,23,20,0,42,0,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,LY,travel,19,0,0,0,0,0,0,33,16,0,11,51,48,0,0,16,38,0,36,0,13,65,27,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,LY,travel,0,0,0,0,0,0,0,34,12,0,9,32,30,0,0,12,0,0,27,0,10,44,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,LY,travel,0,0,0,55,0,0,7,45,21,0,15,8,58,0,0,21,30,0,49,0,17,87,13,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-01,LY,travel,0,0,0,0,0,0,27,79,20,0,15,34,50,0,0,20,32,0,65,0,16,63,13,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,LY,travel,41,0,0,32,0,0,15,46,6,0,5,31,44,0,0,6,16,0,56,0,5,61,15,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,LY,travel,39,0,0,0,0,0,0,25,13,0,9,12,45,0,0,13,18,0,31,0,10,100,11,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,LY,travel,0,0,0,0,0,0,0,100,0,0,0,53,53,0,0,0,31,0,54,0,0,62,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,LY,travel,0,0,0,32,0,0,0,67,0,0,0,21,55,0,0,0,31,0,68,0,0,72,14,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-01,LY,travel,0,0,0,20,0,0,0,44,14,0,10,27,29,0,0,14,21,0,69,0,11,61,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,LY,travel,0,0,0,0,0,0,9,21,15,0,11,38,71,0,0,14,40,0,61,0,12,49,12,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,LY,travel,0,0,0,0,0,0,0,58,22,0,16,32,51,0,0,22,45,0,52,0,18,49,8,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,LY,travel,0,0,0,24,0,0,0,79,9,0,6,23,55,0,0,9,30,0,100,0,7,47,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,LY,travel,0,0,0,74,0,0,0,48,0,0,0,27,56,0,0,0,67,0,50,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,LY,travel,0,0,0,0,0,0,0,52,21,0,15,30,38,0,0,20,27,0,62,0,17,48,29,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,LY,travel,43,0,0,51,0,0,0,37,0,0,0,17,59,0,0,0,25,0,45,0,0,42,10,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,LY,travel,58,0,0,43,0,0,12,74,0,0,0,41,69,0,0,0,49,0,72,0,0,66,17,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,LY,travel,40,0,0,0,0,0,0,25,22,0,16,37,70,0,0,22,34,0,67,0,18,54,15,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,LY,travel,0,0,0,37,0,0,9,42,22,0,16,36,63,0,0,22,20,0,81,0,18,74,11,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
