date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر
2018-01-01,MA,travel,11,0,0,47,0,3.0,25.0,9.0,0.0,8.052631578947368,16.105263157894736,0.0,0.0,22.81578947368421,0.0,13.421052631578947,0.0,36.73130193905817,9.182825484764543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,MA,travel,19,0,0,69,0,6.0,27.0,17.0,0.0,3.8857142857142857,15.542857142857143,0.0,1.457142857142857,16.83809523809524,0.0,11.657142857142858,0.0,38.85714285714286,3.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,MA,travel,0,0,0,64,0,5.0,29.0,15.0,0.0,3.3870967741935485,18.870967741935484,0.0,0.0,32.17741935483871,0.0,22.016129032258064,0.0,55.957661290322584,16.512096774193548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,MA,travel,0,0,0,41,0,0.0,41.0,12.0,0.0,5.5,19.5,0.0,0.0,34.83333333333333,0.0,16.5,0.0,60.1764705882353,18.441176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,MA,travel,22,0,0,49,0,3.0,30.0,16.0,0.0,4.0,23.5,0.0,0.0,21.333333333333332,0.0,9.333333333333332,0.0,36.61538461538461,9.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,MA,travel,0,0,0,63,0,0.0,28.0,14.0,0.0,8.689655172413794,22.689655172413794,0.0,0.0,31.862068965517242,0.0,11.586206896551724,0.0,25.489655172413794,6.951724137931034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,MA,travel,0,0,0,70,0,0.0,40.0,15.0,0.0,7.741935483870968,9.67741935483871,0.0,1.4516129032258065,41.806451612903224,0.0,9.29032258064516,0.0,30.967741935483865,6.96774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,MA,travel,0,0,0,46,0,4.0,44.0,18.0,0.0,11.0,8.5,0.0,0.0,45.57142857142857,0.0,7.857142857142857,0.0,16.5,7.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,MA,travel,0,0,0,100,0,3.0,40.0,15.0,0.0,11.0,21.5,0.0,1.5,40.857142857142854,0.0,7.857142857142857,0.0,32.301587301587304,10.476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,MA,travel,17,0,0,59,0,3.0,32.0,15.0,0.0,9.193548387096774,23.70967741935484,0.0,0.0,35.24193548387097,0.0,6.129032258064516,0.0,45.20161290322581,7.661290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
