date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,القيادة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر
2018-01-01,MA,travel,11,0,0,47,0,0,3,25,9,0,19,17,34,0,0,6,17,0,10,0,19,52,13,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,MA,travel,19,0,0,69,0,0,6,27,17,0,35,8,32,0,3,3,13,0,9,0,18,60,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,MA,travel,0,0,0,64,0,0,5,29,15,0,31,7,39,0,0,2,19,0,13,0,24,61,18,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,MA,travel,0,0,0,41,0,0,0,41,12,0,24,11,39,0,0,3,19,0,9,0,17,62,19,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,MA,travel,22,0,0,49,0,0,3,30,16,0,32,8,47,0,0,3,16,0,7,0,13,51,13,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,MA,travel,0,0,0,63,0,0,0,28,14,0,29,18,47,0,0,6,22,0,8,0,15,33,9,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,MA,travel,0,0,0,70,0,0,0,40,15,0,31,16,20,0,3,5,27,0,6,0,12,40,9,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,MA,travel,0,0,0,46,0,0,4,44,18,0,36,22,17,0,0,7,29,0,5,0,10,21,10,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,MA,travel,0,0,0,100,0,0,3,40,15,0,30,22,43,0,3,7,26,0,5,0,9,37,12,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,MA,travel,17,0,0,59,0,0,3,32,15,0,31,19,49,0,0,6,23,0,4,0,8,59,10,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
