date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن
2018-01-01,OM,travel,0,0,0,24,0,0.0,4.0,4.0,0.0,3.6666666666666665,8.0,0.0,0.0,15.666666666666666,0.0,12.0,0.0,14.666666666666666,4.644444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,OM,travel,0,0,0,26,0,0.0,10.0,6.0,0.0,6.75,13.875,0.0,0.0,13.897058823529411,0.0,12.308823529411764,0.0,21.1304347826087,5.282608695652175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,OM,travel,0,0,0,61,0,2.0,17.0,3.0,0.0,7.0,15.333333333333332,0.0,0.0,14.368421052631579,0.0,19.894736842105264,0.0,17.37037037037037,4.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,OM,travel,42,0,0,43,0,0.0,8.0,4.0,0.0,10.90909090909091,14.181818181818182,0.0,0.0,10.90909090909091,0.0,10.129870129870131,0.0,22.93706293706294,4.475524475524476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,OM,travel,0,0,0,22,0,0.0,55.0,0.0,0.0,14.0,51.0,0.0,0.0,33.38461538461538,0.0,25.846153846153847,0.0,39.666666666666664,6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,OM,travel,0,0,0,36,0,0.0,100.0,0.0,0.0,11.0,39.0,0.0,0.0,61.60000000000001,0.0,24.200000000000003,0.0,29.07142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,OM,travel,0,0,0,43,0,0.0,27.0,0.0,0.0,26.0,37.0,0.0,0.0,89.91666666666666,0.0,44.416666666666664,0.0,39.39393939393939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,OM,travel,0,0,0,24,0,2.0,24.0,0.0,0.0,20.0,57.0,0.0,0.0,62.10526315789473,0.0,35.78947368421053,0.0,33.07692307692308,20.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,OM,travel,0,0,0,62,0,0.0,12.0,2.0,0.0,9.200000000000001,13.600000000000001,0.0,0.0,20.152380952380955,0.0,21.028571428571432,0.0,6.344827586206897,2.855172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,OM,travel,29,0,0,67,0,0.0,19.0,3.0,0.0,1.875,14.625,0.0,0.0,9.75,0.0,13.875,0.0,15.803571428571429,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
