date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,الفندق4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن
2018-01-01,OM,travel,0,0,0,24,0,0,0,4,4,0,12,11,24,0,0,11,47,0,36,0,15,60,19,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,OM,travel,0,0,0,26,0,0,0,10,6,0,16,18,37,0,0,17,35,0,31,0,23,72,18,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,OM,travel,0,0,0,61,0,0,2,17,3,0,9,21,46,0,0,19,39,0,54,0,27,67,18,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,OM,travel,42,0,0,43,0,0,0,8,4,0,11,30,39,0,0,28,28,0,26,0,39,82,16,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,OM,travel,0,0,0,22,0,0,0,55,0,0,0,14,51,0,0,13,31,0,24,0,18,51,8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,OM,travel,0,0,0,36,0,0,0,100,0,0,0,11,39,0,0,10,56,0,22,0,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,OM,travel,0,0,0,43,0,0,0,27,0,0,0,26,37,0,0,24,83,0,41,0,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,OM,travel,0,0,0,24,0,0,2,24,0,0,0,20,57,0,0,19,59,0,34,0,26,43,27,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,OM,travel,0,0,0,62,0,0,0,12,2,0,5,23,34,0,0,21,46,0,48,0,29,20,9,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,OM,travel,29,0,0,67,0,0,0,19,3,0,8,5,39,0,0,5,26,0,37,0,7,59,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
