date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت
2018-01-01,QA,travel,0,0,0,23,0,2.0,19.0,0.0,0.0,9.25,11.0,0.0,0.0,16.400000000000002,0.0,16.0,0.0,8.727272727272727,4.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,QA,travel,0,0,0,0,0,2.0,16.0,0.0,0.0,5.25,9.0,0.0,0.0,6.0,0.0,12.8,0.0,10.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,QA,travel,0,0,0,18,0,3.0,17.0,0.0,0.0,0.0,7.153846153846154,0.0,0.0,10.125,0.0,18.375,0.0,9.705882352941178,3.7058823529411766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,QA,travel,0,0,0,0,0,2.0,19.0,0.0,0.0,6.0,15.25,0.0,0.0,14.4,0.0,18.0,0.0,8.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,QA,travel,0,0,0,0,0,0.0,60.0,0.0,0.0,26.0,71.0,0.0,0.0,29.0,0.0,43.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,QA,travel,0,0,0,28,0,2.0,100.0,3.0,0.0,0.0,17.77777777777778,0.0,0.0,10.333333333333332,0.0,8.333333333333332,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,QA,travel,0,0,0,74,0,0.0,33.0,0.0,0.0,24.0,15.0,0.0,0.0,64.0,0.0,19.0,0.0,30.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,QA,travel,0,0,0,41,0,0.0,36.0,6.0,0.0,0.0,44.0,0.0,0.0,27.0,0.0,35.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,QA,travel,39,0,0,28,0,2.0,28.0,0.0,0.0,0.0,9.25,0.0,0.0,7.2,0.0,18.8,0.0,0.0,2.1818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,QA,travel,50,0,0,46,0,4.0,19.0,3.0,0.0,10.0,18.0,0.0,0.0,8.88888888888889,0.0,25.333333333333332,0.0,0.0,2.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
