date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,قافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,قافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,قافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,قافلة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت
2018-01-01,QA,travel,0,0,0,23,0,0,2,19,0,0,8,37,44,0,0,5,41,0,40,0,11,48,23,0,0,34,0,0,0,0,0,0,0,0,0
2018-02-01,QA,travel,0,0,0,0,0,0,2,16,0,0,8,21,36,0,0,5,15,0,32,0,11,56,0,0,0,35,0,0,0,0,0,0,0,0,0
2018-03-01,QA,travel,0,0,0,18,0,0,3,17,0,0,13,0,31,0,0,8,27,0,49,0,17,55,21,0,0,52,0,0,0,0,0,0,0,0,0
2018-04-01,QA,travel,0,0,0,0,0,0,2,19,0,0,8,24,61,0,0,5,36,0,45,0,11,48,0,0,0,34,0,0,0,0,0,0,0,0,0
2018-05-01,QA,travel,0,0,0,0,0,0,0,60,0,0,0,26,71,0,0,0,29,0,43,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,QA,travel,0,0,0,28,0,0,2,100,3,0,9,0,80,0,0,6,31,0,25,0,12,38,0,0,0,37,0,0,0,0,0,0,0,0,0
2018-07-01,QA,travel,0,0,0,74,0,0,0,33,0,0,0,24,15,0,0,0,64,0,19,0,0,30,47,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,QA,travel,0,0,0,41,0,0,0,36,6,0,0,0,44,0,0,0,27,0,35,0,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,QA,travel,39,0,0,28,0,0,2,28,0,0,8,0,37,0,0,5,18,0,47,0,11,0,12,0,0,33,0,0,0,0,0,0,0,0,0
2018-10-01,QA,travel,50,0,0,46,0,0,4,19,3,0,14,35,63,0,0,9,20,0,57,0,18,0,11,0,0,56,0,0,0,0,0,0,0,0,0
2018-11-01,QA,travel,0,0,0,18,0,0,2,49,0,0,8,0,25,0,0,5,27,0,36,0,10,81,29,0,0,31,0,0,0,0,0,0,0,0,0
2018-12-01,QA,travel,0,0,0,56,0,0,0,32,0,0,0,47,46,0,0,0,22,0,27,0,0,70,17,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,QA,travel,0,0,0,0,0,0,0,26,3,0,0,0,49,0,0,0,27,0,40,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,QA,travel,0,0,0,0,0,0,0,45,0,0,0,16,39,0,0,0,12,0,28,0,0,75,51,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,QA,travel,0,0,0,28,0,0,0,26,0,0,0,24,30,0,0,0,45,0,18,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-01,QA,travel,19,0,0,80,0,0,0,31,0,0,0,17,38,0,0,0,35,0,51,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,QA,travel,0,0,0,0,0,0,0,33,0,0,0,16,69,0,0,0,43,0,31,0,0,27,33,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,QA,travel,0,0,0,0,0,0,5,23,0,0,19,24,57,0,0,12,27,0,35,0,25,45,0,0,0,77,0,0,0,0,0,0,0,0,0
2019-07-01,QA,travel,0,0,0,22,0,0,0,30,0,0,0,33,29,0,0,0,55,0,43,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,QA,travel,0,0,0,30,0,0,4,26,0,0,13,32,28,0,0,9,41,0,37,0,18,20,0,0,0,55,0,0,0,0,0,0,0,0,0
2019-09-01,QA,travel,58,0,0,0,0,0,0,40,0,0,0,10,40,0,0,0,12,0,41,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,QA,travel,34,0,0,38,0,0,3,30,0,0,12,30,36,0,0,8,28,0,47,0,16,38,14,0,0,48,0,0,0,0,0,0,0,0,0
2019-11-01,QA,travel,0,0,0,23,0,0,0,34,0,0,0,10,22,0,0,0,31,0,33,0,0,66,10,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,QA,travel,0,0,0,0,0,0,0,67,0,0,0,0,25,0,0,0,43,0,34,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,QA,travel,0,0,0,0,0,0,0,58,2,0,0,20,51,0,0,0,17,0,39,0,0,56,13,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,QA,travel,0,0,0,29,0,0,0,41,0,0,0,14,25,0,0,0,29,0,30,0,0,59,11,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,QA,travel,0,0,0,0,0,0,0,23,0,0,0,20,43,0,0,0,19,0,34,0,0,66,23,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,QA,travel,0,0,0,23,0,0,0,22,0,0,0,20,75,0,0,0,0,0,34,0,0,81,11,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,QA,travel,0,0,0,39,0,0,3,26,0,0,9,10,79,0,0,6,12,0,14,0,13,78,0,0,0,38,0,0,0,0,0,0,0,0,0
2020-06-01,QA,travel,0,0,0,0,0,0,0,30,6,0,0,8,45,0,0,0,0,0,21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,QA,travel,0,0,0,17,0,0,0,28,2,0,0,20,30,0,0,0,17,0,16,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,QA,travel,0,0,0,50,0,0,0,33,0,0,0,20,68,0,0,0,13,0,49,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,QA,travel,0,0,0,36,0,0,0,30,0,0,0,23,44,0,0,0,11,0,49,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,QA,travel,52,0,0,100,0,0,0,35,0,0,0,17,59,0,0,0,6,0,37,0,0,61,42,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,QA,travel,16,0,0,0,0,0,0,32,2,0,0,6,51,0,0,0,14,0,36,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,QA,travel,0,0,0,41,0,0,0,47,0,0,0,14,69,0,0,0,8,0,64,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,QA,travel,0,0,0,31,0,0,0,31,2,0,0,10,41,0,0,0,29,0,45,0,0,89,14,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,QA,travel,0,0,0,0,0,0,3,49,2,0,10,17,17,0,0,6,28,0,27,0,13,50,0,0,0,40,0,0,0,0,0,0,0,0,0
2021-03-01,QA,travel,0,0,0,32,0,0,0,31,0,0,0,19,33,0,0,0,16,0,32,0,0,80,11,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,QA,travel,0,0,0,0,0,0,0,33,2,0,0,12,58,0,0,0,22,0,28,0,0,78,16,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,QA,travel,0,0,0,63,0,0,2,31,0,0,7,25,67,0,0,4,30,0,48,0,9,51,0,0,0,29,0,0,0,0,0,0,0,0,0
2021-06-01,QA,travel,0,0,0,13,0,0,0,39,2,0,0,32,50,0,0,0,57,0,37,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,QA,travel,18,0,0,0,0,0,0,30,3,0,0,26,17,0,0,0,47,0,35,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,QA,travel,22,0,0,0,0,0,0,41,0,0,0,23,64,0,0,0,44,0,40,0,0,23,19,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,QA,travel,0,0,0,0,0,0,0,35,0,0,0,31,65,0,0,0,25,0,39,0,0,98,13,0,0,0,0,0,0,0,0,0,0,0,0
