date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا
2018-01-01,SY,travel,12,0,0,0,0,0.0,23.0,3.0,0.0,16.0,57.0,0.0,0.0,7.285714285714286,0.0,29.142857142857142,0.0,47.25,12.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,SY,travel,23,0,0,39,0,0.0,21.0,0.0,0.0,21.0,46.0,0.0,0.0,20.0,0.0,63.0,0.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,SY,travel,0,0,0,14,0,5.0,28.0,7.0,0.0,8.75,36.75,0.0,0.0,5.444444444444445,0.0,15.944444444444445,0.0,48.36363636363636,13.363636363636363,0.0,0.0,0.0,0.0,0.0
2018-04-01,SY,travel,10,0,0,32,0,3.0,24.0,0.0,0.0,14.0,46.0,0.0,0.0,27.0,0.0,64.0,0.0,74.0,10.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,SY,travel,0,0,0,0,0,0.0,29.0,3.0,0.0,14.0,45.0,0.0,0.0,6.0,0.0,27.0,0.0,50.25,6.75,0.0,0.0,0.0,0.0,0.0
2018-06-01,SY,travel,0,0,0,0,0,2.0,24.0,3.0,0.0,14.25,34.5,0.0,0.0,4.666666666666666,0.0,11.333333333333332,0.0,29.0,8.5,0.0,0.0,0.0,0.0,0.0
2018-07-01,SY,travel,0,0,0,18,0,0.0,20.0,3.0,0.0,18.75,36.0,0.0,0.0,9.666666666666666,0.0,22.0,0.0,36.0,10.2,0.0,0.0,0.0,0.0,0.0
2018-08-01,SY,travel,13,0,0,13,0,0.0,23.0,0.0,0.0,29.0,44.0,0.0,0.0,26.0,0.0,59.0,0.0,52.0,10.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,SY,travel,0,0,0,25,0,0.0,23.0,5.0,0.0,30.833333333333336,39.16666666666667,0.0,0.0,6.923076923076923,0.0,21.923076923076923,0.0,40.0,8.125,0.0,0.0,0.0,0.0,0.0
2018-10-01,SY,travel,0,0,0,33,0,3.0,21.0,8.0,0.0,25.6,37.6,0.0,0.0,9.454545454545455,0.0,25.454545454545457,0.0,52.0,8.571428571428571,0.0,0.0,0.0,0.0,0.0
2018-11-01,SY,travel,0,0,0,0,0,0.0,23.0,4.0,0.0,17.6,38.400000000000006,0.0,0.0,4.0,0.0,25.454545454545457,0.0,41.714285714285715,7.428571428571428,0.0,0.0,0.0,0.0,0.0
2018-12-01,SY,travel,34,0,0,0,0,0.0,19.0,0.0,0.0,27.0,56.0,0.0,0.0,16.0,0.0,69.0,0.0,63.0,16.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,SY,travel,13,0,0,19,0,0.0,27.0,0.0,0.0,29.0,45.0,0.0,0.0,19.0,0.0,75.0,0.0,89.0,8.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,SY,travel,41,0,0,22,0,3.0,36.0,0.0,0.0,24.0,43.0,0.0,0.0,33.0,0.0,84.0,0.0,89.0,4.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,SY,travel,8,0,0,11,0,0.0,19.0,0.0,0.0,26.0,31.0,0.0,0.0,19.0,0.0,100.0,0.0,85.0,11.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,SY,travel,25,0,0,31,0,0.0,33.0,3.0,0.0,22.5,32.25,0.0,0.0,7.666666666666666,0.0,18.0,0.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,SY,travel,0,0,0,16,0,3.0,36.0,5.0,0.0,22.142857142857142,31.42857142857143,0.0,0.0,4.666666666666666,0.0,31.0,0.0,36.111111111111114,3.3333333333333335,0.0,0.0,0.0,0.0,0.0
2019-06-01,SY,travel,7,0,0,31,0,0.0,23.0,3.0,0.0,46.0,44.0,0.0,0.0,12.375,0.0,21.375,0.0,21.0,8.4,0.0,0.0,0.0,0.0,0.0
2019-07-01,SY,travel,10,0,0,15,0,0.0,20.0,3.0,0.0,29.25,25.5,0.0,0.0,5.666666666666666,0.0,19.333333333333332,0.0,29.4,3.5999999999999996,0.0,0.0,0.0,0.0,0.0
2019-08-01,SY,travel,22,0,0,14,0,0.0,13.0,0.0,0.0,31.0,39.0,0.0,0.0,20.0,0.0,65.0,0.0,47.0,12.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,SY,travel,7,0,0,45,0,0.0,23.0,3.0,0.0,21.75,30.0,0.0,0.0,8.333333333333332,0.0,25.0,0.0,46.5,5.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,SY,travel,0,0,0,42,0,0.0,22.0,4.0,0.0,23.200000000000003,27.200000000000003,0.0,0.0,7.272727272727273,0.0,21.81818181818182,0.0,44.0,12.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,SY,travel,0,0,0,15,0,0.0,21.0,10.0,0.0,32.5,37.5,0.0,0.0,0.0,0.0,19.230769230769234,0.0,49.375,5.625,0.0,0.0,0.0,0.0,0.0
2019-12-01,SY,travel,0,0,0,9,0,0.0,21.0,6.0,0.0,38.57142857142857,41.14285714285714,0.0,0.0,5.625,0.0,27.0,0.0,55.199999999999996,7.199999999999999,0.0,0.0,0.0,0.0,0.0
2020-01-01,SY,travel,0,0,0,0,0,2.0,25.0,2.0,0.0,24.666666666666664,28.666666666666664,0.0,0.0,5.333333333333333,0.0,19.666666666666664,0.0,59.33333333333333,10.666666666666666,0.0,0.0,0.0,0.0,0.0
2020-02-01,SY,travel,0,0,0,35,0,3.0,21.0,4.0,0.0,24.8,34.4,0.0,0.0,13.090909090909092,0.0,21.81818181818182,0.0,55.42857142857142,8.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,SY,travel,0,0,0,25,0,0.0,18.0,4.0,0.0,35.2,48.800000000000004,0.0,0.0,6.181818181818182,0.0,28.363636363636363,0.0,49.71428571428571,12.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,SY,travel,0,0,0,11,0,0.0,11.0,4.0,0.0,20.666666666666664,41.33333333333333,0.0,0.0,0.0,0.0,14.0,0.0,41.714285714285715,10.857142857142856,0.0,0.0,0.0,0.0,0.0
2020-05-01,SY,travel,0,0,0,14,0,2.0,24.0,5.0,0.0,20.833333333333336,51.66666666666667,0.0,0.0,3.4615384615384617,0.0,18.461538461538463,0.0,36.25,9.375,0.0,0.0,0.0,0.0,0.0
2020-06-01,SY,travel,0,0,0,18,0,0.0,24.0,4.0,0.0,22.0,30.666666666666664,0.0,0.0,10.0,0.0,17.333333333333332,0.0,25.71428571428571,2.8571428571428568,0.0,0.0,0.0,0.0,0.0
2020-07-01,SY,travel,7,0,0,10,0,3.0,23.0,3.0,0.0,28.5,24.75,0.0,0.0,2.6666666666666665,0.0,23.333333333333332,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,SY,travel,11,0,0,31,0,7.0,21.0,4.0,0.0,33.6,31.200000000000003,0.0,0.0,4.800000000000001,0.0,20.8,0.0,45.33333333333333,7.333333333333333,0.0,0.0,0.0,0.0,0.0
2020-09-01,SY,travel,8,0,0,23,0,0.0,25.0,4.0,0.0,30.400000000000002,40.800000000000004,0.0,0.0,6.545454545454546,0.0,19.636363636363637,0.0,41.14285714285714,9.714285714285714,0.0,0.0,0.0,0.0,0.0
2020-10-01,SY,travel,0,0,0,21,0,2.0,29.0,3.0,0.0,30.0,33.75,0.0,0.0,9.375,0.0,27.75,0.0,58.8,3.5999999999999996,0.0,0.0,0.0,0.0,0.0
2020-11-01,SY,travel,0,0,0,19,0,4.0,30.0,5.0,0.0,26.42857142857143,35.714285714285715,0.0,0.0,11.0,0.0,21.666666666666664,0.0,50.0,15.555555555555557,0.0,0.0,0.0,0.0,0.0
2020-12-01,SY,travel,0,0,0,21,0,6.0,30.0,4.0,0.0,28.0,36.0,0.0,0.0,6.909090909090909,0.0,13.818181818181818,0.0,48.57142857142857,8.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,SY,travel,0,0,0,0,0,3.0,24.0,2.0,0.0,21.333333333333332,36.0,0.0,0.0,9.0,0.0,21.333333333333332,0.0,36.0,10.5,0.0,0.0,0.0,0.0,0.0
2021-02-01,SY,travel,0,0,0,0,0,2.0,30.0,5.0,0.0,29.285714285714285,34.285714285714285,0.0,0.0,10.357142857142858,0.0,20.357142857142858,0.0,52.22222222222222,8.88888888888889,0.0,0.0,0.0,0.0,0.0
2021-03-01,SY,travel,6,0,0,20,0,2.0,22.0,5.0,0.0,30.0,45.833333333333336,0.0,0.0,3.4615384615384617,0.0,10.0,0.0,45.0,11.25,0.0,0.0,0.0,0.0,0.0
2021-04-01,SY,travel,0,0,0,0,0,5.0,100.0,0.0,0.0,29.0,61.0,0.0,0.0,16.0,0.0,59.0,0.0,66.0,11.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,SY,travel,0,0,0,12,0,4.0,38.0,5.0,0.0,35.0,42.5,0.0,0.0,7.142857142857143,0.0,16.42857142857143,0.0,46.66666666666667,7.777777777777779,0.0,0.0,0.0,0.0,0.0
2021-06-01,SY,travel,6,0,0,22,0,0.0,30.0,0.0,0.0,43.0,53.0,0.0,0.0,17.0,0.0,59.0,0.0,71.0,19.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,SY,travel,6,0,0,35,0,0.0,24.0,5.0,0.0,30.833333333333336,35.0,0.0,0.0,15.384615384615385,0.0,16.923076923076923,0.0,36.25,14.375,0.0,0.0,0.0,0.0,0.0
2021-08-01,SY,travel,18,0,0,22,0,3.0,40.0,2.0,0.0,37.0,49.0,0.0,0.0,20.0,0.0,30.5,0.0,38.0,13.333333333333332,0.0,0.0,0.0,0.0,0.0
2021-09-01,SY,travel,0,0,0,14,0,2.0,24.0,2.0,0.0,24.666666666666664,27.333333333333332,0.0,0.0,12.666666666666666,0.0,12.333333333333332,0.0,30.0,8.5,0.0,0.0,0.0,0.0,0.0
2021-10-01,SY,travel,6,0,0,17,0,0.0,30.0,3.0,0.0,33.75,41.25,0.0,0.0,9.666666666666666,0.0,24.333333333333332,0.0,29.5,11.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,SY,travel,9,0,0,11,0,0.0,24.0,5.0,0.0,26.666666666666668,38.333333333333336,0.0,0.0,7.6923076923076925,0.0,28.846153846153847,0.0,28.75,11.25,0.0,0.0,0.0,0.0,0.0
2021-12-01,SY,travel,0,0,0,6,0,5.0,30.0,5.0,0.0,30.0,42.5,0.0,0.0,7.916666666666667,0.0,12.083333333333334,0.0,23.75,10.625,0.0,0.0,0.0,0.0,0.0
2022-01-01,SY,travel,7,0,0,18,0,0.0,67.0,2.0,0.0,14.666666666666666,38.0,0.0,0.0,14.4,0.0,23.200000000000003,0.0,55.33333333333333,19.333333333333332,0.0,0.0,0.0,0.0,0.0
2022-02-01,SY,travel,6,0,0,7,0,3.0,59.0,4.0,0.0,28.0,48.800000000000004,0.0,0.0,9.818181818181818,0.0,19.272727272727273,0.0,38.857142857142854,11.428571428571427,0.0,0.0,0.0,0.0,0.0
