date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا
2018-01-01,SY,travel,12,0,0,0,0,0,0,23,3,0,3,16,57,0,0,7,17,0,68,0,4,63,16,0,0,56,0,0,0
2018-02-01,SY,travel,23,0,0,39,0,0,0,21,0,0,0,21,46,0,0,0,20,0,63,0,0,100,14,0,0,48,0,0,0
2018-03-01,SY,travel,0,0,0,14,0,0,5,28,7,0,8,10,42,0,0,18,14,0,41,0,11,76,21,0,0,73,0,0,0
2018-04-01,SY,travel,10,0,0,32,0,0,3,24,0,0,0,14,46,0,0,0,27,0,64,0,0,74,10,0,0,34,0,0,0
2018-05-01,SY,travel,0,0,0,0,0,0,0,29,3,0,3,14,45,0,0,7,14,0,63,0,4,67,9,0,0,32,0,0,0
2018-06-01,SY,travel,0,0,0,0,0,0,2,24,3,0,4,19,46,0,0,9,14,0,34,0,6,58,17,0,0,59,0,0,0
2018-07-01,SY,travel,0,0,0,18,0,0,0,20,3,0,4,25,48,0,0,9,29,0,66,0,5,60,17,0,0,60,0,0,0
2018-08-01,SY,travel,13,0,0,13,0,0,0,23,0,0,0,29,44,0,0,0,26,0,59,0,0,52,10,0,0,36,0,0,0
2018-09-01,SY,travel,0,0,0,25,0,0,0,23,5,0,6,37,47,0,0,13,18,0,57,0,8,64,13,0,0,45,0,0,0
2018-10-01,SY,travel,0,0,0,33,0,0,3,21,8,0,10,32,47,0,0,22,26,0,70,0,14,91,15,0,0,51,0,0,0
2018-11-01,SY,travel,0,0,0,0,0,0,0,23,4,0,5,22,48,0,0,11,11,0,70,0,7,73,13,0,0,45,0,0,0
2018-12-01,SY,travel,34,0,0,0,0,0,0,19,0,0,0,27,56,0,0,0,16,0,69,0,0,63,16,0,0,55,0,0,0
2019-01-01,SY,travel,13,0,0,19,0,0,0,27,0,0,0,29,45,0,0,0,19,0,75,0,0,89,8,0,0,27,0,0,0
2019-02-01,SY,travel,41,0,0,22,0,0,3,36,0,0,0,24,43,0,0,0,33,0,84,0,0,89,4,0,0,12,0,0,0
2019-03-01,SY,travel,8,0,0,11,0,0,0,19,0,0,0,26,31,0,0,0,19,0,100,0,0,85,11,0,0,39,0,0,0
2019-04-01,SY,travel,25,0,0,31,0,0,0,33,3,0,4,30,43,0,0,9,23,0,54,0,6,70,20,0,0,71,0,0,0
2019-05-01,SY,travel,0,0,0,16,0,0,3,36,5,0,7,31,44,0,0,15,14,0,93,0,9,65,6,0,0,22,0,0,0
2019-06-01,SY,travel,7,0,0,31,0,0,0,23,3,0,3,46,44,0,0,8,33,0,57,0,5,35,14,0,0,49,0,0,0
2019-07-01,SY,travel,10,0,0,15,0,0,0,20,3,0,4,39,34,0,0,9,17,0,58,0,5,49,6,0,0,19,0,0,0
2019-08-01,SY,travel,22,0,0,14,0,0,0,13,0,0,0,31,39,0,0,0,20,0,65,0,0,47,12,0,0,40,0,0,0
2019-09-01,SY,travel,7,0,0,45,0,0,0,23,3,0,4,29,40,0,0,9,25,0,75,0,6,93,10,0,0,35,0,0,0
2019-10-01,SY,travel,0,0,0,42,0,0,0,22,4,0,5,29,34,0,0,11,20,0,60,0,7,77,21,0,0,72,0,0,0
2019-11-01,SY,travel,0,0,0,15,0,0,0,21,10,0,12,39,45,0,0,26,0,0,50,0,16,79,9,0,0,30,0,0,0
