date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان
2018-01-01,YE,travel,25,0,0,0,0,0.0,28.0,0.0,0.0,27.0,27.0,0.0,0.0,9.0,0.0,31.0,0.0,59.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,YE,travel,0,0,0,60,0,0.0,12.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,0.0,25.0,0.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,YE,travel,0,0,0,37,0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,33.0,0.0,52.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,YE,travel,0,0,0,38,0,6.0,19.0,7.0,0.0,42.0,50.75,0.0,0.0,0.0,0.0,31.5,0.0,98.0,9.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,YE,travel,0,0,0,0,0,12.0,41.0,0.0,0.0,22.0,29.0,0.0,0.0,16.0,0.0,46.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,YE,travel,0,0,0,23,0,0.0,20.0,0.0,0.0,23.0,32.0,0.0,0.0,30.0,0.0,39.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,YE,travel,31,0,0,0,0,0.0,0.0,11.0,0.0,66.0,55.0,0.0,0.0,10.153846153846153,0.0,24.538461538461537,0.0,61.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,YE,travel,0,0,0,34,0,0.0,17.0,9.0,0.0,57.6,55.800000000000004,0.0,0.0,18.81818181818182,0.0,14.727272727272728,0.0,54.00000000000001,10.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,YE,travel,0,0,0,0,0,0.0,28.0,0.0,0.0,31.0,25.0,0.0,0.0,19.0,0.0,48.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,YE,travel,0,0,0,0,0,0.0,34.0,15.0,0.0,69.375,73.125,0.0,0.0,0.0,0.0,37.5,0.0,75.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,YE,travel,0,0,0,0,0,27.0,44.0,0.0,0.0,49.0,30.0,0.0,0.0,14.0,0.0,45.0,0.0,73.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,YE,travel,0,0,0,35,0,0.0,40.0,0.0,0.0,29.0,16.0,0.0,0.0,23.0,0.0,27.0,0.0,79.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,YE,travel,0,0,0,38,0,0.0,18.0,24.0,0.0,77.53846153846155,55.38461538461539,0.0,0.0,11.586206896551724,0.0,42.206896551724135,0.0,99.78947368421052,20.210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,YE,travel,0,0,0,0,0,0.0,60.0,7.0,0.0,43.75,73.5,0.0,0.0,0.0,0.0,22.75,0.0,102.19999999999999,23.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,YE,travel,13,0,0,40,0,0.0,55.0,0.0,0.0,29.0,25.0,0.0,0.0,20.0,0.0,22.0,0.0,68.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,YE,travel,0,0,0,16,0,12.0,38.0,10.0,0.0,88.0,70.0,0.0,0.0,14.166666666666668,0.0,40.0,0.0,88.57142857142857,11.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,YE,travel,18,0,0,63,0,0.0,40.0,0.0,0.0,36.0,47.0,0.0,0.0,10.0,0.0,19.0,0.0,64.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,YE,travel,0,0,0,25,0,0.0,14.0,10.0,0.0,56.66666666666667,53.333333333333336,0.0,0.0,16.666666666666668,0.0,17.5,0.0,76.25,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,YE,travel,0,0,0,38,0,0.0,38.0,5.0,0.0,63.333333333333336,46.66666666666667,0.0,0.0,0.0,0.0,34.16666666666667,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,YE,travel,0,0,0,0,0,0.0,28.0,25.0,0.0,78.57142857142857,57.142857142857146,0.0,0.0,13.793103448275861,0.0,15.517241379310343,0.0,72.36842105263159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,YE,travel,20,0,0,100,0,0.0,49.0,7.0,0.0,54.25,57.75,0.0,0.0,0.0,0.0,34.125,0.0,121.8,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,YE,travel,0,0,0,54,0,6.0,38.0,7.0,0.0,63.0,49.0,0.0,0.0,12.25,0.0,46.375,0.0,118.99999999999999,15.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,YE,travel,0,0,0,0,0,9.0,32.0,13.0,0.0,78.0,52.0,0.0,0.0,8.666666666666668,0.0,12.133333333333333,0.0,104.0,11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,YE,travel,0,0,0,20,0,8.0,25.0,6.0,0.0,85.5,58.5,0.0,0.0,0.0,0.0,35.25,0.0,120.0,10.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,YE,travel,0,0,0,15,0,5.0,29.0,12.0,0.0,54.857142857142854,44.57142857142857,0.0,0.0,12.857142857142856,0.0,21.428571428571427,0.0,106.66666666666666,22.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,YE,travel,0,0,0,0,0,0.0,23.0,0.0,0.0,39.0,24.0,0.0,0.0,29.0,0.0,35.0,0.0,63.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,YE,travel,0,0,0,23,0,11.0,17.0,7.0,0.0,87.5,77.0,0.0,0.0,12.444444444444445,0.0,28.0,0.0,88.66666666666667,15.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,YE,travel,0,0,0,41,0,0.0,27.0,0.0,0.0,38.0,52.0,0.0,0.0,15.0,0.0,30.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,YE,travel,28,0,0,18,0,8.0,19.0,0.0,0.0,49.0,68.0,0.0,0.0,0.0,0.0,14.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,YE,travel,0,0,0,38,0,0.0,30.0,5.0,0.0,78.33333333333334,58.333333333333336,0.0,0.0,0.0,0.0,13.333333333333334,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,YE,travel,0,0,0,17,0,10.0,19.0,0.0,0.0,47.0,34.0,0.0,0.0,0.0,0.0,43.0,0.0,65.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,YE,travel,11,0,0,17,0,0.0,48.0,0.0,0.0,54.0,48.0,0.0,0.0,33.0,0.0,42.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,YE,travel,30,0,0,0,0,0.0,47.0,0.0,0.0,56.0,36.0,0.0,0.0,0.0,0.0,59.0,0.0,64.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,YE,travel,15,0,0,11,0,5.0,30.0,0.0,0.0,45.0,27.0,0.0,0.0,23.0,0.0,35.0,0.0,78.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,YE,travel,0,0,0,14,0,14.0,48.0,0.0,0.0,63.0,50.0,0.0,0.0,0.0,0.0,55.0,0.0,92.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,YE,travel,0,0,0,11,0,0.0,48.0,0.0,0.0,45.0,34.0,0.0,0.0,0.0,0.0,41.0,0.0,94.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,YE,travel,0,0,0,12,0,0.0,42.0,7.0,0.0,54.25,66.5,0.0,0.0,7.0,0.0,17.11111111111111,0.0,113.16666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,YE,travel,0,0,0,0,0,7.0,43.0,12.0,0.0,60.0,58.0,0.0,0.0,11.142857142857142,0.0,46.285714285714285,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,YE,travel,20,0,0,34,0,9.0,32.0,5.0,0.0,50.0,76.66666666666667,0.0,0.0,10.833333333333334,0.0,31.666666666666668,0.0,73.75,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,YE,travel,0,0,0,30,0,8.0,41.0,6.0,0.0,46.0,126.0,0.0,0.0,5.25,0.0,19.5,0.0,49.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,YE,travel,0,0,0,13,0,0.0,37.0,10.0,0.0,80.0,84.0,0.0,0.0,0.0,0.0,21.666666666666668,0.0,112.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
