date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان
2018-01-01,YE,travel,25,0,0,0,0,0,0,28,0,0,0,27,27,0,0,0,9,0,31,0,0,59,19,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,YE,travel,0,0,0,60,0,0,0,12,0,0,0,19,15,0,0,0,0,0,25,0,0,60,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,YE,travel,0,0,0,37,0,0,0,0,0,0,0,47,47,0,0,0,0,0,33,0,0,52,8,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,YE,travel,0,0,0,38,0,0,6,19,7,0,4,24,29,0,0,8,0,0,36,0,5,70,7,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,YE,travel,0,0,0,0,0,0,12,41,0,0,0,22,29,0,0,0,16,0,46,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,YE,travel,0,0,0,23,0,0,0,20,0,0,0,23,32,0,0,0,30,0,39,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,YE,travel,31,0,0,0,0,0,0,0,11,0,6,36,30,0,0,13,12,0,29,0,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,YE,travel,0,0,0,34,0,0,0,17,9,0,5,32,31,0,0,11,23,0,18,0,7,42,8,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,YE,travel,0,0,0,0,0,0,0,28,0,0,0,31,25,0,0,0,19,0,48,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,YE,travel,0,0,0,0,0,0,0,34,15,0,8,37,39,0,0,18,0,0,45,0,12,60,7,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-01,YE,travel,0,0,0,0,0,0,27,44,0,0,0,49,30,0,0,0,14,0,45,0,0,73,7,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,YE,travel,0,0,0,35,0,0,0,40,0,0,0,29,16,0,0,0,23,0,27,0,0,79,13,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,YE,travel,0,0,0,38,0,0,0,18,24,0,13,42,30,0,0,29,14,0,51,0,19,79,16,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,YE,travel,0,0,0,0,0,0,0,60,7,0,4,25,42,0,0,8,0,0,26,0,5,73,17,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,YE,travel,13,0,0,40,0,0,0,55,0,0,0,29,25,0,0,0,20,0,22,0,0,68,12,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-01,YE,travel,0,0,0,16,0,0,12,38,10,0,5,44,35,0,0,12,17,0,48,0,7,62,8,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,YE,travel,18,0,0,63,0,0,0,40,0,0,0,36,47,0,0,0,10,0,19,0,0,64,6,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,YE,travel,0,0,0,25,0,0,0,14,10,0,6,34,32,0,0,12,20,0,21,0,8,61,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,YE,travel,0,0,0,38,0,0,0,38,5,0,3,38,28,0,0,6,0,0,41,0,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,YE,travel,0,0,0,0,0,0,0,28,25,0,14,44,32,0,0,29,16,0,18,0,19,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,YE,travel,20,0,0,100,0,0,0,49,7,0,4,31,33,0,0,8,0,0,39,0,5,87,8,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,YE,travel,0,0,0,54,0,0,6,38,7,0,4,36,28,0,0,8,14,0,53,0,5,85,11,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,YE,travel,0,0,0,0,0,0,9,32,13,0,7,42,28,0,0,15,10,0,14,0,10,80,9,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,YE,travel,0,0,0,20,0,0,8,25,6,0,4,57,39,0,0,8,0,0,47,0,5,100,9,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,YE,travel,0,0,0,15,0,0,5,29,12,0,7,32,26,0,0,14,15,0,25,0,9,80,17,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,YE,travel,0,0,0,0,0,0,0,23,0,0,0,39,24,0,0,0,29,0,35,0,0,63,14,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,YE,travel,0,0,0,23,0,0,11,17,7,0,4,50,44,0,0,9,16,0,36,0,6,76,13,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,YE,travel,0,0,0,41,0,0,0,27,0,0,0,38,52,0,0,0,15,0,30,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,YE,travel,28,0,0,18,0,0,8,19,0,0,0,49,68,0,0,0,0,0,14,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,YE,travel,0,0,0,38,0,0,0,30,5,0,3,47,35,0,0,6,0,0,16,0,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,YE,travel,0,0,0,17,0,0,10,19,0,0,0,47,34,0,0,0,0,0,43,0,0,65,9,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,YE,travel,11,0,0,17,0,0,0,48,0,0,0,54,48,0,0,0,33,0,42,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,YE,travel,30,0,0,0,0,0,0,47,0,0,0,56,36,0,0,0,0,0,59,0,0,64,15,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,YE,travel,15,0,0,11,0,0,5,30,0,0,0,45,27,0,0,0,23,0,35,0,0,78,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,YE,travel,0,0,0,14,0,0,14,48,0,0,0,63,50,0,0,0,0,0,55,0,0,92,16,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,YE,travel,0,0,0,11,0,0,0,48,0,0,0,45,34,0,0,0,0,0,41,0,0,94,8,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,YE,travel,0,0,0,12,0,0,0,42,7,0,4,31,38,0,0,9,9,0,22,0,6,97,18,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,YE,travel,0,0,0,0,0,0,7,43,12,0,6,30,29,0,0,14,13,0,54,0,9,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,YE,travel,20,0,0,34,0,0,9,32,5,0,3,30,46,0,0,6,13,0,38,0,4,59,18,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,YE,travel,0,0,0,30,0,0,8,41,6,0,3,23,63,0,0,8,7,0,26,0,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,YE,travel,0,0,0,13,0,0,0,37,10,0,5,40,42,0,0,12,0,0,26,0,7,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,YE,travel,0,0,0,22,0,0,0,48,0,0,0,36,30,0,0,0,59,0,34,0,0,70,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,YE,travel,0,0,0,0,0,0,0,27,5,0,3,41,52,0,0,6,24,0,0,0,4,64,10,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
