date,ISO,topic,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,"قطار سريع,قافلة",محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة
2018-01-01,SY,travel,0,0,0,0,0,0.0,20.0,3.0,0.0,20.0,43.0,0.0,0.0,14.0,0.0,80.0,0.0,58.0,4.0
2018-02-01,SY,travel,0,30,0,0,34,0.0,60.44444444444444,11.333333333333332,0.0,24.0,51.0,0.0,0.0,13.0,0.0,72.0,0.0,100.0,11.0
2018-03-01,SY,travel,0,0,0,0,31,0.0,93.0,15.5,0.0,25.0,45.0,0.0,0.0,15.0,0.0,43.0,0.0,75.0,17.0
2018-04-01,SY,travel,0,0,0,0,34,0.0,80.75,0.0,0.0,16.0,46.0,0.0,0.0,21.0,0.0,68.0,0.0,77.0,18.0
2018-05-01,SY,travel,0,0,0,0,13,0.0,125.66666666666666,21.666666666666664,0.0,20.0,46.0,0.0,0.0,10.0,0.0,68.0,0.0,66.0,0.0
2018-06-01,SY,travel,0,0,0,0,13,0.0,86.66666666666666,0.0,0.0,12.0,60.0,0.0,0.0,15.0,0.0,37.0,0.0,53.0,7.0
2018-07-01,SY,travel,0,8,0,0,23,0.0,84.33333333333334,15.333333333333334,0.0,21.0,51.0,0.0,0.0,41.0,0.0,66.0,0.0,59.0,18.0
2018-08-01,SY,travel,0,0,0,0,0,0.0,21.0,0.0,0.0,29.0,38.0,0.0,0.0,26.0,0.0,63.0,0.0,56.0,11.0
2018-09-01,SY,travel,0,0,0,0,24,0.0,88.0,0.0,0.0,33.0,50.0,0.0,0.0,26.0,0.0,49.0,0.0,66.0,13.0
2018-10-01,SY,travel,0,17,0,0,37,0.0,53.44444444444444,12.333333333333332,0.0,36.0,48.0,0.0,0.0,33.0,0.0,79.0,0.0,84.0,13.0
2018-11-01,SY,travel,0,15,0,0,9,0.0,81.0,9.0,0.0,31.0,48.0,0.0,0.0,23.0,0.0,83.0,0.0,76.0,15.0
2018-12-01,SY,travel,0,18,0,0,15,0.0,71.25,11.25,0.0,26.0,63.0,0.0,0.0,12.0,0.0,55.0,0.0,59.0,18.0
2019-01-01,SY,travel,0,0,0,0,0,0.0,27.0,0.0,0.0,31.0,51.0,0.0,0.0,30.0,0.0,70.0,0.0,86.0,15.0
2019-02-01,SY,travel,0,12,0,0,29,0.0,124.28571428571429,20.714285714285715,0.0,28.0,43.0,0.0,0.0,35.0,0.0,100.0,0.0,85.0,4.0
2019-03-01,SY,travel,0,16,0,0,13,0.0,73.66666666666666,8.666666666666666,0.0,19.0,36.0,0.0,0.0,27.0,0.0,99.0,0.0,81.0,10.0
2019-04-01,SY,travel,0,25,0,0,23,0.0,115.0,15.333333333333334,0.0,31.0,45.0,0.0,0.0,21.0,0.0,88.0,0.0,74.0,14.0
2019-05-01,SY,travel,0,21,0,0,26,0.0,125.66666666666666,39.0,0.0,33.0,50.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0,8.0
2019-06-01,SY,travel,0,0,0,0,26,0.0,82.33333333333333,17.333333333333332,0.0,41.0,45.0,0.0,0.0,35.0,0.0,58.0,0.0,36.0,12.0
2019-07-01,SY,travel,0,0,0,0,45,0.0,65.45454545454545,16.363636363636363,0.0,41.0,39.0,0.0,0.0,31.0,0.0,56.0,0.0,51.0,7.0
2019-08-01,SY,travel,0,0,0,0,8,0.0,76.0,12.0,0.0,32.0,41.0,0.0,0.0,19.0,0.0,78.0,0.0,43.0,14.0
2019-09-01,SY,travel,0,0,0,0,50,0.0,69.23076923076923,19.23076923076923,0.0,38.0,35.0,0.0,0.0,27.0,0.0,85.0,0.0,90.0,8.0
2019-10-01,SY,travel,0,0,0,0,35,0.0,85.55555555555556,15.555555555555555,0.0,29.0,35.0,0.0,0.0,14.0,0.0,69.0,0.0,74.0,13.0
2019-11-01,SY,travel,0,0,0,0,16,0.0,88.0,28.0,0.0,30.0,48.0,0.0,0.0,10.0,0.0,53.0,0.0,65.0,9.0
2019-12-01,SY,travel,0,11,0,0,19,0.0,79.8,19.0,0.0,50.0,50.0,0.0,0.0,18.0,0.0,60.0,0.0,88.0,26.0
