date,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قارب1,"قطار سريع,قافلة",محطة,حافلة,أمتعة السفر,أمتعة السفر2,الفندق,نزل,شقة مستأجرة,حركة السير,حركة السير3,تذكرة,فندق صغير,القيادة,أجرة الطيران,أجرة الطيران4,الطرق,شاحنة
2018-01-01,0,0,0,0,0,0,0,20,3,0,0,20,43,0,0,0,14,0,80,0,0,58,4
2018-02-01,0,30,0,0,34,9,0,16,3,0,0,24,51,0,0,0,13,0,72,0,0,100,11
2018-03-01,0,0,0,0,31,8,0,24,4,0,0,25,45,0,0,0,15,0,43,0,0,75,17
2018-04-01,0,0,0,0,34,8,0,19,0,0,0,16,46,0,0,0,21,0,68,0,0,77,18
2018-05-01,0,0,0,0,13,3,0,29,5,0,0,20,46,0,0,0,10,0,68,0,0,66,0
2018-06-01,0,0,0,0,13,3,0,20,0,0,0,12,60,0,0,0,15,0,37,0,0,53,7
2018-07-01,0,8,0,0,23,6,0,22,4,0,0,21,51,0,0,0,41,0,66,0,0,59,18
2018-08-01,0,0,0,0,0,0,0,21,0,0,0,29,38,0,0,0,26,0,63,0,0,56,11
2018-09-01,0,0,0,0,24,6,0,22,0,0,0,33,50,0,0,0,26,0,49,0,0,66,13
2018-10-01,0,17,0,0,37,9,0,13,3,0,0,36,48,0,0,0,33,0,79,0,0,84,13
2018-11-01,0,15,0,0,9,2,0,18,2,0,0,31,48,0,0,0,23,0,83,0,0,76,15
2018-12-01,0,18,0,0,15,4,0,19,3,0,0,26,63,0,0,0,12,0,55,0,0,59,18
2019-01-01,0,0,0,0,0,0,0,27,0,0,0,31,51,0,0,0,30,0,70,0,0,86,15
2019-02-01,0,12,0,0,29,7,0,30,5,0,0,28,43,0,0,0,35,0,100,0,0,85,4
2019-03-01,0,16,0,0,13,3,0,17,2,0,0,19,36,0,0,0,27,0,99,0,0,81,10
2019-04-01,0,25,0,0,23,6,0,30,4,0,0,31,45,0,0,0,21,0,88,0,0,74,14
2019-05-01,0,21,0,0,26,6,0,29,9,0,0,33,50,0,0,0,0,0,70,0,0,70,8
2019-06-01,0,0,0,0,26,6,0,19,4,0,0,41,45,0,0,0,35,0,58,0,0,36,12
2019-07-01,0,0,0,0,45,11,0,16,4,0,0,41,39,0,0,0,31,0,56,0,0,51,7
2019-08-01,0,0,0,0,8,2,0,19,3,0,0,32,41,0,0,0,19,0,78,0,0,43,14
2019-09-01,0,0,0,0,50,13,0,18,5,0,0,38,35,0,0,0,27,0,85,0,0,90,8
2019-10-01,0,0,0,0,35,9,0,22,4,0,0,29,35,0,0,0,14,0,69,0,0,74,13
2019-11-01,0,0,0,0,16,4,0,22,7,0,0,30,48,0,0,0,10,0,53,0,0,65,9
2019-12-01,0,11,0,0,19,5,0,21,5,0,0,50,50,0,0,0,18,0,60,0,0,88,26
2020-01-01,0,10,0,0,15,4,0,23,4,0,0,36,45,0,0,0,32,0,74,0,0,97,8
2020-02-01,0,0,0,0,43,11,0,18,3,0,0,33,44,0,0,0,31,0,71,0,0,97,18
2020-03-01,0,0,0,0,32,8,0,18,4,0,0,46,62,0,0,0,5,0,80,0,0,86,15
2020-04-01,0,0,0,0,16,4,0,13,3,0,0,34,65,0,0,0,0,0,43,0,0,70,15
2020-05-01,0,0,0,0,13,3,0,22,4,0,0,26,66,0,0,0,0,0,58,0,0,56,19
2020-06-01,0,14,0,0,0,0,0,20,4,0,0,33,48,0,0,0,19,0,42,0,0,40,13
2020-07-01,0,0,0,0,16,4,0,24,3,0,0,35,38,0,0,0,14,0,79,0,0,55,13
2020-08-01,0,9,0,0,0,0,0,19,4,0,0,45,36,0,0,0,20,0,56,0,0,64,14
2020-09-01,0,0,0,0,24,6,0,27,3,0,0,51,47,0,0,0,26,0,63,0,0,71,20
2020-10-01,0,0,0,0,30,7,0,28,2,0,0,40,47,0,0,0,46,0,92,0,0,99,12
2020-11-01,0,0,0,0,29,7,0,25,4,0,0,42,50,0,0,0,35,0,60,0,0,84,21
2020-12-01,0,13,0,0,22,5,0,27,5,0,0,38,50,0,0,0,23,0,47,0,0,85,13
2021-01-01,0,0,0,0,31,8,0,22,5,0,0,32,58,0,0,0,34,0,80,0,0,82,22
2021-02-01,0,8,0,0,0,0,0,29,5,0,0,46,46,0,0,0,28,0,58,0,0,100,9
2021-03-01,0,0,0,0,24,6,0,22,8,0,0,37,64,0,0,0,20,0,22,0,0,77,17
2021-04-01,0,5,0,0,18,5,0,100,5,0,0,21,67,0,0,0,17,0,69,0,0,60,7
2021-05-01,0,0,0,0,25,6,0,36,5,0,0,46,56,0,0,0,15,0,59,0,0,81,15
2021-06-01,0,0,0,0,33,8,0,31,2,0,0,46,59,0,0,0,13,0,58,0,0,75,23
2021-07-01,0,19,0,0,28,7,0,27,2,0,0,40,50,0,0,0,31,0,44,0,0,52,19
2021-08-01,0,8,0,0,21,5,0,36,0,0,0,42,48,0,0,0,39,0,68,0,0,56,22
2021-09-01,0,9,0,0,13,3,0,22,3,0,0,39,49,0,0,0,42,0,40,0,0,56,17
2021-10-01,0,9,0,0,42,11,0,27,3,0,0,39,55,0,0,0,21,0,72,0,0,60,25
2021-11-01,0,0,0,0,30,8,0,25,5,0,0,33,47,0,0,0,17,0,75,0,0,54,19
2021-12-01,0,0,0,0,23,6,0,26,4,0,0,36,57,0,0,0,11,0,49,0,0,39,11
2022-01-01,0,7,0,0,21,5,0,61,4,0,0,21,55,0,0,0,34,0,46,0,0,73,27
2022-02-01,0,12,0,0,18,5,0,53,3,0,0,35,65,0,0,0,27,0,52,0,0,66,19
2022-03-01,0,6,0,0,24,6,0,41,5,0,0,29,61,0,0,0,33,0,56,0,0,56,17
2022-04-01,0,17,0,0,16,4,0,35,5,0,0,21,100,0,0,0,28,0,72,0,0,51,20
2022-05-01,0,13,0,0,25,6,0,23,6,0,0,42,62,0,0,0,23,0,50,0,0,49,10
2022-06-01,0,0,0,0,7,2,0,48,3,0,0,31,71,0,0,0,50,0,66,0,0,41,17
2022-07-01,0,5,0,0,26,7,0,28,3,0,0,41,64,0,0,0,34,0,50,0,0,46,19
2022-08-01,0,0,0,0,5,1,0,36,3,0,0,33,55,0,0,0,46,0,59,0,0,51,19
2022-09-01,0,8,0,0,100,25,0,44,5,0,0,39,61,0,0,0,55,0,71,0,0,42,16
2022-10-01,0,5,0,0,33,8,0,58,4,0,0,36,55,0,0,0,34,0,64,0,0,49,17
2022-11-01,0,12,0,0,14,3,0,32,2,0,0,31,50,0,0,0,59,0,46,0,0,40,11
2022-12-01,0,10,0,0,30,8,0,53,3,0,0,27,63,0,0,0,46,0,48,0,0,35,16
2023-01-01,0,10,0,0,14,4,0,49,3,0,0,27,64,0,0,0,40,0,52,0,0,56,29
2023-02-01,0,8,0,0,12,3,0,32,0,0,0,29,72,0,0,0,30,0,44,0,0,46,21
2023-03-01,0,0,0,0,17,4,0,33,5,0,0,18,83,0,0,0,36,0,48,0,0,43,19
2023-04-01,0,9,0,0,9,2,0,27,6,0,0,25,88,0,0,0,21,0,62,0,0,47,14
2023-05-01,0,5,0,0,11,3,0,30,0,0,0,30,68,0,0,0,48,0,60,0,0,41,18
