date,location,arriving_IDP,leaving_IDP
4/27/2023,Aj Jazirah,8795,950
4/27/2023,Blue Nile,260,0
4/27/2023,Central Darfur,1780,1780
4/27/2023,Kassala,95,0
4/27/2023,Khartoum,13545,71975
4/27/2023,North Darfur,11675,11675
4/27/2023,North Kordofan,13270,7820
4/27/2023,Northern,29200,0
4/27/2023,Red Sea,1205,0
4/27/2023,River Nile,2910,0
4/27/2023,Sennar,5560,0
4/27/2023,South Darfur,45000,45000
4/27/2023,West Darfur,194593,194853
4/27/2023,White Nile,6165,0
5/5/2023,White Nile,188635,
5/5/2023,West Darfur,156565,160365
5/5/2023,Northern,106600,
5/5/2023,River Nile,96095,
5/5/2023,Aj Jazirah,49280,350
5/5/2023,South Darfur,45000,45000
5/5/2023,Khartoum,22975,502200
5/5/2023,North Darfur,22075,18275
5/5/2023,Sennar,20235,
5/5/2023,North Kordofan,16768,8253
5/5/2023,Red Sea,8895,
5/5/2023,Central Darfur,1780,1780
5/5/2023,Blue Nile,715,
5/5/2023,Kassala,305,
5/5/2023,Gedaref,300,
5/12/2023,White Nile,212265,
5/12/2023,West Darfur,156565,160365
5/12/2023,River Nile,116445,
5/12/2023,Northern,112510,
5/12/2023,Aj Jazirah,59175,
5/12/2023,South Darfur,45490,47100
5/12/2023,Sennar,41635,
5/12/2023,Khartoum,26845,571520
5/12/2023,North Darfur,24300,18770
5/12/2023,North Kordofan,20930,8040
5/12/2023,Red Sea,14925,
5/12/2023,Gedaref,5870,
5/12/2023,Central Darfur,1780,1780
5/12/2023,Kassala,1695,
5/12/2023,South Kordofan,1585,
5/12/2023,Blue Nile,1115,
5/21/2023,West Darfur,248625,252425
5/21/2023,White Nile,204821,
5/21/2023,River Nile,162952,
5/21/2023,Northern,145189,
5/21/2023,Aj Jazirah,63284,
5/21/2023,Sennar,62575,
5/21/2023,South Darfur,50490,50490
5/21/2023,North Kordofan,20305,3026
5/21/2023,North Darfur,19695,15820
5/21/2023,Gedaref,18615,
5/21/2023,Khartoum,17350,718573
5/21/2023,Red Sea,13014,
5/21/2023,South Kordofan,7537,
5/21/2023,Kassala,4220,
5/21/2023,Central Darfur,1780,1780
5/21/2023,Blue Nile,1245,
5/21/2023,West Kordofan,417,
5/29/2023,West Darfur,248625,252425
5/29/2023,White Nile,202866,
5/29/2023,River Nile,185860,
5/29/2023,Northern,143604,
5/29/2023,Sennar,122260,
5/29/2023,South Darfur,89820,95010
5/29/2023,Aj Jazirah,68334,
5/29/2023,Gedaref,36940,
5/29/2023,North Darfur,24720,19815
5/29/2023,North Kordofan,23523,2520
5/29/2023,Khartoum,17980,838664
5/29/2023,Red Sea,17631,
5/29/2023,South Kordofan,8850,
5/29/2023,Kassala,8475,
5/29/2023,East Darfur,5100,
5/29/2023,Blue Nile,3185,
5/29/2023,Central Darfur,1780,1780
5/29/2023,West Kordofan,661,
6/4/2023,West Darfur,273220,277020
6/4/2023,White Nile,211164,
6/4/2023,Northern,188055,
6/4/2023,River Nile,186115,
6/4/2023,Sennar,120725,
