"country","name_en","name_translated","name_dbpedia","population","Sudan_regions"
"Sudan","Khartoum","الخرطوم","الخرطوم","5824720.8733","Khartoum"
"Sudan","Nyala","نيالا","نيالا (ظبي)","820683.992188","South Darfur"
"Sudan","Al-Ubayyid","ubayyid","","680618.161011","North Kordofan"
"Sudan","Buram","بورام","","642447.407227","South Darfur"
"Sudan","Al-Fashir","الفاشير","","632597.412079","North Darfur"
"Sudan","Kebkabiya","kebkabiya","","580839.535889","North Darfur"
"Sudan","Ad Da'ein","AD Da'ein","","560072.633301","East Darfur"
"Sudan","Al Managil","آل مانغيل","","558879.100464","Aj Jazirah"
"Sudan","Port Sudan","ميناء السودان","بورتسودان","551714.32666","Red Sea"
"Sudan","Wad Madanī","واد ماداني","","549310.144926","Aj Jazirah"
"Sudan","Kosti","كوستي","","485519.236816","White Nile"
"Sudan","Umm Ruwaba","أم روابا","أم روابة (مدينة)","470698.331299","North Kordofan"
"Sudan","Al Hasahisa","حليا","","370732.68129","Aj Jazirah"
"Sudan","Kas","كاس","","359347.035156","South Darfur"
"Sudan","Kassala","كاسالا","كسلا","335979.215408","Kassala"
"Sudan","Um Danga","أم دانغا","","332277.71875","South Darfur"
"Sudan","Abu Matarig","أبو ماتاريج","","304626.807129","East Darfur"
"Sudan","Ed Al Fursan","إد آن فورسان","","303882.341309","South Darfur"
"Sudan","Al-Qadarif","القنا","","296606.070374","Gedaref"
"Sudan","En Nahud","en nohud","النهود","290619.463989","North Kordofan"
"Sudan","Hayya","هايا","","278501.09375","Red Sea"
"Sudan","Saraf `Umrah","سراف `umrah","","259856.925293","West Darfur"
"Sudan","Barah","باره","","241905.185059","North Kordofan"
"Sudan","Geneina","جينينا","الجنينة (السودان)","239331.910095","West Darfur"
"Sudan","Gnalida","Gnalida","","232950.997559","South Darfur"
"Sudan","Al Rahad","الرهاب","","219084.889526","North Kordofan"
"Sudan","Rabak","راباك","ربك","208331.779724","White Nile"
"Sudan","Shearia","شيريا","","199148.784302","East Darfur"
"Sudan","Shendi","شيندي","شندي","195831.461487","River Nile"
"Sudan","Ghubaysh","غوبايش","","195735.943481","North Kordofan"
"Sudan","Ad-Damazin","ad-damazin","","192740.609741","Blue Nile"
"Sudan","Sennar","سنار","سنار","182063.895752","Sennar"
"Sudan","Jebel Aulia","جبل أوليا","","177717.029297","White Nile"
"Sudan","Jebel Aulia","جبل أوليا","","177717.029297","Khartoum"
"Sudan","Atbara","Atbara","عطبرة","176031.619507","River Nile"
"Sudan","Abu Jibeha","أبو جيبها","","168700.017944","South Kordofan"
"Sudan","Tandalti","Tandalti","تندلتي","168064.675781","White Nile"
"Sudan","Mellit","ميليت","","162580.397705","North Darfur"
"Sudan","Al Hilaliyah","الهيلاليه","","154960.027344","Aj Jazirah"
"Sudan","Al Quwaysi","Quaysi","","152890.390503","Sennar"
"Sudan","Ed Dueim","إد دي","الدويم","152170.314453","White Nile"
"Sudan","ad-Damer","إعلان","","147173.899521","River Nile"
"Sudan","Abu Zabad","أبو زاباد","","146383.246094","North Kordofan"
"Sudan","Dilling","الشجر","","145564.923706","South Kordofan"
"Sudan","New Halfa","نهر جديد","حلفا الجديدة","144376.052612","Kassala"
"Sudan","Umm Siado??","أم سيادو ؟؟","","140607.873291","East Darfur"
"Sudan","Muglad","موغلاد","المجلد","135271.079102","West Kordofan"
"Sudan","Giad Industrial Complex","مجمع جياد الصناعي","","134395.325317","Khartoum"
"Sudan","Al Fao","الفاو","","133794.501221","Gedaref"
"Sudan","Um Dukhan","أم دوخان","","125323.312744","Central Darfur"
"Sudan","Sinkāt","بالوعة","","116210.633545","Red Sea"
"Sudan","Khashm El Girba","خشم الجيربا","","114137.23584","Kassala"
"Sudan","Er Roseires","إيه روزاير","الروصيرص","113728.182129","Blue Nile"
"Sudan","Hamrat El Sheikh","هامرات الشيخ","","112403.975586","North Kordofan"
"Sudan","Singa","سينغا","بوق","109657.126221","Sennar"
"Sudan","Mazrub","Mazrub","","103449.150391","North Kordofan"
"Sudan","For Baranga","لبارانجا","","102712.339355","West Darfur"
"Sudan","Al Kurumuk","كوروموك","","102063.470825","Blue Nile"
"Sudan","Ghaliya","الغالية","","99563.1772461","Khartoum"
"Sudan","Ermil Post","Ermil Post","","98259.0341797","North Kordofan"
"Sudan","Doka","دوكا","","97808.609375","Gedaref"
"Sudan","Umm Kadadah","أم كادا","","96772.1044922","North Darfur"
"Sudan","Baqayr al Quddami","Baqayr القدومي","","94400.535553","Khartoum"
"Sudan","Kaduqli","Kaduqli","كادوقلي","89542.5721436","South Kordofan"
