date	city	tweet_id	raw_tweet	language	processed_tweets	Man_anger	Man_fear	Man_sadness	Man_disgust	Man_joy	Man_anger-disgust	GloVe_anger	GloVe_fear	GloVe_sadness	GloVe_disgust	GloVe_joy	GloVe_anger-disgust
2023-06-16	itang	tag:search.twitter.com,2005:1669594409741205504	@ekafitri402 @overcontrolneed makanya dibuat itang budi terus ntar	in	ekafitri402 overcontrolneed makanya dibuat itang budi terus ntar							0	0	0	0	0	0
2023-06-16	رجا	tag:search.twitter.com,2005:1669513516712091653	اعتب عليه يطلع عتابي له رجاازعل عليه القى فؤادي له لجا🎼	ar	اعتب عليه يطلع عتابي له رجاازعل عليه القى فؤادي له لجا	1	0	0	0	0	1	1	0	1	0	0	0
2023-06-16	رجا	tag:search.twitter.com,2005:1669525385778802691	مفيش في ميتين ابوكو رجا	ar	مفيش في ميتين ابوكو رجا	0	0	1	0	0	0	1	0	0	0	0	1
2023-06-16	رجا	tag:search.twitter.com,2005:1669569930109521920	سلام عليكم رجا كٕوٕدٕ خٕصٕمٕٱےهےربَ ٱےهـربَ  →نون☭ نمشے سےفے ٱونٱس☭ ٱنٱس تويو ستايلے https://t.co/3yVYx3n5Oo	ar	سلام عليكم رجا ك و د خ ص م ٱےهےرب ٱےهـرب نون نمشے سےفے ٱونٱس ٱنٱس تويو ستايلے t co 3yvyx3n5oo	0	0	1	0	0	0	0	0	0	0	1	0
2023-06-16	رجا	tag:search.twitter.com,2005:1669590923020255235	RT @amm5k: 'يروح العمر واحلامنا دونهـآ  تشويشوانا في رجا حلمي وعايش تحت ظلهياكثر اصدقاء عمري لكن النهايه ويشكسبهـم  قطار العمر والـي ب…	ar	rt amm5k يروح العمر واحلامنا دونهـآ تشويشوانا في رجا حلمي وعايش تحت ظلهياكثر اصدقاء عمري لكن النهايه ويشكسبهـم قطار العمر والـي ب	0	0	1	0	0	0	0	0	0	0	0	0
2023-06-16	رجا	tag:search.twitter.com,2005:1669600993955201028	RT @samaal____1990: عراقي حصري شباب رجا اخوي لحد يدز نقطه او هلو او مرحبا تره والله تعب روحك لان الرساله احذفه عندك شي اكتبه ودزه واكو هو…	ar	rt samaal____1990 عراقي حصري شباب رجا اخوي لحد يدز نقطه او هلو او مرحبا تره والله تعب روحك لان الرساله احذفه عندك شي اكتبه ودزه واكو هو	0	0	1	0	0	0	1	0	0	0	0	1
2023-06-16	رجا	tag:search.twitter.com,2005:1669603948431552512	RT @teborlabsmir: ولم لا انهم رجا كٕوٕدٕ خٕصٕمٕٱےهےربَ ٱےهـربَ  →نون☭ نمشے سےفے ٱونٱس☭ ٱنٱس تويو ستايلے https://t.co/vXDQstPuua	ar	rt teborlabsmir ولم لا انهم رجا ك و د خ ص م ٱےهےرب ٱےهـرب نون نمشے سےفے ٱونٱس ٱنٱس تويو ستايلے t co vxdqstpuua	0	0	1	0	0	0	1	0	0	0	0	1
2023-06-16	نيالا	tag:search.twitter.com,2005:1669598796995543041	RT @MaarbellaO: 🆘🆘🆘 "عايزاك تسألي لي اكتر طريق آمن عشان الواحد يطلع من نيالا وين و تفاصيلو شنوموضوع حياة او موت الضرب هناك شديد"#طريق_…	ar	rt maarbellao عايزاك تسألي لي اكتر طريق آمن عشان الواحد يطلع من نيالا وين و تفاصيلو شنوموضوع حياة او موت الضرب هناك شديد طريق_	0	1	0	0	0	0	0	1	0	0	0	0
2023-06-16	نيالا	tag:search.twitter.com,2005:1669600515401891841	RT @MaarbellaO: 🆘🆘🆘 "عايزاك تسألي لي اكتر طريق آمن عشان الواحد يطلع من نيالا وين و تفاصيلو شنوموضوع حياة او موت الضرب هناك شديد"#طريق_…	ar	rt maarbellao عايزاك تسألي لي اكتر طريق آمن عشان الواحد يطلع من نيالا وين و تفاصيلو شنوموضوع حياة او موت الضرب هناك شديد طريق_	0	1	0	0	0	0	0	1	0	0	0	0
2023-06-16	أكون	tag:search.twitter.com,2005:1669495604928544775	أنا حزين على غبائي اللي احتمال أكون دمرت بيه حياتي لحد وفاتي 😭	ar	أنا حزين على غبائي اللي احتمال أكون دمرت بيه حياتي لحد وفاتي	0	0	1	0	0	0	0	0	1	0	0	0
