date,tweet_id,processed_tweets,anger,fear,sadness,disgust,joy,anger-disgust
2023-06-16,"tag:search.twitter.com,2005:1669594409741205504",ekafitri402 overcontrolneed makanya dibuat itang budi terus ntar,0,0,0,0,0,0
2023-06-16,"tag:search.twitter.com,2005:1669513516712091653",اعتب عليه يطلع عتابي له رجاازعل عليه القى فؤادي له لجا,0,0,0,0,0,0
2023-06-16,"tag:search.twitter.com,2005:1669525385778802691",مفيش في ميتين ابوكو رجا,0,0,0,0,0,0
2023-06-16,"tag:search.twitter.com,2005:1669569930109521920",سلام عليكم رجا ك و د خ ص م ٱےهےرب ٱےهـرب نون نمشے سےفے ٱونٱس ٱنٱس تويو ستايلے t co 3yvyx3n5oo,0,0,0,0,1,0
2023-06-16,"tag:search.twitter.com,2005:1669590923020255235",rt amm5k يروح العمر واحلامنا دونهـآ تشويشوانا في رجا حلمي وعايش تحت ظلهياكثر اصدقاء عمري لكن النهايه ويشكسبهـم قطار العمر والـي ب,0,0,0,0,0,0
2023-06-16,"tag:search.twitter.com,2005:1669600993955201028",rt samaal____1990 عراقي حصري شباب رجا اخوي لحد يدز نقطه او هلو او مرحبا تره والله تعب روحك لان الرساله احذفه عندك شي اكتبه ودزه واكو هو,1,0,0,0,0,0
2023-06-16,"tag:search.twitter.com,2005:1669603948431552512",rt teborlabsmir ولم لا انهم رجا ك و د خ ص م ٱےهےرب ٱےهـرب نون نمشے سےفے ٱونٱس ٱنٱس تويو ستايلے t co vxdqstpuua,0,0,0,0,0,0
2023-06-16,"tag:search.twitter.com,2005:1669598796995543041",rt maarbellao عايزاك تسألي لي اكتر طريق آمن عشان الواحد يطلع من نيالا وين و تفاصيلو شنوموضوع حياة او موت الضرب هناك شديد طريق_,1,0,0,0,0,1
2023-06-16,"tag:search.twitter.com,2005:1669600515401891841",rt maarbellao عايزاك تسألي لي اكتر طريق آمن عشان الواحد يطلع من نيالا وين و تفاصيلو شنوموضوع حياة او موت الضرب هناك شديد طريق_,1,0,0,0,0,1
2023-06-16,"tag:search.twitter.com,2005:1669495604928544775",أنا حزين على غبائي اللي احتمال أكون دمرت بيه حياتي لحد وفاتي,1,0,1,0,0,0
2023-06-16,"tag:search.twitter.com,2005:1669496447169961989",rt 2i9li أكون ثرثار معكyou are special for me,0,0,0,0,0,0
