model,sample_size,resample,epochs,lr,batch_size,threshold,anger_accuracy,anger_macro_f1,fear_accuracy,fear_macro_f1,sadness_accuracy,sadness_macro_f1,disgust_accuracy,disgust_macro_f1,joy_accuracy,joy_macro_f1,anger-disgust_accuracy,anger-disgust_macro_f1
bert2,1,0,12,1e-05,4,0.5,0.4047890535917902,0.2881493506493506,0.814139110604333,0.4487743557510999,0.403648802736602,0.2875710804224208,0.2063854047890536,0.1710775047258979,0.7445838084378563,0.426797385620915,0.5781071835803877,0.3663294797687861
bert2,1,0,14,1e-05,4,0.5,0.3888255416191562,0.2799671592775041,0.1653363740022805,0.1418786692759295,0.6408209806157354,0.3905489923558026,0.1892816419612314,0.159156279961649,0.2964652223489167,0.2286719437115215,0.5963511972633979,0.3735714285714285
bert2,1,0,16,1e-05,4,0.5,0.3990877993158495,0.2852485737571312,0.1801596351197263,0.1526570048309178,0.3671607753705815,0.268557130942452,0.1927023945267958,0.1615678776290631,0.7080957810718358,0.4145527369826435,0.4161915621436716,0.2938808373590982
bert2,1,0,12,5e-05,4,0.5,0.6020524515393386,0.3758007117437722,0.1413911060433295,0.1238761238761238,0.6168757126567845,0.3815232722143865,0.2041049030786773,0.1695075757575757,0.2736602052451539,0.2148612354521038,0.5781071835803877,0.3663294797687861
bert2,1,0,14,5e-05,4,0.5,0.6020524515393386,0.3758007117437722,0.1870011402508551,0.1575408261287224,0.3774230330672748,0.2740066225165563,0.7993158494868872,0.4442332065906211,0.2690992018244014,0.2120395327942497,0.4218928164196123,0.2967121090617481
bert2,1,0,16,5e-05,4,0.5,0.4025085518814139,0.2869918699186992,0.806157354618016,0.4463383838383838,0.3990877993158495,0.2852485737571312,0.7958950969213227,0.4431746031746031,0.2428734321550741,0.1954128440366972,0.5689851767388826,0.3626453488372093
bert2,1,0,12,0.0001,4,0.5,0.6111744583808438,0.3793347487615003,0.8129988597491448,0.4484276729559748,0.3580387685290764,0.2636439966414777,0.17787913340935,0.1510164569215876,0.7240592930444698,0.419973544973545,0.5940706955530216,0.3726752503576537
bert2,1,0,14,0.0001,4,0.5,0.5940706955530216,0.3726752503576537,0.8346636259977195,0.4549409571162213,0.6328392246294184,0.3875698324022346,0.2086659064994298,0.1726415094339622,0.7217787913340935,0.4192052980132451,0.5781071835803877,0.3663294797687861
bert2,1,0,16,0.0001,4,0.5,0.3911060433295324,0.2811475409836065,0.1812998859749144,0.1534749034749034,0.6043329532497149,0.3766879886282871,0.8107183580387686,0.4477329974811083,0.7411630558722919,0.4256712508185986,0.411630558722919,0.2915993537964459
bert2,1,0,12,1e-05,8,0.5,0.3808437856328392,0.2758051197357555,0.8198403648802737,0.450501253132832,0.3808437856328392,0.2758051197357555,0.8095781071835804,0.4473850031505986,0.7274800456100342,0.4211221122112211,0.6020524515393386,0.3758007117437722
bert2,1,0,14,1e-05,8,0.5,0.4025085518814139,0.2869918699186992,0.1664766248574686,0.1427174975562072,0.3477765108323831,0.2580372250423012,0.8004561003420753,0.4445851804939835,0.2850627137970353,0.2218278615794143,0.5781071835803877,0.3663294797687861
bert2,1,0,16,1e-05,8,0.5,0.5769669327251995,0.3658712942877802,0.193842645381984,0.1623686723973257,0.3489167616875712,0.2586644125105663,0.2143671607753705,0.1765258215962441,0.2782212086659065,0.2176628010704727,0.5518814139110604,0.3556208670095517
bert2,1,0,12,5e-05,8,0.5,0.3842645381984036,0.2775947281713344,0.1790193842645382,0.1518375241779497,0.6271379703534777,0.3854239663629992,0.1824401368301026,0.1542912246865959,0.2839224629418472,0.2211367673179396,0.5963511972633979,0.3735714285714285
bert2,1,0,14,5e-05,8,0.5,0.3705815279361459,0.2703826955074875,0.1881413911060433,0.1583493282149712,0.3568985176738882,0.2630252100840335,0.8312428734321551,0.4539227895392279,0.2599771949828962,0.2063348416289593,0.6088939566704675,0.3784549964564139
bert2,1,0,16,5e-05,8,0.5,0.6282782212086659,0.3858543417366947,0.82212086659065,0.451188986232791,0.6419612314709237,0.3909722222222223,0.8209806157354618,0.4508453350031308,0.2976054732041049,0.2293497363796133,0.3854047890535917,0.2781893004115226
bert2,1,0,12,0.0001,8,0.5,0.4002280501710376,0.2858306188925081,0.8426453819840365,0.4573019801980198,0.5849486887115165,0.3690647482014388,0.7867730900798175,0.4403318442884492,0.2599771949828962,0.2063348416289593,0.5735461801596351,0.3644927536231884
