param_algorithm,param_n_neighbors,param_p,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
auto,0,1,"{'algorithm': 'auto', 'n_neighbors': 0, 'p': 1}",,,,,,,,201,,,,,,,,201,,,,,,,,201,,,,,,,,201,anger
auto,0,2,"{'algorithm': 'auto', 'n_neighbors': 0, 'p': 2}",,,,,,,,201,,,,,,,,201,,,,,,,,201,,,,,,,,201,anger
auto,1,1,"{'algorithm': 'auto', 'n_neighbors': 1, 'p': 1}",0.55,0.6065573770491803,0.5,0.44642857142857145,0.5409836065573771,0.5287939110070258,0.05340146442529856,181,0.12,0.13503649635036497,0.09124087591240876,0.09090909090909091,0.12,0.11143729263437292,0.017509224113984753,165,0.5109090909090909,0.5245901639344263,0.5009107468123861,0.48816029143898,0.5081967213114754,0.5065534028812717,0.011976171166008118,193,0.19701492537313434,0.2208955223880597,0.15432098765432098,0.15105740181268884,0.19642857142857142,0.18394348173135505,0.027022878529436217,161,anger
auto,1,2,"{'algorithm': 'auto', 'n_neighbors': 1, 'p': 2}",0.5866666666666667,0.6349206349206349,0.5238095238095238,0.4857142857142857,0.55,0.5562222222222223,0.051343884810487427,157,0.16,0.145985401459854,0.12043795620437957,0.12363636363636364,0.16,0.14201194426011945,0.017123244929683035,145,0.5236363636363637,0.5318761384335154,0.5063752276867031,0.49544626593806923,0.5136612021857924,0.5141990395760888,0.012764879396935746,177,0.25142857142857145,0.2373887240356083,0.19584569732937687,0.19710144927536233,0.24788732394366197,0.22593035320251617,0.0244938938497986,141,anger
auto,2,1,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 1}",0.8888888888888888,0.625,0.6666666666666666,0.36363636363636365,0.45454545454545453,0.5997474747474747,0.1819619241002442,85,0.02909090909090909,0.01824817518248175,0.0072992700729927005,0.014545454545454545,0.01818181818181818,0.017473125414731255,0.007044919223958628,197,0.5127272727272727,0.5045537340619308,0.5027322404371585,0.4936247723132969,0.4972677595628415,0.5021811558205,0.006549909389981749,197,0.05633802816901409,0.035460992907801414,0.014440433212996389,0.027972027972027975,0.03496503496503496,0.03383530344537496,0.013570783102900101,197,anger
auto,2,2,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 2}",0.8461538461538461,0.7,0.8,0.4583333333333333,0.5652173913043478,0.6739409141583054,0.14459232092723404,13,0.04,0.025547445255474453,0.029197080291970802,0.04,0.04727272727272727,0.036403450564034504,0.007922072148350912,189,0.5163636363636364,0.5081967213114754,0.51183970856102,0.49544626593806923,0.5045537340619308,0.5072800132472264,0.0070938502595392925,189,0.07638888888888888,0.04929577464788732,0.056338028169014086,0.07357859531772576,0.087248322147651,0.06856992183423341,0.013829082880165777,189,anger
auto,3,1,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1}",0.8571428571428571,0.6666666666666666,0.6,0.4666666666666667,0.5294117647058824,0.6239775910364146,0.13450111211748697,53,0.06545454545454546,0.0364963503649635,0.010948905109489052,0.025454545454545455,0.03272727272727273,0.03421632382216324,0.017896277929597856,193,0.5272727272727272,0.5100182149362478,0.5027322404371585,0.4972677595628415,0.5009107468123861,0.5076403378042722,0.010658819915484266,185,0.12162162162162164,0.06920415224913495,0.02150537634408602,0.04827586206896552,0.06164383561643836,0.06445016958004932,0.03287830372637198,193,anger
auto,3,2,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2}",0.717948717948718,0.6923076923076923,0.6521739130434783,0.425531914893617,0.5641025641025641,0.6104129604592139,0.10615113492022504,73,0.10181818181818182,0.06569343065693431,0.05474452554744526,0.07272727272727272,0.08,0.07499668214996683,0.0157878218160961,181,0.5309090909090909,0.5191256830601093,0.5136612021857924,0.48633879781420764,0.5081967213114754,0.511646299056135,0.01472022673329266,181,0.17834394904458598,0.12,0.10101010101010102,0.12422360248447206,0.14012738853503187,0.1327410082148382,0.025984290597581883,181,anger
auto,4,1,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 1}",0.5829145728643216,0.631578947368421,0.6,0.5040650406504065,0.5374449339207048,0.5712006989607709,0.04529634809376686,121,0.4218181818181818,0.43795620437956206,0.2518248175182482,0.22545454545454546,0.44363636363636366,0.3561380225613803,0.09656445911618738,73,0.56,0.5919854280510018,0.5428051001821493,0.5009107468123861,0.5300546448087432,0.545151183970856,0.030346530740153487,57,0.48945147679324896,0.5172413793103448,0.35475578406169667,0.31155778894472363,0.4860557768924303,0.4318124412004888,0.08241554605314473,61,anger
auto,4,2,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 2}",0.5317919075144508,0.5778894472361809,0.4838709677419355,0.5304347826086957,0.5445026178010471,0.533697944580462,0.030221312660412628,177,0.33454545454545453,0.4197080291970803,0.16423357664233576,0.22181818181818183,0.3781818181818182,0.3036974120769741,0.09603370398295442,89,0.52,0.5573770491803278,0.49544626593806923,0.51183970856102,0.5300546448087432,0.522943533697632,0.02061210298473333,153,0.41071428571428575,0.4862579281183932,0.24523160762942778,0.3128205128205128,0.4463519313304721,0.38027525312261834,0.08867008253596691,85,anger
