STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,# IDP INDIVIDUALS,# IDP HOUSEHOLDS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
North Kordofan,SD13,Sheikan,SD13024,4000,800,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Sheikan,SD13024,1500,300,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Sheikan,SD13024,2000,400,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Taiba North,N/A,130,26,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Ar Rahad,SD13030,190,38,North Kordofan,SD13,Sheikan,SD13024
North Kordofan,SD13,Um Rawaba,SD13023,1000,200,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Ar Rahad,SD13030,1150,230,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Bara,SD13026,1150,230,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gharb Bara,SD13029,500,100,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,600,120,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Um Dam Haj Ahmed,SD13028,300,60,Khartoum,SD01,Khartoum,SD01007
North Kordofan,SD13,Soudari,SD13025,750,150,Khartoum,SD01,Khartoum,SD01007
South Darfur,SD03,As Salam - SD,SD03166,7000,1400,South Darfur,SD03,Nyala Janoub,SD03167
South Darfur,SD03,Kas,SD03144,1000,200,South Darfur,SD03,Nyala Janoub,SD03167
South Darfur,SD03,Beliel,SD03162,10000,2000,South Darfur,SD03,Nyala Janoub,SD03167
South Darfur,SD03,Nyala Janoub,SD03167,12000,2400,South Darfur,SD03,Nyala Janoub,SD03167
South Darfur,SD03,Mershing,SD03145,2000,400,South Darfur,SD03,Nyala Shamal,SD03164
South Darfur,SD03,Beliel,SD03162,3000,600,South Darfur,SD03,Nyala Shamal,SD03164
South Darfur,SD03,Nyala Shimal,SD03164,10000,2000,South Darfur,SD03,Nyala Shamal,SD03164
North Darfur,SD02,Al Fasher,SD02114,3500,700,North Darfur,SD02,Al Fasher,SD02114
North Darfur,SD02,Dar As Salam,SD02113,2750,550,North Darfur,SD02,Al Fasher,SD02114
North Darfur,SD02,Al Koma,SD02116,700,140,North Darfur,SD02,Al Fasher,SD02114
North Darfur,SD02,Melit,SD02129,250,50,North Darfur,SD02,Al Fasher,SD02114
North Darfur,SD02,Kebkabiya,SD02124,1000,200,North Darfur,SD02,Kebkabiya,SD02124
North Darfur,SD02,Tawila,SD02170,2135,427,North Darfur,SD02,Al Fasher,SD02114
North Darfur,SD02,Kutum,SD02128,40,8,North Darfur,SD02,Al Fasher,SD02114
North Darfur,SD02,Um Kadadah,SD02136,300,60,North Darfur,SD02,Al Fasher,SD02114
North Darfur,SD02,As Serief,SD02118,750,150,North Darfur,SD02,Al Fasher,SD02114
North Darfur,SD02,Al Malha,SD02117,250,50,North Darfur,SD02,Al Fasher,SD02114
Central Darfur,SD06,Zalingi,SD06138,250,50,Central Darfur,SD06,Zalingei,SD06138
Central Darfur,SD06,Zalingi,SD06138,400,80,Central Darfur,SD06,Zalingei,SD06138
Central Darfur,SD06,Zalingi,SD06138,400,80,Central Darfur,SD06,Zalingei,SD06138
Central Darfur,SD06,Zalingi,SD06138,450,90,Central Darfur,SD06,Zalingei,SD06138
Central Darfur,SD06,Wadi Salih,SD06137,280,56,Central Darfur,SD06,Wadi Saleh,SD06137
Red Sea,SD10,Sawakin,SD10068,60,12,Khartoum,SD01,Khartoum,SD01007
Red Sea,SD10,Sinkat,SD10071,135,27,Khartoum,SD01,Khartoum,SD01007
Blue Nile,SD08,Ar Rusayris,SD08107,155,31,West Darfur,SD04,Foro Boronga,SD04121
Blue Nile,SD08,At Tadamon - BN,SD08108,105,21,West Darfur,SD04,Foro Boronga,SD04121
Red Sea,SD10,Port Sudan,SD10064,1010,202,Khartoum,SD01,Khartoum,SD01007
Kassala,SD11,Reifi Kassla,SD11056,95,19,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,185,37,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,125,25,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,525,105,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,600,120,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,225,45,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,385,77,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,175,35,Khartoum,SD01,Khartoum,SD01007
Khartoum,SD01,Jebel Awlia,SD01001,525,105,Khartoum,SD01,Khartoum,SD01007
