STATE OF DISPLACEMENT,STATE OF DISPLACEMENT PCODE,LOCALITY OF DISPLACEMENT,LOCALITY OF DISPLACEMENT PCODE,LOCATION OF DISPLACEMENT,IDPs,HHs,STATE OF ORIGIN,LOCALITY OF ORIGIN,LOCATION OF ORIGIN,SUDANESE,NON SUDANESE,TOTAL,VALIDATION CHECK,Update date
North Kordofan,SD13,Sheikan,SD13024,Hi Salhin,345,69,Khartoum,Khartoum,Khartoum,345,0,345,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Albetrol,105,21,Khartoum,Khartoum,Khartoum,105,0,105,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Al Galaa,165,33,Khartoum,Khartoum,Khartoum,165,0,165,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Abo Hraz,175,35,Khartoum,Khartoum,Khartoum,175,0,175,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Kazgil,235,47,Khartoum,Khartoum,Khartoum,235,0,235,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Algoba,135,27,Khartoum,Khartoum,Khartoum,135,0,135,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Alradif,200,40,Khartoum,Khartoum,Khartoum,200,0,200,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Krima,150,30,Khartoum,Khartoum,Khartoum,150,0,150,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Taiba,165,33,Khartoum,Khartoum,Khartoum,165,0,165,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Khor Tagat,145,29,Khartoum,Khartoum,Khartoum,145,0,145,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Alnazir,105,21,Khartoum,Khartoum,Khartoum,105,0,105,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Flastin,145,29,Khartoum,Khartoum,Khartoum,145,0,145,TRUE,5/12/23
North Kordofan,SD13,Sheikan,SD13024,Hi Alglaa,65,13,Khartoum,Khartoum,Khartoum,65,0,65,TRUE,5/12/23
