,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DTM - SUDAN - SITUATION REPORT (5) DATASET,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATES,,STATUS,DISPLACEMENT,,,,,,,,,ORIGIN,,,NATIONALITY (by IDPs individuals),,,SHELTER CATEGORY (by Households),,,,,,,,TOP PRIORITY NEED,RETURN INTENTION
INCIDENT,DATA COLLECTION,(Drop-down List) 1.new location 2.updated with new information 3.updated with same information,"STATE OF DISPLACEMENT
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY OF DISPLACEMENT
 (Drop-down List)",LOCATION OF DISPALCEMENT,Location type (Drop-down List),Location Classification (Drop-down List),IDPs,HHs,"STATE ORIGIN
 (Drop-down List)","LOCALITY ORIGIN
 (Drop-down List)",LOCATION OF ORIGIN,SUDANESE,NON SUDANESE,TOTAL (=IDPs),Camp (formal),In Host Family/Community accommodation,In Rented accomodation (paying rent),In Abandoned buildings/critical shelters/no rent,In schools or other public buildings/no rent,Gathering sites (informal settlements or open area),Unknown,Total (=HHs),(Drop-down List) Emergency shelter/Food/ Non-Food Items/ Health/Nutrition/ WASH,"(Drop-down List) 1. Remain in Same Place, 2. Move to Another Location 3. Return to Location of Origin 4. Unkown"
,,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,16/05/2023,1. New Location,Blue Nile,SD08,SD08106,Al Kurmuk,Al Kurmuk twon,Urban,neighbourhood,130,26,Khartoum,Khartoum,,130,-,130,-,26,-,-,-,-,-,26,Food,3-Return to location of origin
15/04/2023,16/05/2023,3.updated with same information,Blue Nile,SD08,SD08107,Ar Rusayris,Ar Rusayris town,Urban,neighbourhood,455,91,Khartoum,Khartoum,,455,-,455,-,91,-,-,-,-,-,91,Food,3-Return to location of origin
15/04/2023,16/05/2023,3.updated with same information,Blue Nile,SD08,SD08108,At Tadamon - BN,At Tabamon town,Urban,neighbourhood,110,22,Khartoum,Khartoum,,110,-,110,-,22,-,-,-,-,-,22,Food,3-Return to location of origin
15/04/2023,16/05/2023,3.updated with same information,Blue Nile,SD08,SD08105,Ed Damazine,"Shamar, Ed Damazine, alsirew",Urban/Rural,neighbourhood/Village/Camp,550,110,Khartoum,Khartoum,,550,-,550,-,110,-,-,-,-,-,110,Food,3-Return to location of origin
15/04/2023,16/05/2023,3.updated with same information,Central Darfur,SD06,SD06137,Wadi Salih,Al Amira Camp,Rural,Camp,280,56,Central Darfur,Wadi Salih,Al Amira Camp,280,-,280,56,-,-,-,-,-,-,56,Food,3-Return to location of origin
