,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,status,PREVIOUS REPORT IDP,PREVIOUS REPORT HH,Difference IDPs,Difference HH,OK CHECK,"STATE OF DISPLACEMENT
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY OF DISPLACEMENT
 (Drop-down List)",LOCATION OF DISPALCEMENT,Location type (Drop-down List),Location Classification (Drop-down List),IDPs,HHs,"STATE ORIGIN
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY ORIGIN
 (Drop-down List)",LOCATION OF ORIGIN,SUDANESE,NON SUDANESE,TOTAL (=IDPs),VALIDATION,Camp (formal),In Host Family/Community accommodation,In Rented accomodation (paying rent),In Abandoned buildings/critical shelters/no rent,In schools or other public buildings/no rent,Gathering sites (informal settlements or open area),Unknown,Total (=HHs),VALIDATION,priority need,return Intention
,,,,,,,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,,
4/15/23,5/24/23,2. updated with new information,3500,700,"1,500",300,comment,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,Urban,Neighbourhood,"5,000","1,000",North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"5,000",-,"5,000",TRUE,-,"1,000",-,-,-,-,-,"1,000",TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,1520,304,-,-,OK,North Darfur,SD02,SD02113,Dar As Salam,Shangil Tobay IDP Camp,Rural,Camp,"1,520",304,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"1,520",-,"1,520",TRUE,304,-,-,-,-,-,-,304,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,2. updated with new information,1100,220,170,34,OK,North Darfur,SD02,SD02113,Dar As Salam,Dar As Salam Town,Urban,Neighbourhood,"1,270",254,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"1,270",-,"1,270",TRUE,-,254,-,-,-,-,-,254,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,700,140,-,-,OK,North Darfur,SD02,SD02116,Al Koma,Al Koma Town,Urban,Neighbourhood,700,140,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,700,-,700,TRUE,-,140,-,-,-,-,-,140,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,2. updated with new information,900,180,550,110,comment,North Darfur,SD02,SD02129,Melit,Melit Town,Urban,Neighbourhood,"1,450",290,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"1,450",-,"1,450",TRUE,-,290,-,-,-,-,-,290,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,1. New Location,0,0,-,-,OK,North Darfur,SD02,SD02129,Melit,Sayah,Rural,Village,145,29,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,145,-,145,TRUE,-,29,-,-,-,-,-,29,TRUE,Food,4-unknown
4/15/23,5/24/23,3.updated with same information,1250,250,-,-,OK,North Darfur,SD02,SD02124,Kebkabiya,Kebkabiy Town,Urban,Neighbourhood,"1,250",250,North Darfur,SD02,SD02124,Kebkabiya,Kebkabiya Town,"1,250",-,"1,250",TRUE,-,250,-,-,-,-,-,250,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,3660,732,-,-,OK,North Darfur,SD02,SD02170,Tawila,Tawila IDP Camps,Rural,Camp,"3,660",732,North Darfur,SD02,SD02170,Tawila,Tarni,"3,660",-,"3,660",TRUE,732,-,-,-,-,-,-,732,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,40,8,-,-,OK,North Darfur,SD02,SD02128,Kutum,kutum Town,Urban,Neighbourhood,40,8,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,40,-,40,TRUE,-,8,-,-,-,-,-,8,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,600,120,-,-,OK,North Darfur,SD02,SD02136,Um Kadadah,Um Kedadah Town,Urban,Neighbourhood,600,120,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,600,-,600,TRUE,-,120,-,-,-,-,-,120,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,925,185,-,-,OK,North Darfur,SD02,SD02118,As Serief,As Serief Town,Urban,Neighbourhood,925,185,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,925,-,925,TRUE,-,185,-,-,-,-,-,185,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,2. updated with new information,250,50,"1,500",300,comment,North Darfur,SD02,SD02117,Al Malha,Al Malha Town,Urban,Neighbourhood,"1,750",350,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"1,750",-,"1,750",TRUE,-,350,-,-,-,-,-,350,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,1000,200,-,-,OK,North Darfur,SD02,SD02133,Saraf Omra,Saraf Omer Town,Urban,Neighbourhood,"1,000",200,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,"1,000",-,"1,000",TRUE,-,200,-,-,-,-,-,200,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,450,90,-,-,OK,North Darfur,SD02,SD02133,Saraf Omra,Mundodoro,Rural,Village,450,90,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,450,-,450,TRUE,-,90,-,-,-,-,-,90,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,1000,200,-,-,OK,North Darfur,SD02,SD02133,Saraf Omra,Wastani,Rural,Village,"1,000",200,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,"1,000",-,"1,000",TRUE,-,200,-,-,-,-,-,200,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,300,60,-,-,OK,North Darfur,SD02,SD02133,Saraf Omra,Al Hasahoissa,Rural,Village,300,60,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,300,-,300,TRUE,-,60,-,-,-,-,-,60,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,750,150,-,-,OK,North Darfur,SD02,SD02133,Saraf Omra,Kelmi,Rural,Village,750,150,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,750,-,750,TRUE,-,150,-,-,-,-,-,150,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,300,60,-,-,OK,North Darfur,SD02,SD02133,Saraf Omra,Dar As Salam,Rural,Village,300,60,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,300,-,300,TRUE,-,60,-,-,-,-,-,60,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,135,27,-,-,OK,North Darfur,SD02,SD02126,Kelemando,Abudilek,Rural,Village,135,27,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,135,-,135,TRUE,-,27,-,-,-,-,-,27,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,75,15,-,-,OK,North Darfur,SD02,SD02126,Kelemando,Wada Shamal,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman Town,75,-,75,TRUE,-,15,-,-,-,-,-,15,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,60,12,-,-,OK,North Darfur,SD02,SD02126,Kelemando,Bahri Um Dorman,Rural,Village,60,12,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,60,-,60,TRUE,-,12,-,-,-,-,-,12,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,45,9,-,-,OK,North Darfur,SD02,SD02126,Kelemando,Eid algideam,Rural,Village,45,9,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,45,-,45,TRUE,-,9,-,-,-,-,-,9,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,150,30,-,-,OK,North Darfur,SD02,SD02126,Kelemando,Um Dam,Rural,Village,150,30,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,150,-,150,TRUE,-,30,-,-,-,-,-,30,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,150,30,-,-,OK,North Darfur,SD02,SD02126,Kelemando,Sani Karow,Rural,Village,150,30,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,150,-,150,TRUE,-,30,-,-,-,-,-,30,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,50,10,-,-,OK,North Darfur,SD02,SD02126,Kelemando,Aldeka,Rural,Village,50,10,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,50,-,50,TRUE,-,10,-,-,-,-,-,10,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,100,20,-,-,OK,North Darfur,SD02,SD02126,Kelemando,Um Beteen,Rural,Village,100,20,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,100,-,100,TRUE,-,20,-,-,-,-,-,20,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,90,18,-,-,OK,North Darfur,SD02,SD02126,Kelemando,Eid albaida,Rural,Village,90,18,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,90,-,90,TRUE,-,18,-,-,-,-,-,18,TRUE,Emergency Shelter,3-Return to location of origin
4/15/23,5/24/23,3.updated with same information,75,15,-,-,OK,North Darfur,SD02,SD02119,At Tawisha,At Tewisha Town,Urban,Neighbourhood,75,15,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,75,-,75,TRUE,-,15,-,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,2. updated with new information,0,0,-,-,see comment,North Darfur,SD02,SD02169,Al lait,Al Lait Town,Urban,Neighbourhood,650,130,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,650,-,650,TRUE,-,130,-,-,-,-,-,130,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,2. updated with new information,0,0,-,-,see comment,North Darfur,SD02,SD02169,Al lait,Al Lait Town,Urban,Neighbourhood,940,188,Khartoum,SD01,SD01007,Khartoum,Khartoum,940,-,940,TRUE,-,188,-,-,-,-,-,188,TRUE,Food,3-Return to location of origin
4/15/23,5/24/23,2. updated with new information,0,0,-,-,see comment,North Darfur,SD02,SD02169,Al lait,Al Lait Town,Urban,Neighbourhood,90,18,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,90,-,90,TRUE,-,18,-,-,-,-,-,18,TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,2. updated with new information,45000,9000,"-15,000","-3,000",comment,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,Urban,Neighbourhood,"30,000","6,000",South Darfur,SD03,SD03167,Nyala Janoub,"Hai Aljer, Hai Alwadi, Hai Aljamhowria, Hai As Serief","30,000",-,"30,000",TRUE,-,"6,000",-,-,-,-,-,"6,000",TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,2. updated with new information,5000,1000,"15,000","3,000",comment,South Darfur,SD03,SD03167,Nyala Janoub,"Otash (IDP Camp), As Salam, Kalma and Derig IDPs Camps",Urban,Camp,"20,000","4,000",South Darfur,SD03,SD03167,Nyala Janoub,"Hai al sika haded, Al Kongo, Hai Alasial (Nyala Town)","20,000",-,"20,000",TRUE,"4,000",-,-,-,-,-,-,"4,000",TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,2. updated with new information,170,34,"4,830",966,comment,South Darfur,SD03,SD03145,Mershing,Mershing Town,Urban,Neighbourhood,"5,000","1,000",South Darfur,SD03,SD03145,Mershing,Keila area,"5,000",-,"5,000",TRUE,-,"1,000",-,-,-,-,-,"1,000",TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,3.updated with same information,320,64,-,-,OK,South Darfur,SD03,SD03147,Sharg Aj Jabal,Kyora Village,Rural,Village,320,64,South Darfur,SD03,SD03145,Mershing,,320,-,320,TRUE,-,64,-,-,-,-,-,64,TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03144,Kas,Kas Town,Urban,Neighbourhood,"5,000","1,000",South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"5,000",-,"5,000",TRUE,-,"1,000",-,-,-,-,-,"1,000",TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03162,Beliel,Beliel Town,Urban,Neighbourhood,"7,000","1,400",South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"7,000",-,"7,000",TRUE,-,"1,400",-,-,-,-,-,"1,400",TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03161,Buram,Buram Town,Urban,Neighbourhood,"4,000",800,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"4,000",-,"4,000",TRUE,-,800,-,-,-,-,-,800,TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03156,As Sunta,As Sunta Town,Urban,Neighbourhood,"3,000",600,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"3,000",-,"3,000",TRUE,-,600,-,-,-,-,-,600,TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03158,Rehaid Albirdi,Rehaid Albardi Town,Urban,Neighbourhood,"2,000",400,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"2,000",-,"2,000",TRUE,-,400,-,-,-,-,-,400,TRUE,Food,3-Return to location of origin
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03150,Al Wihda,Malam,Urban,Neighbourhood,"7,000","1,400",South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"7,000",-,"7,000",TRUE,-,"1,400",-,-,-,-,-,"1,400",TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03166,As Salam - SD,Nitiga,Rural,Village,"3,000",600,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"3,000",-,"3,000",TRUE,-,600,-,-,-,-,-,600,TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03166,As Salam - SD,Abu Agura,Rural,Village,"2,500",500,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"2,500",-,"2,500",TRUE,-,500,-,-,-,-,-,500,TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,South Darfur,SD03,SD03162,Beliel,Um Guina,Rural,Village,"1,000",200,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"1,000",-,"1,000",TRUE,-,200,-,-,-,-,-,200,TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,East Darfur,SD05,SD05142,Ad Du'ayn,Al Du'ayn Town,Urban,Neighbourhood,"4,080",816,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"4,080",-,"4,080",TRUE,-,714,-,-,102,-,-,816,TRUE,Food,4-unknown
4/15/23,5/23/23,1. New Location,0,0,-,-,OK,East Darfur,SD05,SD05142,Ad Du'ayn,Al Du'ayn IDP Camps,Urban,Camp,"1,020",204,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"1,020",-,"1,020",TRUE,204,-,-,-,-,-,-,204,TRUE,Food,4-unknown
