INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,Origin GPS Longitude,Origin GPS Latitude,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: With Host Community,SHELTER CATEGORY: In Rented accomodation (paying rent),SHELTER CATEGORY: In Abandoned buildings/critical shelters/no rent,SHELTER CATEGORY: In schools or other public buildings/no rent,SHELTER CATEGORY: Gathering sites (informal settlements or open area),SHELTER CATEGORY: Unknown,TOP PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Tandalti,Rural,Village,175,35,Khartoum,SD01,SD01007,Khartoum,,,,175,0,175,0,35,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Al azhari,Urban,Neighbourhood,180,35,Khartoum,SD01,SD01006,Um Durman,,,,180,0,180,0,35,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,falastin,Urban,Neighbourhood,145,28,Khartoum,SD01,SD01006,Um Durman,,,,145,0,145,0,28,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Alsmaih,Rural,Village,135,25,Khartoum,SD01,SD01006,Um Durman,,,,135,0,135,0,25,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Hi Alsafa,Urban,Neighbourhood,246,47,Khartoum,SD01,SD01006,Um Durman,,,,246,0,246,0,35,12,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Hi alwihda,Urban,Neighbourhood,155,33,Khartoum,SD01,SD01006,Um Durman,,,,155,0,155,0,33,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Hi alsalam,Urban,Neighbourhood,232,45,Khartoum,SD01,SD01006,Um Durman,,,,232,0,232,0,45,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Alban Jadid east,Urban,Neighbourhood,114,23,Khartoum,SD01,SD01003,Bahri,,,,114,0,114,0,23,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Mhila,Rural,Village,110,25,Khartoum,SD01,SD01003,Bahri,,,,110,0,110,0,25,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Hi Alshati,Urban,Neighbourhood,433,73,Khartoum,SD01,SD01006,Um Durman,,,,433,0,433,0,66,7,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Ardiba,Urban,Neighbourhood,134,24,Khartoum,SD01,SD01006,Um Durman,,,,134,0,134,0,24,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Abu Dakna,Urban,Neighbourhood,121,20,Khartoum,SD01,SD01001,Jebel Awlia,,,,121,0,121,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hi Alsafa,Urban,Neighbourhood,98,20,Khartoum,SD01,SD01003,Bahri,,,,98,0,98,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Sidra,Rural,Village,132,23,Khartoum,SD01,SD01006,Um Durman,,,,132,0,132,0,23,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Al Hgina,Rural,Village,190,34,Khartoum,SD01,SD01003,Bahri,,,,190,0,190,0,34,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Mwailh,Rural,Village,44,9,Khartoum,SD01,SD01007,Khartoum,,,,44,0,44,0,9,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Mandor,Rural,Village,28,6,Khartoum,SD01,SD01006,Um Durman,,,,28,0,28,0,6,0,0,0,0,0,Food,3-Return to location of origin
