,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: With Host Community,SHELTER CATEGORY: In Rented accomodation (paying rent),SHELTER CATEGORY: In Abandoned buildings/critical shelters/no rent,SHELTER CATEGORY: In schools or other public buildings/no rent,SHELTER CATEGORY: Gathering sites (informal settlements or open area),SHELTER CATEGORY: Unknown,total,TOP PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,18 Nail,Urban,neighbourhood,65,13,Khartoum,SD01,SD01006,Um Durman,,65,0,65,0,13,0,0,0,0,0,13,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,19 Nail,Urban,neighbourhood,60,12,Khartoum,SD01,SD01002,Um Bada,,60,0,60,0,12,0,0,0,0,0,12,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,22 Um Uwood Village,Rural,Village,75,15,Khartoum,SD01,SD01007,Khartoum,,75,0,75,0,15,0,0,0,0,0,15,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Abduelrahamn Village,Rural,Village,250,50,Khartoum,SD01,SD01001,Jebel Awlia,,250,0,250,0,50,0,0,0,0,0,50,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Abduelrahamn Village,Rural,Village,200,40,Khartoum,SD01,SD01007,Khartoum,,200,0,200,0,40,0,0,0,0,0,40,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alamousiya,Rural,Village,125,25,Khartoum,SD01,SD01006,Um Durman,,125,0,125,0,25,0,0,0,0,0,25,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alfadleen,Rural,Village,130,26,Khartoum,SD01,SD01007,Khartoum,,130,0,130,0,26,0,0,0,0,0,26,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alfougara 19 village,Rural,Village,260,52,Khartoum,SD01,SD01001,Jebel Awlia,,260,0,260,0,52,0,0,0,0,0,52,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Algaradaiya Village,Rural,Village,150,30,Khartoum,SD01,SD01006,Um Durman,,150,0,150,0,30,0,0,0,0,0,30,Food,Remain in the same place
