,,,,,,,,,,,,PLACE OF ORIGIN,,,,,NATIONALITIES,,,SHELTER CATEGORY,,,,,,,,TOP PRIORITY NEED,RETURN INTENTIONS
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/Improvised Shelters/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,,
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,2085,417,Khartoum,SD01,SD01007,Khartoum,,2085,0,2085,0,210,207,0,0,0,0,417,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,280,56,Khartoum,SD01,SD01003,Bahri,,280,0,280,0,26,30,0,0,0,0,56,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,500,100,Khartoum,SD01,SD01006,Um Durman,,500,0,500,0,65,35,0,0,0,0,100,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,1890,378,Khartoum,SD01,SD01001,Jebel Awlia,,1890,0,1890,0,206,172,0,0,0,0,378,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,450,90,Khartoum,SD01,SD01002,Um Bada,,450,0,450,0,50,40,0,0,0,0,90,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods,Urban,Neighbourhood,1000,200,Khartoum,SD01,SD01007,Khartoum,,1000,0,1000,0,150,50,0,0,0,0,200,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods,Urban,Neighbourhood,750,150,Khartoum,SD01,SD01003,Bahri,,750,0,750,0,90,60,0,0,0,0,150,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods,Urban,Neighbourhood,500,100,Khartoum,SD01,SD01006,Um Durman,,500,0,500,0,70,30,0,0,0,0,100,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,Urban,Neighbourhood,3000,600,Khartoum,SD01,SD01003,Bahri,,3000,0,3000,0,250,350,0,0,0,0,600,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,Urban,Neighbourhood,200,40,Khartoum,SD01,SD01007,Khartoum,,200,0,200,0,20,20,0,0,0,0,40,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel Neighbourhoods,Urban,Neighbourhood,200,40,Khartoum,SD01,SD01007,Khartoum,,200,0,200,0,30,10,0,0,0,0,40,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel Neighbourhoods,Urban,Neighbourhood,1965,393,Khartoum,SD01,SD01003,Bahri,,1965,0,1965,0,230,163,0,0,0,0,393,Food,Return to location of origin
